"","LINEUP_SORTED","NUMBER OF GUARDS","OPPONENT POSSESSIONS","CMU POSSESSIONS","LINEUP SECONDS","OPPONENT PTS","CMU PTS","CMU 3PA","CMU FGA","CMU FTA","CMU REBOUNDS","TOTAL REBOUNDS","OPPONENTS","SCORE DIFFERENTIAL WHEN ENTER","QUARTER","NUMBERS","PACE","OFFENSIVE RATING","DEFENSIVE RATING","NET RATING","3PA/FGA","TRUE SHOOTING %","TRB%"
"1","ARIAS,AVA BLACK,AVA CHINTALA,ANISHA DELMORE,KAYLA HEYER,ALLIE",4,12,14,427,7,9,4,14,0,11,17,"chicago2, chicago2, rochester, rochester2","-10, -16, 4, 3","3, 3, 3, 1","5 24 1 10 21",73.0679156908665,64.2857142857143,58.3333333333333,5.95238095238096,0.285714285714286,32.1428571428571,64.7058823529412
"2","ARIAS,AVA BLACK,AVA CHINTALA,ANISHA DELMORE,KAYLA LIGOTTI,PIPER",4,16,16,511,23,17,6,12,2,7,12,"chicago2, chicago2, washu2","0, -3, 11","1, 3, 3","1 3 10 21 24",75.146771037182,106.25,143.75,-37.5,0.5,65.9937888198758,58.3333333333333
"3","ARIAS,AVA BLACK,AVA CHINTALA,ANISHA DELMORE,KAYLA MATSKO,MEGAN",4,4,4,116,3,2,3,4,0,3,6,"allegheny","15","2","1 21 10 24 13",82.7586206896552,50,75,-25,0.75,25,50
"4","ARIAS,AVA BLACK,AVA CHINTALA,ANISHA DELMORE,KAYLA OR,CATHERINE",4,8,11,248,9,12,1,12,0,4,8,"rochester, washu","0, -5","3, 3","10 1 22 24 21",91.9354838709677,109.090909090909,112.5,-3.40909090909092,0.0833333333333333,50,50
"5","ARIAS,AVA BLACK,AVA CHINTALA,ANISHA HEYER,ALLIE JOSEPH,JAMIE",3,1,1,26,1,0,0,0,0,0,0,"chicago2","-6","2","1 5 24 10 32",92.3076923076923,0,100,-100,NA,NA,NA
"6","ARIAS,AVA BLACK,AVA CHINTALA,ANISHA HEYER,ALLIE LIGOTTI,PIPER",4,3,3,126,4,3,1,2,2,0,4,"capital, emory","0, -7","3, 3","24 3 10 1 5",57.1428571428571,100,133.333333333333,-33.3333333333333,0.5,52.0833333333333,0
"7","ARIAS,AVA BLACK,AVA CHINTALA,ANISHA HEYER,ALLIE MATSKO,MEGAN",4,3,3,93,7,4,0,2,0,0,0,"chicago2, washu2","-4, 13","1, 3","1 5 13 10 24",77.4193548387097,133.333333333333,233.333333333333,-100,0,100,NA
"8","ARIAS,AVA BLACK,AVA CHINTALA,ANISHA HEYER,ALLIE NAMBISAN,ISHA",4,2,3,116,0,4,0,2,2,2,3,"chicago2","-7","2","1 5 24 10 23",51.7241379310345,133.333333333333,0,133.333333333333,0,69.4444444444444,66.6666666666667
"9","ARIAS,AVA BLACK,AVA CHINTALA,ANISHA HEYER,ALLIE OR,CATHERINE",4,4,1,111,4,5,1,3,0,2,4,"rochester2, washu","5, -10","1, 4","1 5 10 22 24",54.054054054054,500,100,400,0.333333333333333,83.3333333333333,50
"10","ARIAS,AVA BLACK,AVA CHINTALA,ANISHA LIGOTTI,PIPER NAMBISAN,ISHA",4,-1,0,15,0,0,0,0,0,0,0,"capital","2","1","1 10 3 23 24",-80,NA,0,NA,NA,NA,NA
"11","ARIAS,AVA BLACK,AVA CHINTALA,ANISHA LIGOTTI,PIPER OR,CATHERINE",4,15,14,429,14,13,1,9,4,7,14,"emory, emory2, washu, washu","-5, -2, -2, -7","3, 2, 1, 4","22 1 3 10 24",81.1188811188811,92.8571428571429,93.3333333333333,-0.476190476190467,0.111111111111111,60.4089219330855,50
"12","ARIAS,AVA BLACK,AVA CHINTALA,ANISHA MATSKO,MEGAN OR,CATHERINE",4,4,4,133,5,0,1,2,0,2,4,"chicago","-1","1","24 1 10 22 13",72.1804511278195,0,125,-125,0.5,0,50
"13","ARIAS,AVA BLACK,AVA DELMORE,KAYLA HEYER,ALLIE LIGOTTI,PIPER",4,5,6,169,4,10,4,5,2,4,5,"capital, washu2","7, 3","1, 2","1 21 3 5 24",78.1065088757396,166.666666666667,80,86.6666666666667,0.8,85.0340136054422,80
"14","ARIAS,AVA BLACK,AVA DELMORE,KAYLA HEYER,ALLIE MATSKO,MEGAN",4,3,2,114,2,0,2,2,0,2,4,"chicago2","-2","1","1 5 13 21 24",52.6315789473684,0,66.6666666666667,-66.6666666666667,1,0,50
"15","ARIAS,AVA BLACK,AVA DELMORE,KAYLA HEYER,ALLIE OR,CATHERINE",4,2,2,47,2,2,0,1,2,1,2,"case western reserve2, washu","3, -9","1, 3","1 22 5 21 24",102.127659574468,100,100,0,0,53.1914893617021,50
"16","ARIAS,AVA BLACK,AVA DELMORE,KAYLA LIGOTTI,PIPER NAMBISAN,ISHA",4,3,4,109,2,7,2,3,2,2,3,"capital","2","1","1 21 3 23 24",77.0642201834862,175,66.6666666666667,108.333333333333,0.666666666666667,90.2061855670103,66.6666666666667
"17","ARIAS,AVA BLACK,AVA DELMORE,KAYLA MATSKO,MEGAN OR,CATHERINE",4,2,1,43,5,0,0,0,2,0,2,"washu","-3","2","13 24 22 21 1",83.7209302325581,0,250,-250,NA,0,0
"18","ARIAS,AVA BLACK,AVA HEYER,ALLIE LIGOTTI,PIPER OR,CATHERINE",4,5,5,196,7,2,1,3,2,3,9,"chicago, nyu2","-4, -14","3, 2","24 1 22 5 3",61.2244897959184,40,140,-100,0.333333333333333,25.7731958762887,33.3333333333333
"19","ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE",4,32,30,1009,35,14,12,28,6,19,42,"carnegie mellon2, carnegie mellon2, emory2, emory2, geneva, geneva, grove city, grove city, rochester2, washu2, washu2","7, 2, 3, -1, 9, 35, -3, 9, 22, 10, 12","1, 3, 1, 2, 1, 3, 2, 3, 2, 1, 3","4 5 21 10 24",73.7363726461843,46.6666666666667,109.375,-62.7083333333333,0.428571428571429,22.845953002611,45.2380952380952
"20","ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH LIGOTTI,PIPER",4,53,55,1579,34,46,14,48,5,30,58,"brandeis2, carnegie mellon, carnegie mellon2, case western reserve, chicago, geneva, grove city, grove city, nyu, pitt.-greensburg2, pitt.-greensburg2, washu, washu2, washu2, washu2","7, -5, 4, 10, 0, 30, 0, -5, -10, 0, 31, -3, -3, 9, 9","2, 1, 3, 2, 2, 2, 1, 2, 1, 1, 3, 2, 1, 3, 4","4 21 3 10 24",82.077264091197,83.6363636363636,64.1509433962264,19.4854202401372,0.291666666666667,45.8167330677291,51.7241379310345
