"","LINEUP (NAMES)","NUMBERS","NUMBER OF GUARDS","OPPONENT POSSESSIONS","CMU POSSESSIONS","LINEUP SECONDS","OPPONENT PTS","CMU PTS","SCORE DIFFERENTIAL WHEN ENTER","CMU 3PA","CMU FGA","CMU FTA","CMU REBOUNDS","TOTAL REBOUNDS","QUARTER","game_id","LINEUP_SORTED"
"1","LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA","3 4 10 22 24",4,8,6,273,3,8,0,3,9,0,6,9,1,"allegheny","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH LIGOTTI,PIPER OR,CATHERINE"
"2","BLACK,AVA, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, MATSKO,MEGAN","1 4 10 22 13",3,12,13,399,9,19,5,3,11,2,6,10,1,"allegheny","BLACK,AVA CHINTALA,ANISHA GIBBS,SAVANNAH MATSKO,MEGAN OR,CATHERINE"
"3","BLACK,AVA, DELMORE,KAYLA, CHINTALA,ANISHA, ARIAS,AVA, MATSKO,MEGAN","1 21 10 24 13",4,4,4,116,3,2,15,3,4,0,3,6,2,"allegheny","ARIAS,AVA BLACK,AVA CHINTALA,ANISHA DELMORE,KAYLA MATSKO,MEGAN"
"4","LIGOTTI,PIPER, DELMORE,KAYLA, LAFOND,LIV, ARIAS,AVA, MATSKO,MEGAN","3 21 34 24 13",5,1,2,50,0,3,14,0,0,4,1,1,2,"allegheny","ARIAS,AVA DELMORE,KAYLA LAFOND,LIV LIGOTTI,PIPER MATSKO,MEGAN"
"5","LIGOTTI,PIPER, DELMORE,KAYLA, LAFOND,LIV, GIBBS,SAVANNAH, MATSKO,MEGAN","3 21 34 4 13",4,3,3,79,2,2,17,0,1,0,0,1,2,"allegheny","DELMORE,KAYLA GIBBS,SAVANNAH LAFOND,LIV LIGOTTI,PIPER MATSKO,MEGAN"
"6","LIGOTTI,PIPER, BLACK,AVA, OR,CATHERINE, GIBBS,SAVANNAH, MATSKO,MEGAN","3 1 22 4 13",3,2,1,50,3,0,17,1,2,0,2,3,2,"allegheny","BLACK,AVA GIBBS,SAVANNAH LIGOTTI,PIPER MATSKO,MEGAN OR,CATHERINE"
"7","LIGOTTI,PIPER, BLACK,AVA, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA","3 1 22 4 10",3,4,5,155,0,9,14,2,7,0,6,7,2,"allegheny","BLACK,AVA CHINTALA,ANISHA GIBBS,SAVANNAH LIGOTTI,PIPER OR,CATHERINE"
"8","HEYER,ALLIE, BLACK,AVA, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA","5 1 22 4 10",3,3,2,78,0,2,23,0,4,0,3,4,2,"allegheny","BLACK,AVA CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE OR,CATHERINE"
"9","ARIAS,AVA, LIGOTTI,PIPER, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA","24 3 22 4 10",4,6,6,223,7,6,25,0,6,2,4,7,3,"allegheny","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH LIGOTTI,PIPER OR,CATHERINE"
"10","MATSKO,MEGAN, BLACK,AVA, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA","13 1 22 4 10",3,3,3,85,2,2,24,2,3,0,2,3,3,"allegheny","BLACK,AVA CHINTALA,ANISHA GIBBS,SAVANNAH MATSKO,MEGAN OR,CATHERINE"
