"","NUMBER OF GUARDS","OPPONENT POSSESSIONS","CMU POSSESSIONS","LINEUP SECONDS","OPPONENT PTS","CMU PTS","CMU 3PA","CMU FGA","CMU FTA","CMU REBOUNDS","TOTAL REBOUNDS","OPPONENTS","SCORE DIFFERENTIAL WHEN ENTER","QUARTER","NUMBERS","PACE","OFFENSIVE RATING","DEFENSIVE RATING","NET RATING","3PA/FGA","TRUE SHOOTING %","TRB%","LINEUP_SORTED"
"1",3,93,91,2873,79,111,31,80,25,53,90,"chicago2, capital, capital, washu2, allegheny, capital, allegheny, allegheny, washu, capital, capital, capital, washington & jefferson, allegheny, pitt.-greensburg2, pitt.-greensburg2, pitt.-greensburg2, pitt.-greensburg2, geneva, geneva, geneva, case western reserve, case western reserve, geneva, pitt.-greensburg, brandeis, pitt.-greensburg2, brandeis, geneva","-6, 0, -7, 0, 24, 4, 23, 14, -5, -2, 0, 2, 4, 17, 28, 28, 23, 35, 31, 32, 19, 2, 6, 19, 23, 17, 30, 17, 25","2, 3, 4, 1, 3, 3, 2, 2, 1, 3, 4, 4, 2, 2, 2, 2, 2, 2, 3, 3, 2, 1, 2, 2, 3, 4, 2, 4, 2","COMBINED",76.8534632788026,121.978021978022,84.9462365591398,37.0317854188822,0.3875,60.989010989011,58.8888888888889,"COMBINED"
"2",4,419,416,13341,395,351,120,340,61,220,455,"allegheny, rochester, washu, capital, emory, chicago2, washu2, chicago2, rochester2, washu, capital, chicago, capital, washu2, chicago2, case western reserve2, washu, capital, washu, chicago, nyu2, washu, nyu, wooster, carnegie mellon, case western reserve, carnegie mellon, emory, washu2, washu2, carnegie mellon, emory, washu2, carnegie mellon, case western reserve2, emory, geneva, pitt.-greensburg, pitt.-greensburg2, case western reserve, carnegie mellon2, chicago, washu, washu, carnegie mellon2, case western reserve, pitt.-greensburg2, brandeis, pitt.-greensburg, pitt.-greensburg, wooster, geneva, case western reserve, denison, rochester, case western reserve2, pitt.-greensburg, denison, case western reserve, pitt.-greensburg, pitt.-greensburg, geneva, chicago2, chicago2, chicago2, nyu2, rochester2, rochester2, chicago2, rochester, rochester, emory, washu2, washington & jefferson, chicago2, brandeis2, allegheny, chicago, emory, case western reserve2, washu, nyu2, nyu2, rochester2, washu, brandeis2, brandeis2, case western reserve2, washington & jefferson, case western reserve, rochester, rochester, carnegie mellon2, brandeis, chicago2, grove city, nyu, brandeis, nyu, geneva, carnegie mellon2, brandeis, wooster, wooster, pitt.-greensburg, pitt.-greensburg2, pitt.-greensburg2, brandeis, pitt.-greensburg, grove city, denison, emory2, nyu2, nyu2, grove city, brandeis2, rochester2, carnegie mellon2, capital, grove city, capital, grove city, case western reserve, chicago, chicago, chicago, emory, washu, pitt.-greensburg2, brandeis, pitt.-greensburg, brandeis, nyu, chicago2, pitt.-greensburg, case western reserve2, nyu, capital, capital, pitt.-greensburg2, pitt.-greensburg2, wooster, grove city, carnegie mellon2, allegheny, grove city, capital, rochester, brandeis, case western reserve2, geneva, brandeis, brandeis, denison, emory, nyu2, washington & jefferson, nyu2, rochester2, washu, washu, emory2, brandeis, geneva, pitt.-greensburg, geneva","15, 0, -5, 0, -7, -4, 13, -7, 5, -10, 2, -1, 7, 3, -2, 3, -9, 2, -3, -4, -14, -1, -25, 35, -7, 16, -3, -10, 13, 11, -7, -9, 6, -8, -1, -9, 17, 22, 23, 18, -2, -2, -7, -1, -2, 19, 16, 14, 22, 22, 8, 13, 19, 6, -3, -3, 7, 5, 19, 7, 5, 13, -5, -12, -7, -11, 5, 28, -14, 3, 3, -12, 11, -4, -4, 4, 19, 1, -7, 5, 0, -23, -11, 25, -5, 5, 7, 3, 0, 14, -10, 0, 6, 19, -3, 2, -20, 4, -12, 29, 4, 16, 6, 4, 19, 19, 23, 18, 1, 11, -8, -6, -15, -18, 0, 2, 25, 0, 2, -5, 6, 0, 14, 2, -1, -8, -5, -10, 18, 17, 22, 14, -20, -5, 6, -18, -12, 5, -1, 19, 26, 21, -3, -2, 17, -5, 6, 0, 2, -18, 33, 13, 14, 1, -10, -7, -9, -7, 28, -2, -4, 0, 17, 13, 5, 11","2, 3, 3, 3, 3, 1, 3, 2, 1, 4, 1, 1, 1, 2, 1, 1, 3, 1, 2, 3, 2, 2, 3, 3, 2, 3, 4, 1, 3, 3, 1, 2, 1, 1, 2, 2, 2, 3, 3, 3, 1, 2, 4, 2, 1, 4, 1, 2, 3, 3, 1, 1, 4, 2, 1, 2, 2, 2, 3, 2, 2, 1, 2, 3, 2, 1, 1, 3, 3, 1, 3, 1, 2, 3, 2, 2, 3, 2, 2, 1, 1, 2, 1, 3, 3, 1, 2, 1, 2, 3, 2, 3, 2, 4, 3, 1, 3, 1, 2, 3, 2, 4, 1, 2, 3, 2, 3, 3, 1, 3, 4, 3, 2, 3, 1, 2, 3, 2, 1, 2, 2, 2, 3, 1, 2, 4, 2, 2, 1, 4, 3, 3, 3, 3, 2, 3, 2, 2, 4, 2, 3, 2, 1, 2, 2, 2, 2, 1, 1, 3, 3, 3, 4, 1, 1, 1, 4, 1, 3, 1, 1, 1, 4, 1, 2, 1","COMBINED",75.1068135821902,84.375,94.272076372315,-9.89707637231504,0.352941176470588,47.8410206084396,48.3516483516484,"COMBINED"
"3",4,12,14,427,7,9,4,14,0,11,17,"chicago2, chicago2, rochester, rochester2","-10, -16, 4, 3","3, 3, 3, 1","5 24 1 10 21",73.0679156908665,64.2857142857143,58.3333333333333,5.95238095238096,0.285714285714286,32.1428571428571,64.7058823529412,"ARIAS,AVA BLACK,AVA CHINTALA,ANISHA DELMORE,KAYLA HEYER,ALLIE"
"4",4,16,16,511,23,17,6,12,2,7,12,"chicago2, chicago2, washu2","0, -3, 11","1, 3, 3","1 3 10 21 24",75.146771037182,106.25,143.75,-37.5,0.5,65.9937888198758,58.3333333333333,"ARIAS,AVA BLACK,AVA CHINTALA,ANISHA DELMORE,KAYLA LIGOTTI,PIPER"
"5",4,15,14,429,14,13,1,9,4,7,14,"emory, emory2, washu, washu","-5, -2, -2, -7","3, 2, 1, 4","22 1 3 10 24",81.1188811188811,92.8571428571429,93.3333333333333,-0.476190476190467,0.111111111111111,60.4089219330855,50,"ARIAS,AVA BLACK,AVA CHINTALA,ANISHA LIGOTTI,PIPER OR,CATHERINE"
"6",4,32,30,1009,35,14,12,28,6,19,42,"carnegie mellon2, carnegie mellon2, emory2, emory2, geneva, geneva, grove city, grove city, rochester2, washu2, washu2","7, 2, 3, -1, 9, 35, -3, 9, 22, 10, 12","1, 3, 1, 2, 1, 3, 2, 3, 2, 1, 3","4 5 21 10 24",73.7363726461843,46.6666666666667,109.375,-62.7083333333333,0.428571428571429,22.845953002611,45.2380952380952,"ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH HEYER,ALLIE"
"7",4,53,55,1579,34,46,14,48,5,30,58,"brandeis2, carnegie mellon, carnegie mellon2, case western reserve, chicago, geneva, grove city, grove city, nyu, pitt.-greensburg2, pitt.-greensburg2, washu, washu2, washu2, washu2","7, -5, 4, 10, 0, 30, 0, -5, -10, 0, 31, -3, -3, 9, 9","2, 1, 3, 2, 2, 2, 1, 2, 1, 1, 3, 2, 1, 3, 4","4 21 3 10 24",82.077264091197,83.6363636363636,64.1509433962264,19.4854202401372,0.291666666666667,45.8167330677291,51.7241379310345,"ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH LIGOTTI,PIPER"
"8",4,37,37,1250,36,45,14,36,6,24,46,"carnegie mellon, carnegie mellon, carnegie mellon, carnegie mellon, geneva, geneva, geneva, rochester, rochester, rochester2, washu","-6, -4, -5, -5, 0, 13, 32, 6, -4, 30, -6","3, 4, 4, 4, 1, 2, 3, 3, 4, 3, 3","4 10 21 22 24",71.04,121.621621621622,97.2972972972973,24.3243243243243,0.388888888888889,58.2298136645963,52.1739130434783,"ARIAS,AVA CHINTALA,ANISHA DELMORE,KAYLA GIBBS,SAVANNAH OR,CATHERINE"
"9",4,29,26,811,31,25,3,22,2,13,21,"capital, capital, emory, nyu, washu, washu2, wooster","1, 1, -5, -19, -11, 6, 6","2, 3, 3, 2, 3, 4, 1","4 10 5 3 24",81.3810110974106,96.1538461538462,106.896551724138,-10.7427055702918,0.136363636363636,54.6328671328671,61.9047619047619,"ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE LIGOTTI,PIPER"
"10",4,17,16,434,16,14,4,16,2,12,19,"brandeis, capital, pitt.-greensburg","14, 6, 8","3, 2, 1","4 10 23 5 24",91.2442396313364,87.5,94.1176470588235,-6.61764705882352,0.25,41.4691943127962,63.1578947368421,"ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE NAMBISAN,ISHA"
