"","GAME","SCORE","LOCATION","3G","4G","3G MEDIAN NET RATING","4G MEDIAN NET RATING","NET RATING DIFFERENCE","NET RATING MANN-WHITNEY P-VALUE","3G MEDIAN TRB%","4G MEDIAN TRB%","TRB% DIFFERENCE","TRB% MANN-WHITNEY P-VALUE","3G MEDIAN 3PA/FGA","4G MEDIAN 3PA/FGA","3PA/FGA DIFFERENCE","3PA/FGA MANN-WHITNEY P-VALUE","3G MEDIAN TRUE SHOOTING %","4G MEDIAN TRUE SHOOTING %","TRUE SHOOTING % DIFFERENCE","TRUE SHOOTING % MANN-WHITNEY P-VALUE","3G MEDIAN PACE","4G MEDIAN PACE","PACE DIFFERENCE","PACE MANN-WHITNEY P-VALUE","3G MEDIAN DEFENSIVE RATING","4G MEDIAN DEFENSIVE RATING","DEFENSIVE RATING DIFFERENCE","DEFENSIVE RATING MANN-WHITNEY P-VALUE","3G MEDIAN OFFENSIVE RATING","4G MEDIAN OFFENSIVE RATING","OFFENSIVE RATING DIFFERENCE","OFFENSIVE RATING MANN-WHITNEY P-VALUE"
"1","allegheny","73-47","AWAY",6,6,-37.5,1.98,39.48,0.75,58.33,47.22,11.11,0.14,0.07,0.1,0.03,0.93,27.17,32.71,5.54,1,66.06,81.93,15.87,0.03,83.33,58.33,25,0.46,83.33,60.71,22.62,0.87
"2","penn state-behrend","78-74","HOME",5,5,33.73,3.57,30.15,1,55.56,61.9,6.35,0.75,0.33,0.4,0.07,0.83,50,51.02,1.02,0.67,83.02,79.34,3.68,0.21,116.67,73.68,42.98,0.6,100,75,25,0.67
"3","muskingum","91-61","HOME",2,7,100.83,-16.67,117.5,0.19,50,60,10,1,0.29,0.5,0.21,0.38,94.91,53.19,41.72,0.11,64.4,82.19,17.79,0.88,86.67,125,38.33,1,187.5,66.67,120.83,0.1
"4","oberlin","81-43","HOME",1,10,-150,91.67,241.67,0.15,50,50,0,1,0,0.27,0.27,0.33,0,62.61,62.61,0.2,87.5,78.16,9.34,0.64,150,33.33,116.67,0.14,0,133.33,133.33,0.2
"5","denison","75-58","AWAY",2,6,128.35,-0.89,129.24,0.07,84.38,38.54,45.83,0.18,0.4,0.25,0.15,0.23,102.52,47.81,54.7,0.24,61.16,71.04,9.87,0.24,68.57,93.75,25.18,0.24,196.92,92.86,104.07,0.24
"6","carlow","92-45","HOME",2,7,16.67,66.67,50,0.56,71.43,55.56,15.87,0.66,0.12,0.33,0.21,0.1,50,62.5,12.5,1,79.08,77.59,1.5,1,50,54.55,4.55,0.66,66.67,140,73.33,0.31
"7","wooster","69-43","AWAY",4,5,45.83,75,29.17,0.71,70.83,66.67,4.17,0.53,0,0.33,0.33,0.08,38.81,50,11.19,0.22,57.15,84.11,26.96,0.11,37.5,0,37.5,0.89,83.33,120,36.67,0.39
"8","la roche","72-47","HOME",1,9,64.44,0,64.44,0.73,50,50,0,1,0.25,0.2,0.05,0.59,61.09,50,11.09,0.73,90.84,64.67,26.17,0.3,80,50,30,0.72,144.44,100,44.44,0.48
"9","wis.-eau claire","71-48","HOME",4,5,36.67,0,36.67,1,66.67,50,16.67,1,0.39,0.5,0.11,0.26,59.72,52.08,7.64,0.53,60.82,63.16,2.33,0.54,120,46.43,73.57,0.23,75,92.86,17.86,1
"10","baldwin wallace","51-70","AWAY",3,5,0,0,0,1,50,0,50,0.06,0,0.17,0.17,0.53,30,75,45,0.17,78.69,65.75,12.94,0.14,50,0,50,1,42.86,100,57.14,0.17
