"","NUMBER OF GUARDS","OPPONENT POSSESSIONS","CMU POSSESSIONS","LINEUP SECONDS","OPPONENT PTS","CMU PTS","CMU 3PA","CMU FGA","CMU FTA","CMU REBOUNDS","TOTAL REBOUNDS","OPPONENTS","SCORE DIFFERENTIAL WHEN ENTER","QUARTER","NUMBERS","SCORE","LOCATION","PACE","OFFENSIVE RATING","DEFENSIVE RATING","NET RATING","3PA/FGA","TRUE SHOOTING %","TRB%","LINEUP_SORTED"
"1",3,189,178,6595,171,181,44,149,31,106,202,"rochester, bridgewater st., nyu2, rochester2, nyu2, denison, case western reserve, brandeis, baldwin wallace, rochester2, rochester2, allegheny, brandeis2, chicago, rochester2, rochester2, rochester2, brandeis2, chicago2, allegheny, nyu, penn state-behrend, allegheny, rochester2, emory, case western reserve2, brandeis2, muskingum, muskingum, emory, brandeis2, nyu2, rochester2, case western reserve2, nyu2, wis.-eau claire, allegheny, washu, wooster, wooster, brandeis, brandeis, penn state-behrend, washu, wooster, allegheny, emory, allegheny, case western reserve, chicago, penn state-behrend, washu, brandeis2, muskingum, oberlin, penn state-behrend, case western reserve, brandeis2, bridgewater st., allegheny, brandeis2, rochester, rochester2, case western reserve2, carlow, carlow, washu, brandeis, brandeis2, johns hopkins, rochester","9, 5, -24, 0, -23, 17, -7, 7, 5, 11, 9, -2, 11, -3, 11, 13, 18, 8, 2, 7, -33, 7, 16, 0, -6, 6, -2, 5, 30, -9, 11, -19, 0, 15, -21, -1, 16, 22, 5, 7, 19, 9, 8, 22, 8, 0, -8, 1, -4, -3, 1, 15, -2, 10, 19, 7, -9, 8, 0, 16, 13, 10, 6, 11, 25, 23, 18, 18, 14, -10, 17","3, 1, 2, 1, 2, 4, 1, 2, 2, 2, 3, 2, 4, 4, 2, 2, 3, 4, 2, 3, 3, 1, 4, 1, 2, 2, 2, 2, 3, 2, 3, 2, 2, 3, 2, 1, 4, 2, 2, 2, 3, 2, 1, 2, 2, 2, 2, 3, 2, 4, 2, 2, 2, 2, 2, 2, 2, 3, 1, 4, 4, 2, 2, 3, 2, 2, 4, 4, 4, 4, 4","COMBINED","72-55, 69-58, 52-83, 59-46, 52-83, 75-58, 69-63, 74-67, 51-70, 59-46, 59-46, 73-47, 62-51, 54-62, 59-46, 59-46, 59-46, 62-51, 60-57, 73-47, 62-91, 78-74, 73-47, 59-46, 67-77, 70-46, 62-51, 91-61, 91-61, 67-77, 62-51, 52-83, 59-46, 70-46, 52-83, 71-48, 73-47, 86-67, 69-43, 69-43, 74-67, 74-67, 78-74, 86-67, 69-43, 73-47, 67-77, 73-47, 69-63, 54-62, 78-74, 86-67, 62-51, 91-61, 81-43, 78-74, 69-63, 62-51, 69-58, 73-47, 62-51, 72-55, 59-46, 70-46, 92-45, 92-45, 86-67, 74-67, 62-51, 58-68, 72-55","AWAY, HOME, AWAY, HOME, AWAY, AWAY, AWAY, HOME, AWAY, HOME, HOME, AWAY, AWAY, AWAY, HOME, HOME, HOME, AWAY, HOME, AWAY, HOME, HOME, AWAY, HOME, AWAY, HOME, AWAY, HOME, HOME, AWAY, AWAY, AWAY, HOME, HOME, AWAY, HOME, AWAY, AWAY, AWAY, AWAY, HOME, HOME, HOME, AWAY, AWAY, AWAY, AWAY, AWAY, AWAY, AWAY, HOME, AWAY, AWAY, HOME, HOME, HOME, AWAY, AWAY, HOME, AWAY, AWAY, AWAY, HOME, HOME, HOME, HOME, AWAY, HOME, AWAY, AWAY, AWAY",66.7778620166793,101.685393258427,90.4761904761905,11.2092027822365,0.295302013422819,55.6443679291687,52.4752475247525,"COMBINED"
"2",4,318,314,10533,268,342,93,264,101,177,357,"brandeis, denison, brandeis, washu2, allegheny, case western reserve, brandeis, emory, nyu, washu, case western reserve2, penn state-behrend, brandeis, muskingum, muskingum, washu2, la roche, case western reserve, washu, washu, emory, brandeis, emory, nyu, nyu, denison, nyu, nyu, chicago, rochester2, allegheny, baldwin wallace, wis.-eau claire, rochester2, rochester2, la roche, brandeis, nyu2, brandeis, oberlin, muskingum, wis.-eau claire, nyu2, brandeis, chicago, rochester, nyu, emory, brandeis, nyu, brandeis, bridgewater st., chicago, wis.-eau claire, rochester2, brandeis2, emory, washu2, nyu, wooster, case western reserve2, brandeis, oberlin, case western reserve, rochester, rochester, washington & jefferson, case western reserve, washington & jefferson, carlow, oberlin, denison, emory2, rochester2, washington & jefferson, washington & jefferson, washington & jefferson, case western reserve, muskingum, carlow, muskingum, oberlin, muskingum, case western reserve, washington & jefferson, washington & jefferson, brandeis, brandeis, oberlin, chicago, la roche, rochester, chicago, oberlin, brandeis2, la roche, oberlin, carlow, case western reserve, chicago, muskingum, washington & jefferson, washu2, washu2, bridgewater st., washington & jefferson, la roche, washington & jefferson, emory, carlow, carlow, washington & jefferson, oberlin, oberlin, wooster, emory, la roche, oberlin, oberlin, rochester, wooster, rochester, carlow, muskingum, rochester, muskingum","0, 15, 15, -11, -3, -10, 14, -4, -15, 11, 15, 8, 16, 9, 11, -13, 16, -9, 3, 13, -3, 5, -4, -9, -26, 15, -33, -33, 2, 11, 1, 5, 15, -4, 15, 7, 15, -18, 14, 19, 8, -1, -18, 7, -2, 2, -25, -2, 22, -36, 22, 5, -4, 17, 9, -4, -4, -10, -11, 7, 14, 14, 19, -8, 5, 11, 4, -9, 3, 20, 10, -10, -17, 11, -2, 0, 0, -9, 9, 24, 11, 12, 8, 4, 8, 2, 10, 9, 31, 1, 17, 15, 1, 9, 8, 7, 17, 34, -3, 0, 34, 1, 0, 5, 11, 1, 7, 4, -11, 23, 23, 0, 30, 26, 11, -9, 13, 7, 23, 15, 0, 18, 32, 13, 16, 13","1, 4, 4, 1, 1, 1, 2, 1, 1, 1, 2, 1, 4, 2, 2, 1, 3, 2, 1, 4, 1, 1, 1, 1, 2, 4, 3, 3, 1, 2, 2, 2, 2, 1, 3, 2, 4, 2, 4, 2, 2, 1, 2, 2, 1, 1, 2, 1, 3, 3, 3, 3, 1, 4, 2, 1, 2, 1, 1, 2, 2, 4, 2, 2, 1, 2, 1, 1, 2, 1, 1, 2, 2, 2, 2, 1, 1, 1, 2, 2, 1, 2, 2, 3, 4, 1, 4, 4, 3, 2, 3, 4, 2, 1, 4, 2, 2, 3, 3, 2, 3, 2, 2, 3, 4, 2, 2, 4, 3, 2, 2, 1, 3, 3, 2, 4, 1, 1, 3, 4, 2, 4, 3, 1, 4, 1","COMBINED","74-67, 75-58, 74-67, 76-70, 73-47, 69-63, 74-67, 67-77, 62-91, 86-67, 70-46, 78-74, 74-67, 91-61, 91-61, 76-70, 72-47, 69-63, 86-67, 86-67, 67-77, 74-67, 67-77, 62-91, 62-91, 75-58, 62-91, 62-91, 54-62, 59-46, 73-47, 51-70, 71-48, 59-46, 59-46, 72-47, 74-67, 52-83, 74-67, 81-43, 91-61, 71-48, 52-83, 74-67, 54-62, 72-55, 62-91, 67-77, 74-67, 62-91, 74-67, 69-58, 54-62, 71-48, 59-46, 62-51, 67-77, 76-70, 62-91, 69-43, 70-46, 74-67, 81-43, 69-63, 72-55, 72-55, 80-77, 69-63, 80-77, 92-45, 81-43, 75-58, 78-66, 59-46, 80-77, 80-77, 80-77, 69-63, 91-61, 92-45, 91-61, 81-43, 91-61, 69-63, 80-77, 80-77, 74-67, 74-67, 81-43, 54-62, 72-47, 72-55, 54-62, 81-43, 62-51, 72-47, 81-43, 92-45, 69-63, 54-62, 91-61, 80-77, 76-70, 76-70, 69-58, 80-77, 72-47, 80-77, 67-77, 92-45, 92-45, 80-77, 81-43, 81-43, 69-43, 67-77, 72-47, 81-43, 81-43, 72-55, 69-43, 72-55, 92-45, 91-61, 72-55, 91-61","HOME, AWAY, HOME, HOME, AWAY, AWAY, HOME, AWAY, HOME, AWAY, HOME, HOME, HOME, HOME, HOME, HOME, HOME, AWAY, AWAY, AWAY, AWAY, HOME, AWAY, HOME, HOME, AWAY, HOME, HOME, AWAY, HOME, AWAY, AWAY, HOME, HOME, HOME, HOME, HOME, AWAY, HOME, HOME, HOME, HOME, AWAY, HOME, AWAY, AWAY, HOME, AWAY, HOME, HOME, HOME, HOME, AWAY, HOME, HOME, AWAY, AWAY, HOME, HOME, AWAY, HOME, HOME, HOME, AWAY, AWAY, AWAY, HOME, AWAY, HOME, HOME, HOME, AWAY, HOME, HOME, HOME, HOME, HOME, AWAY, HOME, HOME, HOME, HOME, HOME, AWAY, HOME, HOME, HOME, HOME, HOME, AWAY, HOME, AWAY, AWAY, HOME, AWAY, HOME, HOME, HOME, AWAY, AWAY, HOME, HOME, HOME, HOME, HOME, HOME, HOME, HOME, AWAY, HOME, HOME, HOME, HOME, HOME, AWAY, AWAY, HOME, HOME, HOME, AWAY, AWAY, AWAY, HOME, HOME, AWAY, HOME",72.0022785531188,108.917197452229,84.2767295597484,24.6404678924809,0.352272727272727,55.4402801193101,49.5798319327731,"COMBINED"
"3",4,106,110,3523,75,121,20,85,41,60,114,"allegheny, brandeis, carlow, case western reserve, case western reserve, chicago, chicago2, denison, emory2, muskingum, muskingum, oberlin, oberlin, penn state-behrend, penn state-behrend, rochester, washington & jefferson, washington & jefferson, washu2, washu2, washu2, washu2","0, 13, 23, -11, -11, -4, 6, 1, -7, 0, 11, 0, 18, 8, 5, 5, 0, 0, 0, 10, 5, 4","3, 2, 3, 1, 1, 3, 2, 1, 1, 1, 3, 1, 3, 3, 4, 2, 1, 3, 3, 4, 4, 4","15 23 33 22 10","73-47, 74-67, 92-45, 69-63, 69-63, 54-62, 60-57, 75-58, 78-66, 91-61, 91-61, 81-43, 81-43, 78-74, 78-74, 72-55, 80-77, 80-77, 76-70, 76-70, 76-70, 76-70","AWAY, HOME, HOME, AWAY, AWAY, AWAY, HOME, AWAY, HOME, HOME, HOME, HOME, HOME, HOME, HOME, AWAY, HOME, HOME, HOME, HOME, HOME, HOME",73.5736588135112,110,70.7547169811321,39.2452830188679,0.235294117647059,58.7150621118012,52.6315789473684,"ARIAS,AVA BANEY,PAYTON CHINTALA,ANISHA NAMBISAN,ISHA OR,CATHERINE"
"4",4,13,13,427,14,12,4,12,0,6,13,"baldwin wallace, bridgewater st., case western reserve2, penn state-behrend, rochester","-4, 13, -5, 6, 7","1, 4, 1, 1, 1","23 10 33 15 24","51-70, 69-58, 70-46, 78-74, 72-55","AWAY, HOME, HOME, HOME, AWAY",73.0679156908665,92.3076923076923,107.692307692308,-15.3846153846154,0.333333333333333,50,46.1538461538462,"ARIAS,AVA BANEY,PAYTON CHINTALA,ANISHA NAMBISAN,ISHA TIMKO,NICOLE"
"5",4,43,41,1627,26,49,7,39,7,22,43,"allegheny, brandeis2, bridgewater st., case western reserve2, case western reserve2, chicago2, denison, emory, johns hopkins, la roche, rochester, washu2, wis.-eau claire","-5, -1, 7, 9, 14, 0, -5, -6, -12, 7, 7, -11, 17","2, 1, 1, 3, 4, 3, 1, 1, 1, 1, 3, 1, 4","24 15 10 23 22","73-47, 62-51, 69-58, 70-46, 70-46, 60-57, 75-58, 67-77, 58-68, 72-47, 72-55, 76-70, 71-48","AWAY, AWAY, HOME, HOME, HOME, HOME, AWAY, AWAY, AWAY, HOME, AWAY, HOME, HOME",61.9545175169023,119.512195121951,60.4651162790698,59.0470788428814,0.17948717948718,58.222433460076,51.1627906976744,"ARIAS,AVA BANEY,PAYTON CHINTALA,ANISHA OR,CATHERINE TIMKO,NICOLE"
"6",4,46,46,1530,35,53,13,36,12,25,51,"allegheny, brandeis, bridgewater st., carlow, case western reserve, chicago2, emory2, emory2, emory2, johns hopkins, nyu, nyu2, penn state-behrend, washu, wis.-eau claire","-5, 0, 8, 6, -11, 4, -4, -3, 0, -8, -16, -18, 8, 13, 13","1, 1, 4, 1, 1, 2, 1, 3, 4, 1, 1, 3, 4, 3, 2","23 15 22 33 24","73-47, 74-67, 69-58, 92-45, 69-63, 60-57, 78-66, 78-66, 78-66, 58-68, 62-91, 52-83, 78-74, 86-67, 71-48","AWAY, HOME, HOME, HOME, AWAY, HOME, HOME, HOME, HOME, AWAY, HOME, AWAY, HOME, AWAY, HOME",72.156862745098,115.217391304348,76.0869565217391,39.1304347826087,0.361111111111111,64.1957364341085,49.0196078431373,"ARIAS,AVA BANEY,PAYTON NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"7",4,169,172,5642,145,146,37,138,26,87,167,"allegheny, baldwin wallace, baldwin wallace, baldwin wallace, baldwin wallace, brandeis, bridgewater st., bridgewater st., carlow, case western reserve, case western reserve, case western reserve, chicago, chicago, chicago, denison, denison, denison, johns hopkins, johns hopkins, la roche, la roche, la roche, nyu, nyu2, oberlin, penn state-behrend, penn state-behrend, penn state-behrend, rochester, washu, washu2, wis.-eau claire, wis.-eau claire, wis.-eau claire, wis.-eau claire, wooster, wooster","-2, 0, -2, 9, -9, 7, -2, 7, 0, 0, -9, 0, 4, 0, -3, 0, -5, -5, -6, 2, 0, 9, 17, -19, -19, 19, 0, 7, 3, 17, -2, -1, 0, 3, 13, 9, 0, 12","3, 1, 2, 2, 3, 1, 1, 2, 1, 1, 3, 4, 2, 2, 4, 1, 2, 3, 1, 2, 1, 3, 3, 2, 3, 2, 1, 2, 3, 4, 1, 2, 1, 2, 3, 3, 1, 3","23 4 33 10 22","73-47, 51-70, 51-70, 51-70, 51-70, 74-67, 69-58, 69-58, 92-45, 69-63, 69-63, 69-63, 54-62, 54-62, 54-62, 75-58, 75-58, 75-58, 58-68, 58-68, 72-47, 72-47, 72-47, 62-91, 52-83, 81-43, 78-74, 78-74, 78-74, 72-55, 86-67, 76-70, 71-48, 71-48, 71-48, 71-48, 69-43, 69-43","AWAY, AWAY, AWAY, AWAY, AWAY, HOME, HOME, HOME, HOME, AWAY, AWAY, AWAY, AWAY, AWAY, AWAY, AWAY, AWAY, AWAY, AWAY, AWAY, HOME, HOME, HOME, HOME, AWAY, HOME, HOME, HOME, HOME, AWAY, AWAY, HOME, HOME, HOME, HOME, HOME, AWAY, AWAY",72.5274725274725,84.8837209302326,85.7988165680473,-0.915095637814787,0.268115942028986,48.8490364025696,52.0958083832335,"ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE"
"8",4,17,17,620,20,17,3,14,1,7,18,"baldwin wallace, brandeis2, la roche, nyu2, rochester, rochester2, rochester2, rochester2","0, 6, 11, -13, 19, 7, 14, 9","1, 3, 2, 1, 3, 2, 3, 4","23 10 33 4 24","51-70, 62-51, 72-47, 52-83, 72-55, 59-46, 59-46, 59-46","AWAY, AWAY, HOME, AWAY, AWAY, HOME, HOME, HOME",65.8064516129032,100,117.647058823529,-17.6470588235294,0.214285714285714,58.8642659279778,38.8888888888889,"ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH NAMBISAN,ISHA TIMKO,NICOLE"
"9",4,75,70,2634,64,67,19,58,13,34,69,"allegheny, allegheny, baldwin wallace, brandeis2, brandeis2, bridgewater st., case western reserve2, chicago, chicago2, chicago2, denison, denison, emory, emory2, la roche, nyu2, penn state-behrend, rochester, washu, washu","-5, 1, -7, -5, 2, 2, -4, 0, -4, 4, -4, 14, -9, -6, 7, -10, 6, 7, 1, 12","1, 2, 3, 2, 3, 1, 1, 1, 1, 3, 2, 4, 3, 1, 2, 1, 4, 1, 1, 3","4 10 22 23 24","73-47, 73-47, 51-70, 62-51, 62-51, 69-58, 70-46, 54-62, 60-57, 60-57, 75-58, 75-58, 67-77, 78-66, 72-47, 52-83, 78-74, 72-55, 86-67, 86-67","AWAY, AWAY, AWAY, AWAY, AWAY, HOME, HOME, AWAY, HOME, HOME, AWAY, AWAY, AWAY, HOME, HOME, AWAY, HOME, AWAY, AWAY, AWAY",66.0592255125285,95.7142857142857,85.3333333333333,10.3809523809524,0.327586206896552,52.5737602008789,49.2753623188406,"ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH OR,CATHERINE TIMKO,NICOLE"
"10",4,43,47,1569,38,51,17,39,5,19,44,"baldwin wallace, brandeis, brandeis2, bridgewater st., bridgewater st., case western reserve, case western reserve, case western reserve2, emory2, johns hopkins, johns hopkins, la roche, nyu, nyu2, nyu2, washu, wis.-eau claire, wis.-eau claire","6, 7, -6, 0, 1, -9, -5, 0, -6, -6, -9, 11, -19, -13, -18, 22, 13, 9","2, 2, 2, 2, 3, 3, 3, 1, 1, 1, 3, 2, 2, 1, 3, 2, 2, 3","33 23 22 4 24","51-70, 74-67, 62-51, 69-58, 69-58, 69-63, 69-63, 70-46, 78-66, 58-68, 58-68, 72-47, 62-91, 52-83, 52-83, 86-67, 71-48, 71-48","AWAY, HOME, AWAY, HOME, HOME, AWAY, AWAY, HOME, HOME, AWAY, AWAY, HOME, HOME, AWAY, AWAY, AWAY, HOME, HOME",68.8336520076482,108.510638297872,88.3720930232558,20.1385452746165,0.435897435897436,61.8932038834951,43.1818181818182,"ARIAS,AVA GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
