"","GAME","SCORE","3G","4G","3G MEDIAN NET RATING","4G MEDIAN NET RATING","NET RATING DIFFERENCE","NET RATING MANN-WHITNEY P-VALUE","3G MEDIAN TRB%","4G MEDIAN TRB%","TRB% DIFFERENCE","TRB% MANN-WHITNEY P-VALUE","3G MEDIAN 3PA/FGA","4G MEDIAN 3PA/FGA","3PA/FGA DIFFERENCE","3PA/FGA MANN-WHITNEY P-VALUE","3G MEDIAN TRUE SHOOTING %","4G MEDIAN TRUE SHOOTING %","TRUE SHOOTING % DIFFERENCE","TRUE SHOOTING % MANN-WHITNEY P-VALUE","3G MEDIAN PACE","4G MEDIAN PACE","PACE DIFFERENCE","PACE MANN-WHITNEY P-VALUE","3G MEDIAN DEFENSIVE RATING","4G MEDIAN DEFENSIVE RATING","DEFENSIVE RATING DIFFERENCE","DEFENSIVE RATING MANN-WHITNEY P-VALUE","3G MEDIAN OFFENSIVE RATING","4G MEDIAN OFFENSIVE RATING","OFFENSIVE RATING DIFFERENCE","OFFENSIVE RATING MANN-WHITNEY P-VALUE"
"1","allegheny"," ",7,8,-33.33,42.86,76.19,1,66.67,50,16.67,0.13,0,0.12,0.12,0.51,28.57,34.72,6.15,0.8,66.67,85.71,19.05,0.01,66.67,39.29,27.38,0.47,100,71.43,28.57,0.61
"2","penn state-behrend"," ",7,7,-16.47,0,16.47,1,52.78,60,7.22,1,0.33,0.32,0.01,1,50,56.82,6.82,0.47,83.02,79.34,3.68,0.34,116.67,100,16.67,0.8,100,100,0,0.94
"3","muskingum"," ",3,11,91.67,15,76.67,0.8,50,58.57,8.57,0.86,0.33,0.5,0.17,1,77.32,54.07,23.25,0.8,69.23,80,10.77,0.44,133.33,100,33.33,0.43,150,100,50,0.44
"4","oberlin"," ",1,14,-150,83.33,233.33,0.14,50,50,0,1,0,0.33,0.33,0.26,0,67.34,67.34,0.21,87.5,78.16,9.34,0.73,150,33.33,116.67,0.12,0,133.33,133.33,0.24
"5","denison"," ",4,7,128.35,5.36,122.99,0.19,84.38,43.75,40.62,0.3,0.4,0.25,0.15,0.46,102.52,48.8,53.72,0.46,73.63,71.64,1.98,1,80,87.5,7.5,1,153.85,92.86,60.99,1
"6","carlow"," ",2,9,16.67,66.67,50,0.48,71.43,66.67,4.76,0.81,0.12,0.33,0.21,0.15,50,62.5,12.5,1,79.08,77.59,1.5,1,50,50,0,1,66.67,140,73.33,0.34
"7","wooster"," ",6,7,-4.17,100,104.17,0.15,70.83,66.67,4.17,0.38,0,0.33,0.33,0.73,27.01,62.5,35.49,0.03,71.47,80,8.53,0.83,37.5,100,62.5,0.4,50,142.86,92.86,0.04
"8","la roche"," ",1,13,64.44,0,64.44,0.8,50,50,0,1,0.25,0.2,0.05,0.9,61.09,50,11.09,0.8,90.84,66.67,24.17,0.46,80,33.33,46.67,0.61,144.44,100,44.44,0.61
"9","wis.-eau claire"," ",5,6,18.33,0,18.33,1,58.33,50,8.33,1,0.5,0.5,0,0.52,50,52.08,2.08,0.83,63.16,60.85,2.31,1,76.67,46.43,30.24,0.53,70,92.86,22.86,0.83
"10","baldwin wallace"," ",3,7,0,0,0,1,50,0,50,0.15,0,0,0,0.8,30,75,45,0.24,78.69,65.75,12.94,0.25,50,0,50,1,42.86,100,57.14,0.24
"11","case western reserve1"," ",6,12,-6.67,-10,3.33,0.61,47.22,30.95,16.27,0.3,0.4,0.51,0.11,0.41,68.03,36.03,32,0.04,68.05,79.59,11.54,0.37,100,83.33,16.67,1,133.33,36.67,96.67,0.01
