"","LINEUP (NAMES)","NUMBERS","NUMBER OF GUARDS","OPPONENT POSSESSIONS","CMU POSSESSIONS","LINEUP SECONDS","OPPONENT PTS","CMU PTS","SCORE DIFFERENTIAL WHEN ENTER","CMU 3PA","CMU FGA","CMU FTA","CMU REBOUNDS","TOTAL REBOUNDS","QUARTER","game_id","LINEUP_SORTED"
"1","HEYER,ALLIE, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA, NAMBISAN,ISHA","5 10 22 23 33",5,5,4,85,5,0,0,1,4,0,4,8,1,"allegheny","ARIAS,AVA CHINTALA,ANISHA HEYER,ALLIE NAMBISAN,ISHA OR,CATHERINE"
"2","GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA, TIMKO,NICOLE","4 10 22 23 24",4,7,7,243,6,2,-5,0,6,0,2,7,1,"allegheny","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH OR,CATHERINE TIMKO,NICOLE"
"3","GIBBS,SAVANNAH, BANEY,PAYTON, OR,CATHERINE, NAMBISAN,ISHA, TIMKO,NICOLE","4 15 22 33 24",3,3,4,174,0,4,-9,1,7,0,6,7,1,"allegheny","BANEY,PAYTON GIBBS,SAVANNAH NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"4","ARIAS,AVA, BANEY,PAYTON, OR,CATHERINE, NAMBISAN,ISHA, TIMKO,NICOLE","23 15 22 33 24",4,2,2,50,0,2,-5,1,2,2,2,3,1,"allegheny","ARIAS,AVA BANEY,PAYTON NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"5","ARIAS,AVA, BANEY,PAYTON, CHINTALA,ANISHA, NAMBISAN,ISHA, PEPER,ANYA","23 15 10 33 14",4,1,0,14,0,0,-3,0,0,0,0,0,1,"allegheny","ARIAS,AVA BANEY,PAYTON CHINTALA,ANISHA NAMBISAN,ISHA PEPER,ANYA"
"6","TIMKO,NICOLE, BANEY,PAYTON, CHINTALA,ANISHA, NAMBISAN,ISHA, OR,CATHERINE","24 15 10 33 22",4,3,4,113,2,0,-3,3,4,0,2,3,1,"allegheny","BANEY,PAYTON CHINTALA,ANISHA NAMBISAN,ISHA OR,CATHERINE TIMKO,NICOLE"
"7","TIMKO,NICOLE, BANEY,PAYTON, CHINTALA,ANISHA, ARIAS,AVA, OR,CATHERINE","24 15 10 23 22",4,6,6,168,0,6,-5,0,6,0,1,4,2,"allegheny","ARIAS,AVA BANEY,PAYTON CHINTALA,ANISHA OR,CATHERINE TIMKO,NICOLE"
"8","TIMKO,NICOLE, GIBBS,SAVANNAH, CHINTALA,ANISHA, ARIAS,AVA, OR,CATHERINE","24 4 10 23 22",4,2,1,62,2,2,1,1,2,0,2,2,2,"allegheny","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH OR,CATHERINE TIMKO,NICOLE"
"9","HEYER,ALLIE, GIBBS,SAVANNAH, CHINTALA,ANISHA, ARIAS,AVA, OR,CATHERINE","5 4 10 23 22",4,3,4,92,2,1,1,0,1,2,1,4,2,"allegheny","ARIAS,AVA CHINTALA,ANISHA GIBBS,SAVANNAH HEYER,ALLIE OR,CATHERINE"
"10","HEYER,ALLIE, GIBBS,SAVANNAH, BANEY,PAYTON, TIMKO,NICOLE, OR,CATHERINE","5 4 15 24 22",3,3,2,73,2,0,0,0,1,0,2,4,2,"allegheny","BANEY,PAYTON GIBBS,SAVANNAH HEYER,ALLIE OR,CATHERINE TIMKO,NICOLE"
