,LINEUP (NAMES),NUMBERS,SCORE,LOCATION,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"HEYER,ALLIE, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA, NAMBISAN,ISHA",5 10 22 23 33,73-47,AWAY,5,5,4,1:25,5,0,0,1,4,0,4,8,1
1,"GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA, TIMKO,NICOLE",4 10 22 23 24,73-47,AWAY,4,7,7,04:03,6,2,-5,0,6,0,2,7,1
2,"GIBBS,SAVANNAH, BANEY,PAYTON, OR,CATHERINE, NAMBISAN,ISHA, TIMKO,NICOLE",4 15 22 33 24,73-47,AWAY,3,3,4,02:54,0,4,-9,1,7,0,6,7,1
3,"ARIAS,AVA, BANEY,PAYTON, OR,CATHERINE, NAMBISAN,ISHA, TIMKO,NICOLE",23 15 22 33 24,73-47,AWAY,4,2,2,00:50,0,2,-5,1,2,2,2,3,1
4,"ARIAS,AVA, BANEY,PAYTON, CHINTALA,ANISHA, NAMBISAN,ISHA, PEPER,ANYA",23 15 10 33 14,73-47,AWAY,4,1,0,00:14,0,0,-3,0,0,0,0,0,1
5,"TIMKO,NICOLE, BANEY,PAYTON, CHINTALA,ANISHA, NAMBISAN,ISHA, OR,CATHERINE",24 15 10 33 22,73-47,AWAY,4,3,4,01:53,2,0,-3,3,4,0,2,3,1
6,"TIMKO,NICOLE, BANEY,PAYTON, CHINTALA,ANISHA, ARIAS,AVA, OR,CATHERINE",24 15 10 23 22,73-47,AWAY,4,6,6,02:48,0,6,-5,0,6,0,1,4,2
7,"TIMKO,NICOLE, GIBBS,SAVANNAH, CHINTALA,ANISHA, ARIAS,AVA, OR,CATHERINE",24 4 10 23 22,73-47,AWAY,4,2,1,01:02,2,2,1,1,2,0,2,2,2
8,"HEYER,ALLIE, GIBBS,SAVANNAH, CHINTALA,ANISHA, ARIAS,AVA, OR,CATHERINE",5 4 10 23 22,73-47,AWAY,4,3,4,01:32,2,1,1,0,1,2,1,4,2
9,"HEYER,ALLIE, GIBBS,SAVANNAH, BANEY,PAYTON, TIMKO,NICOLE, OR,CATHERINE",5 4 15 24 22,73-47,AWAY,3,3,2,01:13,2,0,0,0,1,0,2,4,2
10,"HEYER,ALLIE, GIBBS,SAVANNAH, BANEY,PAYTON, CHINTALA,ANISHA, OR,CATHERINE",5 4 15 10 22,73-47,AWAY,3,3,4,02:06,5,5,-2,1,3,0,1,2,2
11,"ARIAS,AVA, GIBBS,SAVANNAH, NAMBISAN,ISHA, CHINTALA,ANISHA, OR,CATHERINE",23 4 33 10 22,73-47,AWAY,4,7,7,03:35,2,5,-2,4,6,1,4,8,3
12,"BANEY,PAYTON, GIBBS,SAVANNAH, TIMKO,NICOLE, LIGOTTI,PIPER, OR,CATHERINE",15 4 24 3 22,73-47,AWAY,3,2,3,01:42,0,6,1,0,3,0,2,3,3
13,"BANEY,PAYTON, GIBBS,SAVANNAH, TIMKO,NICOLE, LIGOTTI,PIPER, CHINTALA,ANISHA",15 4 24 3 10,73-47,AWAY,3,4,3,01:59,7,0,7,3,3,0,2,4,3
14,"BANEY,PAYTON, ARIAS,AVA, NAMBISAN,ISHA, OR,CATHERINE, CHINTALA,ANISHA",15 23 33 22 10,73-47,AWAY,4,10,12,04:45,5,18,0,1,12,2,5,8,3
15,"BANEY,PAYTON, GIBBS,SAVANNAH, NAMBISAN,ISHA, OR,CATHERINE, CHINTALA,ANISHA",15 4 33 22 10,73-47,AWAY,3,3,3,01:50,3,2,13,0,3,2,2,3,4
16,"BANEY,PAYTON, GIBBS,SAVANNAH, TIMKO,NICOLE, OR,CATHERINE, CHINTALA,ANISHA",15 4 24 22 10,73-47,AWAY,3,1,1,00:31,0,4,12,0,1,2,1,1,4
17,"BANEY,PAYTON, GIBBS,SAVANNAH, TIMKO,NICOLE, PEPER,ANYA, CHINTALA,ANISHA",15 4 24 14 10,73-47,AWAY,3,1,2,01:24,2,2,16,0,2,1,2,3,4
18,"BANEY,PAYTON, PROUTY,ANNA, TIMKO,NICOLE, PEPER,ANYA, CHINTALA,ANISHA",15 11 24 14 10,73-47,AWAY,3,2,1,00:52,2,2,16,0,1,0,0,0,4
19,"BANEY,PAYTON, PROUTY,ANNA, TIMKO,NICOLE, PEPER,ANYA, OR,CATHERINE",15 11 24 14 22,73-47,AWAY,3,1,2,00:50,0,4,16,1,2,2,2,2,4
20,"LAFOND,LIV, PROUTY,ANNA, KATZ,JUSTINE, PEPER,ANYA, OR,CATHERINE",43 11 2 14 22,73-47,AWAY,3,4,3,01:14,0,4,20,0,3,0,4,4,4
21,"LAFOND,LIV, PROUTY,ANNA, KATZ,JUSTINE, PEPER,ANYA, LIGOTTI,PIPER",43 11 2 14 3,73-47,AWAY,3,1,2,01:18,2,4,24,1,3,0,1,1,4
