,LINEUP (NAMES),NUMBERS,SCORE,LOCATION,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA, NAMBISAN,ISHA",4 10 22 23 33,51-70,AWAY,4,9,10,4:44,9,9,0,3,7,0,1,5,1
1,"GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, BANEY,PAYTON, TIMKO,NICOLE",4 10 22 15 24,51-70,AWAY,3,3,2,01:50,4,0,0,0,2,0,1,2,1
2,"GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA, BANEY,PAYTON, TIMKO,NICOLE",4 10 33 15 24,51-70,AWAY,3,2,2,01:01,0,0,-4,0,1,0,1,2,1
3,"ARIAS,AVA, CHINTALA,ANISHA, NAMBISAN,ISHA, BANEY,PAYTON, TIMKO,NICOLE",23 10 33 15 24,51-70,AWAY,4,1,2,01:06,0,2,-4,0,1,0,0,2,1
4,"OR,CATHERINE, CHINTALA,ANISHA, NAMBISAN,ISHA, BANEY,PAYTON, TIMKO,NICOLE",22 10 33 15 24,51-70,AWAY,4,2,2,00:37,0,2,-2,0,1,0,1,1,1
5,"ARIAS,AVA, CHINTALA,ANISHA, NAMBISAN,ISHA, GIBBS,SAVANNAH, TIMKO,NICOLE",23 10 33 4 24,51-70,AWAY,4,1,1,00:42,2,0,0,0,1,0,0,1,1
6,"ARIAS,AVA, CHINTALA,ANISHA, NAMBISAN,ISHA, GIBBS,SAVANNAH, OR,CATHERINE",23 10 33 4 22,51-70,AWAY,4,3,4,02:08,0,7,-2,1,3,0,3,3,2
7,"ARIAS,AVA, CHINTALA,ANISHA, HEYER,ALLIE, GIBBS,SAVANNAH, OR,CATHERINE",23 10 5 4 22,51-70,AWAY,4,1,1,01:19,0,0,5,1,1,0,0,2,2
8,"NAMBISAN,ISHA, CHINTALA,ANISHA, HEYER,ALLIE, GIBBS,SAVANNAH, BANEY,PAYTON",33 10 5 4 15,51-70,AWAY,3,6,5,02:32,3,4,5,1,5,0,3,6,2
9,"NAMBISAN,ISHA, ARIAS,AVA, OR,CATHERINE, GIBBS,SAVANNAH, TIMKO,NICOLE",33 23 22 4 24,51-70,AWAY,4,2,2,01:08,0,3,6,1,2,0,1,2,2
10,"NAMBISAN,ISHA, ARIAS,AVA, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA",33 23 22 4 10,51-70,AWAY,4,11,12,07:01,21,7,9,0,9,1,5,12,2
11,"TIMKO,NICOLE, BANEY,PAYTON, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA",24 15 22 4 10,51-70,AWAY,3,9,8,04:19,6,4,-5,0,5,0,4,8,3
12,"TIMKO,NICOLE, ARIAS,AVA, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA",24 23 22 4 10,51-70,AWAY,4,2,2,01:13,4,2,-7,0,1,0,0,1,3
13,"NAMBISAN,ISHA, ARIAS,AVA, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA",33 23 22 4 10,51-70,AWAY,4,4,4,02:24,6,2,-9,0,4,0,1,4,3
14,"NAMBISAN,ISHA, TIMKO,NICOLE, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA",33 24 22 4 10,51-70,AWAY,4,0,1,00:18,0,3,-13,1,1,0,0,0,4
15,"BANEY,PAYTON, TIMKO,NICOLE, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA",15 24 22 4 10,51-70,AWAY,3,4,4,02:51,4,2,-10,0,3,0,3,5,4
16,"BANEY,PAYTON, NAMBISAN,ISHA, OR,CATHERINE, ARIAS,AVA, CHINTALA,ANISHA",15 33 22 23 10,51-70,AWAY,4,5,4,02:18,8,0,-12,3,4,0,2,5,4
17,"BANEY,PAYTON, TIMKO,NICOLE, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA",15 24 22 4 10,51-70,AWAY,3,2,3,01:22,0,2,-20,0,2,2,1,3,4
18,"BANEY,PAYTON, TIMKO,NICOLE, DELMORE,KAYLA, GIBBS,SAVANNAH, CHINTALA,ANISHA",15 24 21 4 10,51-70,AWAY,3,1,0,00:37,0,0,-18,0,0,0,0,0,4
19,"BANEY,PAYTON, TIMKO,NICOLE, DELMORE,KAYLA, HEYER,ALLIE, CHINTALA,ANISHA",15 24 21 5 10,51-70,AWAY,4,1,2,00:30,3,2,-18,0,1,0,0,0,4
