,LINEUP (NAMES),NUMBERS,SCORE,LOCATION,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"BANEY,PAYTON, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA",15 4 10 22 33,74-67,HOME,3,7,6,3:33,2,2,0,0,5,0,6,9,1
1,"BANEY,PAYTON, ARIAS,AVA, TIMKO,NICOLE, OR,CATHERINE, NAMBISAN,ISHA",15 23 24 22 33,74-67,HOME,4,3,3,01:24,2,2,0,1,2,0,1,3,1
2,"BANEY,PAYTON, ARIAS,AVA, TIMKO,NICOLE, CHINTALA,ANISHA, DELMORE,KAYLA",15 23 24 10 21,74-67,HOME,4,4,4,02:08,2,7,0,1,4,0,1,3,1
3,"GIBBS,SAVANNAH, ARIAS,AVA, OR,CATHERINE, CHINTALA,ANISHA, DELMORE,KAYLA",4 23 22 10 21,74-67,HOME,4,2,2,00:54,0,2,5,0,1,0,1,1,1
4,"GIBBS,SAVANNAH, ARIAS,AVA, OR,CATHERINE, CHINTALA,ANISHA, NAMBISAN,ISHA",4 23 22 10 33,74-67,HOME,4,3,3,01:48,6,5,7,1,3,0,0,2,1
5,"GIBBS,SAVANNAH, TIMKO,NICOLE, OR,CATHERINE, BANEY,PAYTON, NAMBISAN,ISHA",4 24 22 15 33,74-67,HOME,3,1,3,01:06,2,3,6,1,2,0,1,1,1
6,"GIBBS,SAVANNAH, TIMKO,NICOLE, OR,CATHERINE, ARIAS,AVA, NAMBISAN,ISHA",4 24 22 23 33,74-67,HOME,4,4,4,01:47,0,2,7,1,3,0,2,4,2
7,"PROUTY,ANNA, TIMKO,NICOLE, BANEY,PAYTON, DELMORE,KAYLA, NAMBISAN,ISHA",11 24 15 21 33,74-67,HOME,3,2,2,01:05,2,0,9,0,1,0,1,2,2
8,"PROUTY,ANNA, CHINTALA,ANISHA, BANEY,PAYTON, DELMORE,KAYLA, PEPER,ANYA",11 10 15 21 14,74-67,HOME,3,3,2,01:27,4,4,7,1,3,0,2,2,2
9,"PROUTY,ANNA, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA, PEPER,ANYA",11 10 22 23 14,74-67,HOME,4,3,4,01:55,2,8,7,1,4,1,2,4,2
10,"BANEY,PAYTON, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA, NAMBISAN,ISHA",15 10 22 23 33,74-67,HOME,4,3,2,01:54,1,2,13,0,2,0,0,2,2
11,"BANEY,PAYTON, DELMORE,KAYLA, TIMKO,NICOLE, ARIAS,AVA, NAMBISAN,ISHA",15 21 24 23 33,74-67,HOME,4,1,2,00:59,2,2,14,0,2,0,0,1,2
12,"BANEY,PAYTON, GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA, NAMBISAN,ISHA",15 4 22 10 33,74-67,HOME,3,5,6,03:22,2,8,14,4,6,0,3,4,3
13,"BANEY,PAYTON, GIBBS,SAVANNAH, OR,CATHERINE, TIMKO,NICOLE, NAMBISAN,ISHA",15 4 22 24 33,74-67,HOME,3,3,2,01:15,5,4,20,0,2,0,1,3,3
14,"BANEY,PAYTON, GIBBS,SAVANNAH, OR,CATHERINE, TIMKO,NICOLE, DELMORE,KAYLA",15 4 22 24 21,74-67,HOME,3,4,4,02:21,2,5,19,1,4,0,3,6,3
15,"ARIAS,AVA, PROUTY,ANNA, OR,CATHERINE, TIMKO,NICOLE, DELMORE,KAYLA",23 11 22 24 21,74-67,HOME,4,-1,1,00:19,0,0,22,1,1,0,0,1,3
16,"ARIAS,AVA, PROUTY,ANNA, PEPER,ANYA, TIMKO,NICOLE, DELMORE,KAYLA",23 11 14 24 21,74-67,HOME,4,4,5,02:43,0,5,22,0,3,4,3,6,3
17,"OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA, BANEY,PAYTON",22 4 10 33 15,74-67,HOME,3,5,4,02:26,8,3,27,2,3,0,3,4,4
18,"OR,CATHERINE, GIBBS,SAVANNAH, TIMKO,NICOLE, NAMBISAN,ISHA, LAFOND,LIV",22 4 24 33 43,74-67,HOME,3,2,3,01:56,6,2,22,0,3,0,2,3,4
19,"OR,CATHERINE, GIBBS,SAVANNAH, TIMKO,NICOLE, HEYER,ALLIE, LAFOND,LIV",22 4 24 5 43,74-67,HOME,3,1,0,00:34,2,0,18,0,0,0,0,1,4
20,"OR,CATHERINE, BANEY,PAYTON, TIMKO,NICOLE, HEYER,ALLIE, ARIAS,AVA",22 15 24 5 23,74-67,HOME,4,2,3,01:05,3,2,16,0,1,2,1,2,4
21,"OR,CATHERINE, BANEY,PAYTON, CHINTALA,ANISHA, HEYER,ALLIE, ARIAS,AVA",22 15 10 5 23,74-67,HOME,4,1,1,00:53,0,0,15,0,0,0,1,2,4
22,"OR,CATHERINE, PROUTY,ANNA, CHINTALA,ANISHA, HEYER,ALLIE, ARIAS,AVA",22 11 10 5 23,74-67,HOME,4,1,1,00:33,2,1,15,0,1,2,1,1,4
23,"OR,CATHERINE, PROUTY,ANNA, CHINTALA,ANISHA, KATZ,JUSTINE, ARIAS,AVA",22 11 10 2 23,74-67,HOME,4,1,1,00:35,0,0,14,0,0,2,1,1,4
24,"OR,CATHERINE, PROUTY,ANNA, PEPER,ANYA, KATZ,JUSTINE, ARIAS,AVA",22 11 14 2 23,74-67,HOME,4,3,3,01:16,7,3,14,1,1,0,2,3,4
25,"OR,CATHERINE, PROUTY,ANNA, CHINTALA,ANISHA, KATZ,JUSTINE, DELMORE,KAYLA",22 11 10 2 21,74-67,HOME,4,2,1,00:37,3,2,10,0,0,3,0,0,4
26,"PEPER,ANYA, PROUTY,ANNA, CHINTALA,ANISHA, KATZ,JUSTINE, DELMORE,KAYLA",14 11 10 2 21,74-67,HOME,4,1,0,00:05,2,0,9,0,0,1,0,2,4
