,LINEUP (NAMES),NUMBERS,SCORE,LOCATION,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"BANEY,PAYTON, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA",15 4 10 22 33,62-51,AWAY,3,4,5,2:55,4,3,0,1,3,2,3,5,1
1,"BANEY,PAYTON, ARIAS,AVA, CHINTALA,ANISHA, OR,CATHERINE, TIMKO,NICOLE",15 23 10 22 24,62-51,AWAY,4,5,4,03:29,4,1,-1,0,3,2,2,7,1
2,"HEYER,ALLIE, ARIAS,AVA, GIBBS,SAVANNAH, OR,CATHERINE, TIMKO,NICOLE",5 23 4 22 24,62-51,AWAY,4,4,4,03:14,7,2,-4,1,3,0,1,3,1
3,"CHINTALA,ANISHA, BANEY,PAYTON, GIBBS,SAVANNAH, OR,CATHERINE, NAMBISAN,ISHA",10 15 4 22 33,62-51,AWAY,3,6,6,03:55,3,10,-9,3,6,0,1,5,1
4,"CHINTALA,ANISHA, BANEY,PAYTON, LAFOND,LIV, OR,CATHERINE, NAMBISAN,ISHA",10 15 43 22 33,62-51,AWAY,3,2,2,00:38,0,0,-2,0,2,0,2,3,2
5,"HEYER,ALLIE, BANEY,PAYTON, LAFOND,LIV, OR,CATHERINE, NAMBISAN,ISHA",5 15 43 22 33,62-51,AWAY,3,2,2,02:21,4,0,-2,0,1,0,0,1,2
6,"GIBBS,SAVANNAH, ARIAS,AVA, TIMKO,NICOLE, OR,CATHERINE, NAMBISAN,ISHA",4 23 24 22 33,62-51,AWAY,4,2,2,00:56,1,2,-6,2,3,0,2,3,2
7,"GIBBS,SAVANNAH, ARIAS,AVA, TIMKO,NICOLE, OR,CATHERINE, CHINTALA,ANISHA",4 23 24 22 10,62-51,AWAY,4,3,2,02:30,1,4,-5,0,4,0,2,6,2
8,"GIBBS,SAVANNAH, BANEY,PAYTON, TIMKO,NICOLE, OR,CATHERINE, CHINTALA,ANISHA",4 15 24 22 10,62-51,AWAY,3,0,1,00:02,0,0,-2,0,1,0,0,0,2
9,"GIBBS,SAVANNAH, BANEY,PAYTON, NAMBISAN,ISHA, OR,CATHERINE, CHINTALA,ANISHA",4 15 33 22 10,62-51,AWAY,3,6,7,04:08,3,7,-2,2,8,0,6,10,3
10,"GIBBS,SAVANNAH, ARIAS,AVA, TIMKO,NICOLE, OR,CATHERINE, CHINTALA,ANISHA",4 23 24 22 10,62-51,AWAY,4,4,3,02:05,2,6,2,3,3,0,3,3,3
11,"GIBBS,SAVANNAH, ARIAS,AVA, TIMKO,NICOLE, NAMBISAN,ISHA, CHINTALA,ANISHA",4 23 24 33 10,62-51,AWAY,4,2,3,01:40,0,5,6,1,2,1,2,3,3
12,"PROUTY,ANNA, BANEY,PAYTON, TIMKO,NICOLE, NAMBISAN,ISHA, CHINTALA,ANISHA",11 15 24 33 10,62-51,AWAY,3,1,1,00:38,3,0,11,0,0,2,0,2,3
13,"PROUTY,ANNA, BANEY,PAYTON, TIMKO,NICOLE, NAMBISAN,ISHA, OR,CATHERINE",11 15 24 33 22,62-51,AWAY,3,4,3,02:40,2,5,8,1,3,0,3,4,3
14,"GIBBS,SAVANNAH, BANEY,PAYTON, TIMKO,NICOLE, NAMBISAN,ISHA, OR,CATHERINE",4 15 24 33 22,62-51,AWAY,3,2,2,00:54,0,3,11,1,2,1,0,1,4
15,"GIBBS,SAVANNAH, LAFOND,LIV, TIMKO,NICOLE, NAMBISAN,ISHA, OR,CATHERINE",4 43 24 33 22,62-51,AWAY,3,2,3,01:36,5,4,14,0,3,0,0,2,4
16,"GIBBS,SAVANNAH, LAFOND,LIV, HEYER,ALLIE, CHINTALA,ANISHA, OR,CATHERINE",4 43 5 10 22,62-51,AWAY,3,3,2,01:12,2,0,13,1,1,0,1,2,4
17,"GIBBS,SAVANNAH, BANEY,PAYTON, HEYER,ALLIE, CHINTALA,ANISHA, OR,CATHERINE",4 15 5 10 22,62-51,AWAY,3,2,3,02:06,5,2,11,0,1,0,0,1,4
18,"GIBBS,SAVANNAH, BANEY,PAYTON, KATZ,JUSTINE, CHINTALA,ANISHA, OR,CATHERINE",4 15 2 10 22,62-51,AWAY,3,2,2,01:02,1,1,8,0,1,2,1,2,4
19,"GIBBS,SAVANNAH, TIMKO,NICOLE, KATZ,JUSTINE, CHINTALA,ANISHA, OR,CATHERINE",4 24 2 10 22,62-51,AWAY,4,2,2,00:53,0,2,8,0,0,4,1,3,4
20,"GIBBS,SAVANNAH, TIMKO,NICOLE, BANEY,PAYTON, CHINTALA,ANISHA, OR,CATHERINE",4 24 15 10 22,62-51,AWAY,3,1,0,00:08,2,0,10,0,0,0,0,0,4
21,"KATZ,JUSTINE, TIMKO,NICOLE, NAMBISAN,ISHA, CHINTALA,ANISHA, OR,CATHERINE",2 24 33 10 22,62-51,AWAY,5,0,1,00:04,0,2,8,0,0,2,0,0,4
