,LINEUP (NAMES),NUMBERS,SCORE,LOCATION,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"BANEY,PAYTON, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA",15 4 10 22 33,69-58,HOME,3,6,6,2:59,7,5,0,1,5,2,4,6,1
1,"ARIAS,AVA, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA",23 4 10 22 33,69-58,HOME,4,1,2,01:11,1,5,-2,1,2,0,0,0,1
2,"ARIAS,AVA, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, TIMKO,NICOLE",23 4 10 22 24,69-58,HOME,4,3,3,01:47,0,5,2,0,3,2,2,2,1
3,"ARIAS,AVA, BANEY,PAYTON, CHINTALA,ANISHA, OR,CATHERINE, TIMKO,NICOLE",23 15 10 22 24,69-58,HOME,4,2,1,01:02,2,0,7,0,0,0,1,1,1
4,"ARIAS,AVA, BANEY,PAYTON, CHINTALA,ANISHA, PROUTY,ANNA, TIMKO,NICOLE",23 15 10 11 24,69-58,HOME,3,3,3,01:28,5,0,5,1,3,0,1,3,1
5,"NAMBISAN,ISHA, BANEY,PAYTON, OR,CATHERINE, PROUTY,ANNA, TIMKO,NICOLE",33 15 22 11 24,69-58,HOME,3,2,3,01:33,0,8,0,3,4,0,3,3,1
6,"NAMBISAN,ISHA, BANEY,PAYTON, OR,CATHERINE, GIBBS,SAVANNAH, TIMKO,NICOLE",33 15 22 4 24,69-58,HOME,3,2,1,01:20,2,1,8,1,1,2,1,2,2
7,"NAMBISAN,ISHA, BANEY,PAYTON, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA",33 15 22 4 10,69-58,HOME,3,0,1,00:14,0,0,7,0,1,0,0,1,2
8,"NAMBISAN,ISHA, ARIAS,AVA, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA",33 23 22 4 10,69-58,HOME,4,3,3,01:28,3,0,7,0,0,0,2,2,2
9,"NAMBISAN,ISHA, TIMKO,NICOLE, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA",33 24 22 4 10,69-58,HOME,4,3,2,01:56,2,2,4,1,2,0,2,3,2
10,"HEYER,ALLIE, TIMKO,NICOLE, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA",5 24 22 4 10,69-58,HOME,4,4,4,02:20,4,0,4,1,3,0,3,5,2
11,"NAMBISAN,ISHA, TIMKO,NICOLE, OR,CATHERINE, GIBBS,SAVANNAH, ARIAS,AVA",33 24 22 4 23,69-58,HOME,4,2,2,00:46,2,0,0,0,0,0,1,1,2
12,"NAMBISAN,ISHA, TIMKO,NICOLE, OR,CATHERINE, GIBBS,SAVANNAH, BANEY,PAYTON",33 24 22 4 15,69-58,HOME,3,2,3,01:56,0,2,-2,0,1,0,1,1,2
13,"NAMBISAN,ISHA, CHINTALA,ANISHA, OR,CATHERINE, GIBBS,SAVANNAH, BANEY,PAYTON",33 10 22 4 15,69-58,HOME,3,6,5,03:06,7,2,0,1,2,0,3,7,3
14,"TIMKO,NICOLE, CHINTALA,ANISHA, OR,CATHERINE, GIBBS,SAVANNAH, BANEY,PAYTON",24 10 22 4 15,69-58,HOME,3,6,6,03:21,2,8,-5,2,3,4,3,3,3
15,"NAMBISAN,ISHA, CHINTALA,ANISHA, OR,CATHERINE, GIBBS,SAVANNAH, BANEY,PAYTON",33 10 22 4 15,69-58,HOME,3,4,4,01:50,2,2,1,2,3,0,3,4,3
16,"NAMBISAN,ISHA, ARIAS,AVA, OR,CATHERINE, GIBBS,SAVANNAH, TIMKO,NICOLE",33 23 22 4 24,69-58,HOME,4,2,3,01:16,0,4,1,0,1,2,1,1,3
17,"NAMBISAN,ISHA, ARIAS,AVA, OR,CATHERINE, GIBBS,SAVANNAH, HEYER,ALLIE",33 23 22 4 5,69-58,HOME,4,2,1,00:22,2,0,5,0,0,0,1,1,3
18,"NAMBISAN,ISHA, ARIAS,AVA, OR,CATHERINE, TIMKO,NICOLE, HEYER,ALLIE",33 23 22 24 5,69-58,HOME,5,0,1,00:05,0,0,3,1,1,0,0,0,3
19,"NAMBISAN,ISHA, ARIAS,AVA, OR,CATHERINE, TIMKO,NICOLE, CHINTALA,ANISHA",33 23 22 24 10,69-58,HOME,5,0,0,00:26,0,0,3,0,0,0,0,1,4
20,"NAMBISAN,ISHA, GIBBS,SAVANNAH, OR,CATHERINE, TIMKO,NICOLE, CHINTALA,ANISHA",33 4 22 24 10,69-58,HOME,4,6,5,03:19,5,10,3,1,5,4,3,6,4
21,"NAMBISAN,ISHA, BANEY,PAYTON, OR,CATHERINE, TIMKO,NICOLE, ARIAS,AVA",33 15 22 24 23,69-58,HOME,4,3,4,01:06,0,5,8,0,1,4,2,3,4
22,"NAMBISAN,ISHA, BANEY,PAYTON, CHINTALA,ANISHA, TIMKO,NICOLE, ARIAS,AVA",33 15 10 24 23,69-58,HOME,4,2,1,00:56,5,0,13,0,0,0,0,1,4
23,"NAMBISAN,ISHA, BANEY,PAYTON, CHINTALA,ANISHA, OR,CATHERINE, GIBBS,SAVANNAH",33 15 10 22 4,69-58,HOME,3,5,6,03:18,0,4,8,1,5,4,4,7,4
24,"NAMBISAN,ISHA, TIMKO,NICOLE, CHINTALA,ANISHA, OR,CATHERINE, KATZ,JUSTINE",33 24 10 22 2,69-58,HOME,5,1,1,00:09,3,2,12,0,0,2,0,0,4
25,"NAMBISAN,ISHA, BANEY,PAYTON, CHINTALA,ANISHA, OR,CATHERINE, GIBBS,SAVANNAH",33 15 10 22 4,69-58,HOME,3,1,0,00:12,2,0,11,0,0,0,0,0,4
26,"NAMBISAN,ISHA, TIMKO,NICOLE, CHINTALA,ANISHA, OR,CATHERINE, KATZ,JUSTINE",33 24 10 22 2,69-58,HOME,5,0,1,00:09,0,2,9,0,0,2,0,0,4
