,LINEUP (NAMES),NUMBERS,SCORE,LOCATION,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA, NAMBISAN,ISHA",4 10 22 23 33,92-45,HOME,4,9,9,4:24,2,8,0,2,7,2,5,9,1
1,"BANEY,PAYTON, TIMKO,NICOLE, OR,CATHERINE, ARIAS,AVA, NAMBISAN,ISHA",15 24 22 23 33,92-45,HOME,4,10,10,05:01,0,14,6,2,8,0,8,10,1
2,"BANEY,PAYTON, TIMKO,NICOLE, LIGOTTI,PIPER, HEYER,ALLIE, CHINTALA,ANISHA",15 24 3 5 10,92-45,HOME,4,4,4,02:12,2,6,20,1,4,0,4,5,1
3,"BANEY,PAYTON, NAMBISAN,ISHA, LIGOTTI,PIPER, HEYER,ALLIE, OR,CATHERINE",15 33 3 5 22,92-45,HOME,4,3,4,01:49,3,2,24,2,3,2,1,4,2
4,"DELMORE,KAYLA, NAMBISAN,ISHA, LIGOTTI,PIPER, GIBBS,SAVANNAH, OR,CATHERINE",21 33 3 4 22,92-45,HOME,4,2,1,00:50,0,0,23,1,1,0,2,3,2
5,"DELMORE,KAYLA, NAMBISAN,ISHA, PEPER,ANYA, GIBBS,SAVANNAH, OR,CATHERINE",21 33 14 4 22,92-45,HOME,4,4,5,01:55,5,5,23,2,6,1,2,5,2
6,"DELMORE,KAYLA, LAFOND,LIV, PEPER,ANYA, GIBBS,SAVANNAH, OR,CATHERINE",21 43 14 4 22,92-45,HOME,3,4,3,01:41,2,4,23,0,2,0,3,3,2
7,"DELMORE,KAYLA, LAFOND,LIV, PEPER,ANYA, GIBBS,SAVANNAH, KATZ,JUSTINE",21 43 14 4 2,92-45,HOME,3,4,4,02:08,2,0,25,1,4,0,3,7,2
8,"ARIAS,AVA, NAMBISAN,ISHA, OR,CATHERINE, BANEY,PAYTON, CHINTALA,ANISHA",23 33 22 15 10,92-45,HOME,4,11,12,05:56,6,17,23,3,9,7,4,8,3
9,"GIBBS,SAVANNAH, TIMKO,NICOLE, OR,CATHERINE, LIGOTTI,PIPER, CHINTALA,ANISHA",4 24 22 3 10,92-45,HOME,4,8,7,03:52,12,10,34,3,8,0,4,6,3
10,"HEYER,ALLIE, TIMKO,NICOLE, OR,CATHERINE, LIGOTTI,PIPER, LAFOND,LIV",5 24 22 3 43,92-45,HOME,4,1,1,00:12,0,2,32,0,1,0,2,2,3
11,"HEYER,ALLIE, TIMKO,NICOLE, DELMORE,KAYLA, LIGOTTI,PIPER, LAFOND,LIV",5 24 21 3 43,92-45,HOME,4,3,3,01:35,2,4,34,1,3,4,3,5,4
12,"HEYER,ALLIE, PEPER,ANYA, DELMORE,KAYLA, LIGOTTI,PIPER, LAFOND,LIV",5 14 21 3 43,92-45,HOME,4,2,3,01:51,2,2,36,1,3,0,1,3,4
13,"HEYER,ALLIE, PEPER,ANYA, DELMORE,KAYLA, KATZ,JUSTINE, LAFOND,LIV",5 14 21 2 43,92-45,HOME,4,5,5,02:44,0,7,36,0,5,1,4,6,4
14,"LIGOTTI,PIPER, PEPER,ANYA, DELMORE,KAYLA, KATZ,JUSTINE, LAFOND,LIV",3 14 21 2 43,92-45,HOME,4,9,8,03:50,7,11,43,3,6,2,2,7,4
