,LINEUP (NAMES),NUMBERS,SCORE,LOCATION,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA, NAMBISAN,ISHA",4 10 22 23 33,69-63,AWAY,4,6,6,3:33,7,0,0,1,3,0,3,5,1
1,"GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, BANEY,PAYTON, TIMKO,NICOLE",4 10 22 15 24,69-63,AWAY,3,6,5,02:40,5,5,-7,1,4,2,1,3,1
2,"GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, BANEY,PAYTON, TIMKO,NICOLE",4 10 21 15 24,69-63,AWAY,3,2,2,01:05,4,2,-7,0,2,0,0,1,1
3,"NAMBISAN,ISHA, CHINTALA,ANISHA, DELMORE,KAYLA, BANEY,PAYTON, TIMKO,NICOLE",33 10 21 15 24,69-63,AWAY,4,2,3,00:47,0,0,-9,0,2,0,2,4,1
4,"NAMBISAN,ISHA, OR,CATHERINE, DELMORE,KAYLA, BANEY,PAYTON, TIMKO,NICOLE",33 22 21 15 24,69-63,AWAY,4,1,0,00:25,2,0,-9,0,0,0,0,1,1
5,"NAMBISAN,ISHA, OR,CATHERINE, ARIAS,AVA, BANEY,PAYTON, TIMKO,NICOLE",33 22 23 15 24,69-63,AWAY,4,0,1,00:34,0,0,-11,0,0,0,0,1,1
6,"NAMBISAN,ISHA, OR,CATHERINE, ARIAS,AVA, BANEY,PAYTON, CHINTALA,ANISHA",33 22 23 15 10,69-63,AWAY,4,2,2,00:36,0,1,-11,0,0,2,1,1,1
7,"PEPER,ANYA, OR,CATHERINE, ARIAS,AVA, BANEY,PAYTON, CHINTALA,ANISHA",14 22 23 15 10,69-63,AWAY,4,1,0,00:11,1,0,-10,0,0,0,0,0,1
8,"NAMBISAN,ISHA, OR,CATHERINE, ARIAS,AVA, BANEY,PAYTON, CHINTALA,ANISHA",33 22 23 15 10,69-63,AWAY,4,0,1,00:09,0,0,-11,1,1,0,0,1,1
9,"NAMBISAN,ISHA, OR,CATHERINE, GIBBS,SAVANNAH, BANEY,PAYTON, CHINTALA,ANISHA",33 22 4 15 10,69-63,AWAY,3,2,3,01:53,2,4,-11,1,4,0,2,4,2
10,"NAMBISAN,ISHA, OR,CATHERINE, GIBBS,SAVANNAH, BANEY,PAYTON, TIMKO,NICOLE",33 22 4 15 24,69-63,AWAY,3,4,4,02:42,0,5,-9,2,3,0,0,3,2
11,"NAMBISAN,ISHA, OR,CATHERINE, GIBBS,SAVANNAH, BANEY,PAYTON, PEPER,ANYA",33 22 4 15 14,69-63,AWAY,3,4,3,02:04,9,5,-4,1,2,0,1,2,2
12,"NAMBISAN,ISHA, OR,CATHERINE, PROUTY,ANNA, ARIAS,AVA, PEPER,ANYA",33 22 11 23 14,69-63,AWAY,4,5,5,02:53,3,2,-8,1,5,0,3,8,2
13,"NAMBISAN,ISHA, OR,CATHERINE, BANEY,PAYTON, ARIAS,AVA, PEPER,ANYA",33 22 15 23 14,69-63,AWAY,4,0,1,00:14,0,0,-9,0,0,0,0,0,2
14,"NAMBISAN,ISHA, OR,CATHERINE, BANEY,PAYTON, PROUTY,ANNA, PEPER,ANYA",33 22 15 11 14,69-63,AWAY,3,1,0,00:14,0,0,-9,0,0,0,1,1,2
15,"NAMBISAN,ISHA, OR,CATHERINE, ARIAS,AVA, GIBBS,SAVANNAH, CHINTALA,ANISHA",33 22 23 4 10,69-63,AWAY,4,2,1,00:50,2,2,-9,0,1,0,1,1,3
16,"NAMBISAN,ISHA, OR,CATHERINE, ARIAS,AVA, GIBBS,SAVANNAH, TIMKO,NICOLE",33 22 23 4 24,69-63,AWAY,4,5,6,03:56,4,10,-9,3,5,0,2,3,3
17,"NAMBISAN,ISHA, OR,CATHERINE, BANEY,PAYTON, GIBBS,SAVANNAH, TIMKO,NICOLE",33 22 15 4 24,69-63,AWAY,3,3,3,01:37,0,7,-3,2,4,1,2,3,3
18,"NAMBISAN,ISHA, OR,CATHERINE, BANEY,PAYTON, PEPER,ANYA, TIMKO,NICOLE",33 22 15 14 24,69-63,AWAY,4,5,4,02:27,7,0,4,2,2,0,1,3,3
19,"NAMBISAN,ISHA, OR,CATHERINE, GIBBS,SAVANNAH, PEPER,ANYA, CHINTALA,ANISHA",33 22 4 14 10,69-63,AWAY,4,1,1,00:28,3,1,-3,0,0,2,0,1,3
20,"NAMBISAN,ISHA, OR,CATHERINE, GIBBS,SAVANNAH, TIMKO,NICOLE, ARIAS,AVA",33 22 4 24 23,69-63,AWAY,4,2,3,01:52,0,5,-5,2,3,0,0,4,3
21,"NAMBISAN,ISHA, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA, ARIAS,AVA",33 22 4 10 23,69-63,AWAY,4,2,2,01:11,3,3,0,1,1,0,1,1,4
22,"NAMBISAN,ISHA, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA, BANEY,PAYTON",33 22 4 10 15,69-63,AWAY,3,3,3,01:55,5,4,0,1,1,2,1,2,4
23,"TIMKO,NICOLE, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA, BANEY,PAYTON",24 22 4 10 15,69-63,AWAY,3,9,7,05:14,4,11,-1,0,5,5,3,6,4
24,"TIMKO,NICOLE, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA",24 22 4 10 33,69-63,AWAY,4,3,2,00:30,2,2,6,0,0,5,1,4,4
