,LINEUP (NAMES),NUMBERS,SCORE,LOCATION,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"BANEY,PAYTON, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA",15 4 10 22 33,70-46,HOME,3,6,7,4:34,10,5,0,0,6,2,3,12,1
1,"BANEY,PAYTON, ARIAS,AVA, CHINTALA,ANISHA, TIMKO,NICOLE, NAMBISAN,ISHA",15 23 10 24 33,70-46,HOME,4,5,4,02:24,3,4,-5,2,6,0,3,6,1
2,"GIBBS,SAVANNAH, ARIAS,AVA, CHINTALA,ANISHA, TIMKO,NICOLE, OR,CATHERINE",4 23 10 24 22,70-46,HOME,4,4,4,02:21,0,4,-4,1,4,0,3,6,1
3,"GIBBS,SAVANNAH, ARIAS,AVA, NAMBISAN,ISHA, TIMKO,NICOLE, OR,CATHERINE",4 23 33 24 22,70-46,HOME,4,3,3,01:37,0,4,0,1,4,0,1,2,1
4,"GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA, BANEY,PAYTON, OR,CATHERINE",4 10 33 15 22,70-46,HOME,3,6,7,03:42,3,5,4,5,8,0,5,11,2
5,"HEYER,ALLIE, CHINTALA,ANISHA, TIMKO,NICOLE, BANEY,PAYTON, PROUTY,ANNA",5 10 24 15 11,70-46,HOME,3,6,6,03:11,2,11,6,1,6,0,2,4,2
6,"HEYER,ALLIE, OR,CATHERINE, NAMBISAN,ISHA, BANEY,PAYTON, ARIAS,AVA",5 22 33 15 23,70-46,HOME,4,2,1,00:49,3,2,15,0,1,0,0,1,2
7,"HEYER,ALLIE, OR,CATHERINE, NAMBISAN,ISHA, LAFOND,LIV, ARIAS,AVA",5 22 33 43 23,70-46,HOME,4,2,3,01:22,3,0,14,2,3,0,1,4,2
8,"GIBBS,SAVANNAH, OR,CATHERINE, NAMBISAN,ISHA, BANEY,PAYTON, CHINTALA,ANISHA",4 22 33 15 10,70-46,HOME,3,3,3,02:21,3,1,11,4,6,2,6,8,3
9,"GIBBS,SAVANNAH, OR,CATHERINE, NAMBISAN,ISHA, BANEY,PAYTON, TIMKO,NICOLE",4 22 33 15 24,70-46,HOME,3,3,3,02:03,2,2,9,0,3,0,2,5,3
10,"CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA, BANEY,PAYTON, TIMKO,NICOLE",10 22 23 15 24,70-46,HOME,4,5,5,03:23,2,8,9,1,5,1,3,5,3
11,"CHINTALA,ANISHA, OR,CATHERINE, PROUTY,ANNA, BANEY,PAYTON, TIMKO,NICOLE",10 22 11 15 24,70-46,HOME,3,3,2,01:45,4,0,15,0,1,2,2,5,3
12,"CHINTALA,ANISHA, OR,CATHERINE, PROUTY,ANNA, GIBBS,SAVANNAH, TIMKO,NICOLE",10 22 11 4 24,70-46,HOME,3,1,1,00:12,0,0,11,1,1,0,0,1,3
13,"CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA, GIBBS,SAVANNAH, TIMKO,NICOLE",10 22 33 4 24,70-46,HOME,4,1,3,01:28,0,0,11,2,3,0,1,5,3
14,"CHINTALA,ANISHA, OR,CATHERINE, BANEY,PAYTON, GIBBS,SAVANNAH, TIMKO,NICOLE",10 22 15 4 24,70-46,HOME,3,3,3,01:28,2,5,11,1,2,0,2,4,4
15,"CHINTALA,ANISHA, OR,CATHERINE, BANEY,PAYTON, ARIAS,AVA, TIMKO,NICOLE",10 22 15 23 24,70-46,HOME,4,6,5,02:35,3,9,14,2,4,2,4,4,4
16,"CHINTALA,ANISHA, OR,CATHERINE, BANEY,PAYTON, ARIAS,AVA, NAMBISAN,ISHA",10 22 15 23 33,70-46,HOME,4,2,2,01:34,0,3,20,2,2,0,3,3,4
17,"CHINTALA,ANISHA, OR,CATHERINE, KATZ,JUSTINE, HEYER,ALLIE, NAMBISAN,ISHA",10 22 2 5 33,70-46,HOME,5,1,2,01:06,2,2,23,0,2,0,0,2,4
18,"PEPER,ANYA, OR,CATHERINE, KATZ,JUSTINE, HEYER,ALLIE, NAMBISAN,ISHA",14 22 2 5 33,70-46,HOME,5,2,2,01:01,0,5,23,1,1,2,1,1,4
19,"PEPER,ANYA, PROUTY,ANNA, KATZ,JUSTINE, HEYER,ALLIE, LAFOND,LIV",14 11 2 5 43,70-46,HOME,3,2,1,01:04,4,0,28,1,1,0,1,1,4
