,LINEUP (NAMES),NUMBERS,SCORE,LOCATION,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"BANEY,PAYTON, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA",15 4 10 22 33,54-62,AWAY,3,6,7,3:33,7,7,0,2,6,0,3,6,1
1,"ARIAS,AVA, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, TIMKO,NICOLE",23 4 10 22 24,54-62,AWAY,4,3,2,01:59,2,0,0,0,2,0,1,3,1
2,"ARIAS,AVA, PROUTY,ANNA, CHINTALA,ANISHA, OR,CATHERINE, TIMKO,NICOLE",23 11 10 22 24,54-62,AWAY,4,5,4,02:27,4,2,-2,2,5,0,0,4,1
3,"ARIAS,AVA, HEYER,ALLIE, GIBBS,SAVANNAH, OR,CATHERINE, NAMBISAN,ISHA",23 5 4 22 33,54-62,AWAY,4,1,2,00:46,0,6,-4,0,2,2,0,1,1
4,"ARIAS,AVA, HEYER,ALLIE, GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA",23 5 4 10 33,54-62,AWAY,4,2,2,01:15,0,2,2,0,1,0,2,2,1
5,"OR,CATHERINE, BANEY,PAYTON, GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA",22 15 4 10 33,54-62,AWAY,3,1,0,00:13,0,0,4,0,0,0,1,1,2
6,"OR,CATHERINE, ARIAS,AVA, GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA",22 23 4 10 33,54-62,AWAY,4,1,2,01:16,3,2,4,0,2,0,0,2,2
7,"OR,CATHERINE, TIMKO,NICOLE, GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA",22 24 4 10 33,54-62,AWAY,4,4,4,02:25,3,0,3,3,6,0,3,7,2
8,"PEPER,ANYA, TIMKO,NICOLE, GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA",14 24 4 10 33,54-62,AWAY,4,2,2,01:06,2,3,0,1,2,1,0,2,2
9,"HEYER,ALLIE, TIMKO,NICOLE, GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA",5 24 4 10 33,54-62,AWAY,4,1,0,00:38,0,0,1,0,0,0,1,1,2
10,"HEYER,ALLIE, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA",5 22 4 10 33,54-62,AWAY,4,5,5,03:28,4,3,1,2,4,0,3,5,2
11,"ARIAS,AVA, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA",23 22 4 10 33,54-62,AWAY,4,0,0,00:23,0,0,0,0,0,0,0,0,2
12,"TIMKO,NICOLE, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA",24 22 4 10 33,54-62,AWAY,4,0,0,00:31,0,0,0,0,0,0,0,0,2
13,"BANEY,PAYTON, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA",15 22 4 10 33,54-62,AWAY,3,4,4,02:55,8,4,0,0,1,2,0,1,3
14,"BANEY,PAYTON, OR,CATHERINE, ARIAS,AVA, CHINTALA,ANISHA, NAMBISAN,ISHA",15 22 23 10 33,54-62,AWAY,4,5,6,03:49,6,3,-4,0,3,4,3,6,3
15,"BANEY,PAYTON, OR,CATHERINE, TIMKO,NICOLE, GIBBS,SAVANNAH, NAMBISAN,ISHA",15 22 24 4 33,54-62,AWAY,3,6,6,03:36,2,10,-7,3,6,2,4,6,3
16,"BANEY,PAYTON, OR,CATHERINE, TIMKO,NICOLE, GIBBS,SAVANNAH, CHINTALA,ANISHA",15 22 24 4 10,54-62,AWAY,3,4,3,02:49,6,2,1,2,3,0,2,3,4
17,"BANEY,PAYTON, OR,CATHERINE, HEYER,ALLIE, GIBBS,SAVANNAH, CHINTALA,ANISHA",15 22 5 4 10,54-62,AWAY,3,3,3,01:25,2,2,-3,0,2,0,1,2,4
