,LINEUP (NAMES),NUMBERS,SCORE,LOCATION,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"BANEY,PAYTON, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA",15 4 10 22 33,60-57,HOME,3,9,9,5:23,13,11,0,2,8,2,2,6,1
1,"TIMKO,NICOLE, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA",24 4 10 22 33,60-57,HOME,4,2,3,01:56,2,0,-2,1,3,0,2,5,1
2,"TIMKO,NICOLE, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA",24 4 10 22 23,60-57,HOME,4,6,6,04:09,2,10,-4,3,5,0,4,5,1
3,"TIMKO,NICOLE, BANEY,PAYTON, NAMBISAN,ISHA, OR,CATHERINE, ARIAS,AVA",24 15 33 22 23,60-57,HOME,4,3,3,02:04,2,4,4,0,2,0,2,2,2
4,"CHINTALA,ANISHA, BANEY,PAYTON, NAMBISAN,ISHA, OR,CATHERINE, ARIAS,AVA",10 15 33 22 23,60-57,HOME,4,3,1,02:29,4,2,6,1,2,1,1,5,2
5,"CHINTALA,ANISHA, BANEY,PAYTON, NAMBISAN,ISHA, GIBBS,SAVANNAH, TIMKO,NICOLE",10 15 33 4 24,60-57,HOME,3,5,3,03:41,4,2,4,0,3,2,4,7,2
6,"CHINTALA,ANISHA, BANEY,PAYTON, OR,CATHERINE, GIBBS,SAVANNAH, TIMKO,NICOLE",10 15 22 4 24,60-57,HOME,3,0,0,00:16,0,0,2,0,0,1,0,2,2
7,"CHINTALA,ANISHA, BANEY,PAYTON, OR,CATHERINE, GIBBS,SAVANNAH, KATZ,JUSTINE",10 15 22 4 2,60-57,HOME,3,1,0,00:02,0,0,2,0,0,0,1,1,2
8,"CHINTALA,ANISHA, BANEY,PAYTON, OR,CATHERINE, GIBBS,SAVANNAH, NAMBISAN,ISHA",10 15 22 4 33,60-57,HOME,3,10,10,06:39,6,8,2,4,10,2,7,15,3
9,"CHINTALA,ANISHA, ARIAS,AVA, OR,CATHERINE, GIBBS,SAVANNAH, TIMKO,NICOLE",10 23 22 4 24,60-57,HOME,4,2,2,01:06,4,0,4,1,1,0,0,2,3
10,"CHINTALA,ANISHA, ARIAS,AVA, OR,CATHERINE, BANEY,PAYTON, TIMKO,NICOLE",10 23 22 15 24,60-57,HOME,4,4,5,03:28,5,6,0,0,6,2,3,7,3
11,"CHINTALA,ANISHA, GIBBS,SAVANNAH, OR,CATHERINE, BANEY,PAYTON, TIMKO,NICOLE",10 4 22 15 24,60-57,HOME,3,6,6,04:10,4,4,1,1,6,0,5,8,4
12,"CHINTALA,ANISHA, GIBBS,SAVANNAH, OR,CATHERINE, BANEY,PAYTON, NAMBISAN,ISHA",10 4 22 15 33,60-57,HOME,3,9,9,04:37,11,13,1,0,5,7,5,7,4
