,LINEUP (NAMES),NUMBERS,SCORE,LOCATION,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA, NAMBISAN,ISHA",4 10 22 23 33,75-58,AWAY,4,5,4,3:12,2,3,0,3,5,0,3,8,1
1,"BANEY,PAYTON, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA, NAMBISAN,ISHA",15 10 22 23 33,75-58,AWAY,4,4,4,01:25,3,2,1,1,4,0,1,3,1
2,"BANEY,PAYTON, CHINTALA,ANISHA, OR,CATHERINE, TIMKO,NICOLE, NAMBISAN,ISHA",15 10 22 24 33,75-58,AWAY,4,3,4,01:34,3,0,0,1,2,0,2,3,1
3,"BANEY,PAYTON, GIBBS,SAVANNAH, OR,CATHERINE, TIMKO,NICOLE, NAMBISAN,ISHA",15 4 22 24 33,75-58,AWAY,3,3,2,01:59,2,0,-3,0,0,0,1,4,1
4,"BANEY,PAYTON, CHINTALA,ANISHA, OR,CATHERINE, TIMKO,NICOLE, ARIAS,AVA",15 10 22 24 23,75-58,AWAY,4,2,2,01:50,4,5,-5,1,2,0,0,2,1
5,"GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, TIMKO,NICOLE, ARIAS,AVA",4 10 22 24 23,75-58,AWAY,4,3,2,01:48,3,2,-4,0,1,0,2,2,2
6,"GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA, ARIAS,AVA",4 10 22 33 23,75-58,AWAY,4,4,4,02:38,3,2,-5,0,3,0,2,4,2
7,"BANEY,PAYTON, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA, TIMKO,NICOLE",15 10 22 33 24,75-58,AWAY,4,5,5,03:22,5,6,-6,2,6,2,3,6,2
8,"GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA, TIMKO,NICOLE",4 10 22 33 24,75-58,AWAY,4,3,3,01:30,5,0,-5,0,2,0,1,4,2
9,"HEYER,ALLIE, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA, BANEY,PAYTON",5 10 22 33 15,75-58,AWAY,4,1,2,00:42,0,5,-10,1,2,0,1,1,2
10,"GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA, ARIAS,AVA",4 10 22 33 23,75-58,AWAY,4,7,6,03:26,9,8,-5,1,5,2,2,4,3
11,"GIBBS,SAVANNAH, BANEY,PAYTON, OR,CATHERINE, NAMBISAN,ISHA, TIMKO,NICOLE",4 15 22 33 24,75-58,AWAY,3,6,7,04:11,3,15,-6,3,6,0,5,6,3
12,"GIBBS,SAVANNAH, BANEY,PAYTON, CHINTALA,ANISHA, NAMBISAN,ISHA, TIMKO,NICOLE",4 15 10 33 24,75-58,AWAY,3,1,0,00:12,2,0,6,0,0,0,0,0,3
13,"GIBBS,SAVANNAH, BANEY,PAYTON, OR,CATHERINE, NAMBISAN,ISHA, TIMKO,NICOLE",4 15 22 33 24,75-58,AWAY,3,5,4,02:43,3,5,4,1,4,4,5,6,3
14,"GIBBS,SAVANNAH, BANEY,PAYTON, OR,CATHERINE, NAMBISAN,ISHA, CHINTALA,ANISHA",4 15 22 33 10,75-58,AWAY,3,5,5,03:15,4,12,6,2,5,0,1,1,4
15,"GIBBS,SAVANNAH, BANEY,PAYTON, OR,CATHERINE, TIMKO,NICOLE, CHINTALA,ANISHA",4 15 22 24 10,75-58,AWAY,3,0,1,00:14,0,0,14,0,0,0,0,0,4
16,"GIBBS,SAVANNAH, ARIAS,AVA, OR,CATHERINE, TIMKO,NICOLE, CHINTALA,ANISHA",4 23 22 24 10,75-58,AWAY,4,2,1,00:26,0,1,14,0,0,2,0,0,4
17,"GIBBS,SAVANNAH, ARIAS,AVA, DELMORE,KAYLA, TIMKO,NICOLE, CHINTALA,ANISHA",4 23 21 24 10,75-58,AWAY,4,2,2,01:36,2,2,15,0,2,0,0,2,4
18,"BANEY,PAYTON, ARIAS,AVA, DELMORE,KAYLA, TIMKO,NICOLE, CHINTALA,ANISHA",15 23 21 24 10,75-58,AWAY,4,1,1,00:37,1,0,15,0,1,0,0,1,4
19,"BANEY,PAYTON, NAMBISAN,ISHA, OR,CATHERINE, TIMKO,NICOLE, CHINTALA,ANISHA",15 33 22 24 10,75-58,AWAY,4,4,5,02:27,4,7,14,0,4,1,1,2,4
20,"BANEY,PAYTON, NAMBISAN,ISHA, GIBBS,SAVANNAH, DELMORE,KAYLA, CHINTALA,ANISHA",15 33 4 21 10,75-58,AWAY,3,2,1,00:53,0,0,17,0,0,0,2,2,4
