,LINEUP (NAMES),NUMBERS,SCORE,LOCATION,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"BANEY,PAYTON, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA",15 4 10 22 33,67-77,AWAY,3,6,5,2:38,8,2,0,0,4,0,2,5,1
1,"BANEY,PAYTON, ARIAS,AVA, CHINTALA,ANISHA, OR,CATHERINE, TIMKO,NICOLE",15 23 10 22 24,67-77,AWAY,4,2,2,01:12,1,3,-6,1,1,0,0,0,1
2,"BANEY,PAYTON, ARIAS,AVA, DELMORE,KAYLA, OR,CATHERINE, TIMKO,NICOLE",15 23 21 22 24,67-77,AWAY,4,2,3,01:55,0,2,-4,1,2,0,4,6,1
3,"GIBBS,SAVANNAH, ARIAS,AVA, DELMORE,KAYLA, OR,CATHERINE, TIMKO,NICOLE",4 23 21 22 24,67-77,AWAY,4,1,1,00:34,2,0,-2,0,1,0,0,2,1
4,"GIBBS,SAVANNAH, ARIAS,AVA, DELMORE,KAYLA, OR,CATHERINE, CHINTALA,ANISHA",4 23 21 22 10,67-77,AWAY,4,1,1,00:20,0,1,-4,0,0,2,1,1,1
5,"GIBBS,SAVANNAH, ARIAS,AVA, DELMORE,KAYLA, NAMBISAN,ISHA, CHINTALA,ANISHA",4 23 21 33 10,67-77,AWAY,4,7,7,03:21,4,8,-3,4,6,0,2,6,1
6,"GIBBS,SAVANNAH, OR,CATHERINE, BANEY,PAYTON, NAMBISAN,ISHA, CHINTALA,ANISHA",4 22 15 33 10,67-77,AWAY,3,6,5,03:23,11,2,1,2,3,0,1,3,2
7,"GIBBS,SAVANNAH, OR,CATHERINE, BANEY,PAYTON, TIMKO,NICOLE, HEYER,ALLIE",4 22 15 24 5,67-77,AWAY,3,4,4,02:52,3,7,-8,2,4,0,3,5,2
8,"GIBBS,SAVANNAH, OR,CATHERINE, ARIAS,AVA, TIMKO,NICOLE, HEYER,ALLIE",4 22 23 24 5,67-77,AWAY,4,1,2,01:14,2,0,-4,2,2,0,0,4,2
9,"PROUTY,ANNA, OR,CATHERINE, BANEY,PAYTON, CHINTALA,ANISHA, HEYER,ALLIE",11 22 15 10 5,67-77,AWAY,3,2,1,01:10,3,0,-6,1,2,0,2,3,2
10,"PROUTY,ANNA, OR,CATHERINE, BANEY,PAYTON, CHINTALA,ANISHA, NAMBISAN,ISHA",11 22 15 10 33,67-77,AWAY,3,3,3,01:21,4,4,-9,0,3,0,0,1,2
11,"GIBBS,SAVANNAH, OR,CATHERINE, BANEY,PAYTON, CHINTALA,ANISHA, NAMBISAN,ISHA",4 22 15 10 33,67-77,AWAY,3,6,6,03:43,4,4,-9,2,6,2,4,11,3
12,"GIBBS,SAVANNAH, OR,CATHERINE, ARIAS,AVA, CHINTALA,ANISHA, TIMKO,NICOLE",4 22 23 10 24,67-77,AWAY,4,2,3,01:40,5,4,-9,0,2,4,1,2,3
13,"GIBBS,SAVANNAH, OR,CATHERINE, HEYER,ALLIE, CHINTALA,ANISHA, TIMKO,NICOLE",4 22 5 10 24,67-77,AWAY,4,3,2,01:56,3,2,-10,0,1,2,1,2,3
14,"GIBBS,SAVANNAH, OR,CATHERINE, HEYER,ALLIE, DELMORE,KAYLA, TIMKO,NICOLE",4 22 5 21 24,67-77,AWAY,4,8,8,04:14,12,11,-11,3,10,1,3,9,3
15,"CHINTALA,ANISHA, OR,CATHERINE, BANEY,PAYTON, NAMBISAN,ISHA, TIMKO,NICOLE",10 22 15 33 24,67-77,AWAY,4,3,3,01:46,4,4,-12,1,3,0,0,1,4
16,"CHINTALA,ANISHA, OR,CATHERINE, BANEY,PAYTON, NAMBISAN,ISHA, ARIAS,AVA",10 22 15 33 23,67-77,AWAY,4,1,2,00:57,0,1,-12,1,1,2,1,2,4
17,"CHINTALA,ANISHA, OR,CATHERINE, BANEY,PAYTON, NAMBISAN,ISHA, GIBBS,SAVANNAH",10 22 15 33 4,67-77,AWAY,3,7,6,03:01,5,5,-11,2,5,0,1,4,4
18,"CHINTALA,ANISHA, OR,CATHERINE, BANEY,PAYTON, TIMKO,NICOLE, GIBBS,SAVANNAH",10 22 15 24 4,67-77,AWAY,3,2,2,01:17,2,2,-11,2,2,2,3,4,4
19,"HEYER,ALLIE, OR,CATHERINE, NAMBISAN,ISHA, TIMKO,NICOLE, GIBBS,SAVANNAH",5 22 33 24 4,67-77,AWAY,4,0,1,00:16,0,1,-11,0,0,2,0,0,4
20,"CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA, TIMKO,NICOLE, GIBBS,SAVANNAH",10 22 33 24 4,67-77,AWAY,4,2,1,00:28,1,2,-10,0,1,0,1,2,4
21,"HEYER,ALLIE, OR,CATHERINE, NAMBISAN,ISHA, TIMKO,NICOLE, GIBBS,SAVANNAH",5 22 33 24 4,67-77,AWAY,4,2,3,00:42,3,2,-9,0,2,0,1,2,4
