,LINEUP (NAMES),NUMBERS,SCORE,LOCATION,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"BANEY,PAYTON, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA",15 4 10 22 33,78-66,HOME,3,6,6,3:16,11,4,0,0,2,2,1,3,1
1,"BANEY,PAYTON, ARIAS,AVA, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA",15 23 10 22 33,78-66,HOME,4,1,2,01:08,0,3,-7,2,2,0,1,4,1
2,"BANEY,PAYTON, ARIAS,AVA, TIMKO,NICOLE, OR,CATHERINE, NAMBISAN,ISHA",15 23 24 22 33,78-66,HOME,4,2,2,00:57,4,2,-4,0,1,2,0,1,1
3,"GIBBS,SAVANNAH, ARIAS,AVA, TIMKO,NICOLE, OR,CATHERINE, NAMBISAN,ISHA",4 23 24 22 33,78-66,HOME,4,2,2,01:01,3,3,-6,2,2,0,1,2,1
4,"GIBBS,SAVANNAH, ARIAS,AVA, TIMKO,NICOLE, OR,CATHERINE, CHINTALA,ANISHA",4 23 24 22 10,78-66,HOME,4,5,4,02:07,8,2,-6,0,3,0,2,4,1
5,"GIBBS,SAVANNAH, NAMBISAN,ISHA, TIMKO,NICOLE, BANEY,PAYTON, CHINTALA,ANISHA",4 33 24 15 10,78-66,HOME,3,3,3,01:31,2,0,-12,0,2,0,1,3,1
6,"GIBBS,SAVANNAH, NAMBISAN,ISHA, OR,CATHERINE, BANEY,PAYTON, CHINTALA,ANISHA",4 33 22 15 10,78-66,HOME,3,4,3,01:44,5,0,-14,1,1,0,1,3,2
7,"TIMKO,NICOLE, NAMBISAN,ISHA, OR,CATHERINE, BANEY,PAYTON, CHINTALA,ANISHA",24 33 22 15 10,78-66,HOME,4,3,4,01:36,0,2,-19,1,4,2,2,6,2
8,"HEYER,ALLIE, NAMBISAN,ISHA, OR,CATHERINE, BANEY,PAYTON, CHINTALA,ANISHA",5 33 22 15 10,78-66,HOME,4,8,8,03:39,10,13,-17,1,7,2,3,7,2
9,"HEYER,ALLIE, TIMKO,NICOLE, OR,CATHERINE, ARIAS,AVA, CHINTALA,ANISHA",5 24 22 23 10,78-66,HOME,5,6,6,03:01,0,6,-14,1,7,0,4,8,2
10,"GIBBS,SAVANNAH, NAMBISAN,ISHA, OR,CATHERINE, BANEY,PAYTON, CHINTALA,ANISHA",4 33 22 15 10,78-66,HOME,3,6,6,02:58,3,2,-8,3,5,2,6,9,3
11,"TIMKO,NICOLE, NAMBISAN,ISHA, OR,CATHERINE, BANEY,PAYTON, CHINTALA,ANISHA",24 33 22 15 10,78-66,HOME,4,3,3,01:02,0,4,-9,0,3,2,2,3,3
12,"TIMKO,NICOLE, NAMBISAN,ISHA, OR,CATHERINE, ARIAS,AVA, CHINTALA,ANISHA",24 33 22 23 10,78-66,HOME,5,5,4,02:37,0,2,-5,1,5,0,5,8,3
13,"TIMKO,NICOLE, NAMBISAN,ISHA, OR,CATHERINE, ARIAS,AVA, BANEY,PAYTON",24 33 22 23 15,78-66,HOME,4,0,1,00:16,0,0,-3,0,0,0,0,0,3
14,"TIMKO,NICOLE, NAMBISAN,ISHA, OR,CATHERINE, HEYER,ALLIE, BANEY,PAYTON",24 33 22 5 15,78-66,HOME,4,5,5,03:06,6,4,-3,0,3,0,1,4,3
15,"TIMKO,NICOLE, NAMBISAN,ISHA, OR,CATHERINE, HEYER,ALLIE, ARIAS,AVA",24 33 22 5 23,78-66,HOME,5,1,0,00:01,0,0,-5,0,0,0,0,0,3
16,"TIMKO,NICOLE, NAMBISAN,ISHA, OR,CATHERINE, CHINTALA,ANISHA, ARIAS,AVA",24 33 22 10 23,78-66,HOME,5,2,2,01:18,1,2,-5,0,1,2,1,2,4
17,"TIMKO,NICOLE, NAMBISAN,ISHA, OR,CATHERINE, CHINTALA,ANISHA, BANEY,PAYTON",24 33 22 10 15,78-66,HOME,4,7,8,05:00,5,9,-4,2,7,2,4,5,4
18,"TIMKO,NICOLE, NAMBISAN,ISHA, OR,CATHERINE, ARIAS,AVA, BANEY,PAYTON",24 33 22 23 15,78-66,HOME,4,4,3,02:18,5,5,0,3,5,0,4,5,4
19,"TIMKO,NICOLE, NAMBISAN,ISHA, OR,CATHERINE, CHINTALA,ANISHA, BANEY,PAYTON",24 33 22 10 15,78-66,HOME,4,13,12,06:24,3,15,0,1,6,8,7,13,4
