,LINEUP (NAMES),NUMBERS,SCORE,LOCATION,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"BANEY,PAYTON, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA",15 4 10 22 33,58-68,AWAY,3,10,10,5:22,10,4,0,3,5,0,3,8,1
1,"ARIAS,AVA, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA",23 4 10 22 33,58-68,AWAY,4,0,0,00:14,0,0,-6,0,0,0,0,0,1
2,"ARIAS,AVA, GIBBS,SAVANNAH, TIMKO,NICOLE, OR,CATHERINE, NAMBISAN,ISHA",23 4 24 22 33,58-68,AWAY,4,3,2,01:07,2,0,-6,0,1,0,2,3,1
3,"ARIAS,AVA, BANEY,PAYTON, TIMKO,NICOLE, OR,CATHERINE, NAMBISAN,ISHA",23 15 24 22 33,58-68,AWAY,4,3,4,02:34,4,0,-8,2,4,0,2,6,1
4,"ARIAS,AVA, BANEY,PAYTON, TIMKO,NICOLE, OR,CATHERINE, CHINTALA,ANISHA",23 15 24 22 10,58-68,AWAY,4,1,1,00:43,0,0,-12,1,1,0,2,2,1
5,"NAMBISAN,ISHA, BANEY,PAYTON, TIMKO,NICOLE, OR,CATHERINE, CHINTALA,ANISHA",33 15 24 22 10,58-68,AWAY,4,6,6,03:11,0,9,-12,3,6,0,5,8,2
6,"NAMBISAN,ISHA, GIBBS,SAVANNAH, TIMKO,NICOLE, OR,CATHERINE, CHINTALA,ANISHA",33 4 24 22 10,58-68,AWAY,4,8,8,04:34,6,11,-3,2,7,0,4,8,2
7,"NAMBISAN,ISHA, GIBBS,SAVANNAH, ARIAS,AVA, OR,CATHERINE, CHINTALA,ANISHA",33 4 23 22 10,58-68,AWAY,4,3,4,02:15,3,4,2,1,4,0,2,4,2
8,"NAMBISAN,ISHA, GIBBS,SAVANNAH, BANEY,PAYTON, OR,CATHERINE, CHINTALA,ANISHA",33 4 15 22 10,58-68,AWAY,3,11,10,05:22,14,4,3,5,8,0,7,11,3
9,"NAMBISAN,ISHA, GIBBS,SAVANNAH, TIMKO,NICOLE, OR,CATHERINE, CHINTALA,ANISHA",33 4 24 22 10,58-68,AWAY,4,2,2,00:43,2,0,-7,0,1,0,0,1,3
10,"NAMBISAN,ISHA, GIBBS,SAVANNAH, TIMKO,NICOLE, OR,CATHERINE, ARIAS,AVA",33 4 24 22 23,58-68,AWAY,4,4,5,02:06,7,4,-9,1,4,2,1,5,3
11,"NAMBISAN,ISHA, GIBBS,SAVANNAH, TIMKO,NICOLE, OR,CATHERINE, BANEY,PAYTON",33 4 24 22 15,58-68,AWAY,3,2,2,01:15,2,2,-12,0,2,0,0,2,3
12,"NAMBISAN,ISHA, GIBBS,SAVANNAH, TIMKO,NICOLE, CHINTALA,ANISHA, BANEY,PAYTON",33 4 24 10 15,58-68,AWAY,3,1,1,00:34,0,0,-12,0,2,0,2,3,3
13,"OR,CATHERINE, GIBBS,SAVANNAH, TIMKO,NICOLE, CHINTALA,ANISHA, BANEY,PAYTON",22 4 24 10 15,58-68,AWAY,3,3,4,02:24,0,4,-12,0,4,0,2,4,4
14,"OR,CATHERINE, GIBBS,SAVANNAH, TIMKO,NICOLE, NAMBISAN,ISHA, BANEY,PAYTON",22 4 24 33 15,58-68,AWAY,3,2,2,01:12,0,0,-8,1,2,0,1,4,4
15,"OR,CATHERINE, CHINTALA,ANISHA, TIMKO,NICOLE, NAMBISAN,ISHA, BANEY,PAYTON",22 10 24 33 15,58-68,AWAY,4,11,10,05:29,9,9,-8,4,7,2,3,8,4
16,"OR,CATHERINE, HEYER,ALLIE, TIMKO,NICOLE, NAMBISAN,ISHA, BANEY,PAYTON",22 5 24 33 15,58-68,AWAY,4,2,2,00:31,4,2,-8,0,1,2,1,3,4
17,"OR,CATHERINE, TIMKO,NICOLE, GIBBS,SAVANNAH, NAMBISAN,ISHA, BANEY,PAYTON",22 24 4 33 15,58-68,AWAY,3,2,2,00:19,5,5,-10,1,2,0,0,1,4
18,"OR,CATHERINE, TIMKO,NICOLE, GIBBS,SAVANNAH, NAMBISAN,ISHA, LAFOND,LIV",22 24 4 33 43,58-68,AWAY,3,0,1,00:05,0,0,-10,0,1,0,0,0,4
