,LINEUP (NAMES),NUMBERS,SCORE,LOCATION,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA, NAMBISAN,ISHA",4 10 22 23 33,72-47,HOME,4,8,8,4:21,0,7,0,2,8,4,7,12,1
1,"BANEY,PAYTON, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA, TIMKO,NICOLE",15 10 22 23 24,72-47,HOME,4,2,2,01:44,0,4,7,0,2,0,1,2,1
2,"BANEY,PAYTON, CHINTALA,ANISHA, OR,CATHERINE, HEYER,ALLIE, TIMKO,NICOLE",15 10 22 5 24,72-47,HOME,4,1,1,00:52,0,0,11,2,2,0,1,2,1
3,"BANEY,PAYTON, NAMBISAN,ISHA, OR,CATHERINE, HEYER,ALLIE, TIMKO,NICOLE",15 33 22 5 24,72-47,HOME,4,3,2,00:57,1,3,11,1,1,0,0,0,1
4,"GIBBS,SAVANNAH, NAMBISAN,ISHA, OR,CATHERINE, HEYER,ALLIE, TIMKO,NICOLE",4 33 22 5 24,72-47,HOME,4,3,3,02:06,6,0,13,2,4,0,2,4,1
5,"GIBBS,SAVANNAH, ARIAS,AVA, OR,CATHERINE, CHINTALA,ANISHA, TIMKO,NICOLE",4 23 22 10 24,72-47,HOME,4,2,3,01:03,0,0,7,0,1,0,1,2,2
6,"GIBBS,SAVANNAH, ARIAS,AVA, OR,CATHERINE, CHINTALA,ANISHA, LIGOTTI,PIPER",4 23 22 10 3,72-47,HOME,4,5,4,02:26,0,4,7,1,5,0,4,6,2
7,"GIBBS,SAVANNAH, ARIAS,AVA, OR,CATHERINE, NAMBISAN,ISHA, TIMKO,NICOLE",4 23 22 33 24,72-47,HOME,4,4,5,02:47,7,7,11,1,5,0,1,5,2
8,"GIBBS,SAVANNAH, ARIAS,AVA, CHINTALA,ANISHA, NAMBISAN,ISHA, TIMKO,NICOLE",4 23 10 33 24,72-47,HOME,4,3,2,00:53,4,0,11,1,1,0,1,1,2
9,"GIBBS,SAVANNAH, LIGOTTI,PIPER, CHINTALA,ANISHA, NAMBISAN,ISHA, OR,CATHERINE",4 3 10 33 22,72-47,HOME,4,3,4,02:15,2,2,7,1,2,0,0,1,2
10,"PROUTY,ANNA, LIGOTTI,PIPER, CHINTALA,ANISHA, NAMBISAN,ISHA, OR,CATHERINE",11 3 10 33 22,72-47,HOME,4,1,1,00:36,0,2,7,0,1,0,0,0,2
11,"ARIAS,AVA, GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA, OR,CATHERINE",23 4 10 33 22,72-47,HOME,4,4,4,02:11,0,3,9,1,5,1,4,7,3
12,"BANEY,PAYTON, GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA, OR,CATHERINE",15 4 10 33 22,72-47,HOME,3,10,9,04:11,8,13,12,2,8,6,3,6,3
13,"HEYER,ALLIE, GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA, OR,CATHERINE",5 4 10 33 22,72-47,HOME,4,1,2,01:30,4,4,17,0,1,3,0,4,3
14,"ARIAS,AVA, GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA, OR,CATHERINE",23 4 10 33 22,72-47,HOME,4,3,3,01:36,4,3,17,1,3,1,1,2,3
15,"ARIAS,AVA, LIGOTTI,PIPER, BANEY,PAYTON, NAMBISAN,ISHA, OR,CATHERINE",23 3 15 33 22,72-47,HOME,4,8,7,04:07,4,10,16,1,8,2,7,10,3
16,"TIMKO,NICOLE, GIBBS,SAVANNAH, BANEY,PAYTON, NAMBISAN,ISHA, CHINTALA,ANISHA",24 4 15 33 10,72-47,HOME,3,3,3,01:22,2,1,22,0,1,2,2,2,4
17,"TIMKO,NICOLE, GIBBS,SAVANNAH, BANEY,PAYTON, OR,CATHERINE, CHINTALA,ANISHA",24 4 15 22 10,72-47,HOME,3,2,2,01:16,0,2,21,0,3,0,2,4,4
18,"TIMKO,NICOLE, GIBBS,SAVANNAH, BANEY,PAYTON, OR,CATHERINE, HEYER,ALLIE",24 4 15 22 5,72-47,HOME,3,1,0,00:22,3,0,23,0,0,0,0,1,4
19,"TIMKO,NICOLE, PROUTY,ANNA, PEPER,ANYA, OR,CATHERINE, HEYER,ALLIE",24 11 14 22 5,72-47,HOME,4,3,4,02:02,2,4,20,1,7,0,6,7,4
20,"LAFOND,LIV, PROUTY,ANNA, PEPER,ANYA, DELMORE,KAYLA, KATZ,JUSTINE",43 11 14 21 2,72-47,HOME,3,3,2,01:23,0,3,22,1,2,2,4,6,4
