,LINEUP (NAMES),NUMBERS,SCORE,LOCATION,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"BANEY,PAYTON, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA, NAMBISAN,ISHA",15 10 22 23 33,91-61,HOME,4,9,10,4:16,4,13,0,1,5,6,4,8,1
1,"BANEY,PAYTON, CHINTALA,ANISHA, OR,CATHERINE, HEYER,ALLIE, TIMKO,NICOLE",15 10 22 5 24,91-61,HOME,4,4,3,00:54,2,4,9,0,2,0,1,1,1
2,"BANEY,PAYTON, LIGOTTI,PIPER, OR,CATHERINE, HEYER,ALLIE, TIMKO,NICOLE",15 3 22 5 24,91-61,HOME,4,3,3,01:27,0,2,11,1,2,2,3,5,1
3,"LAFOND,LIV, LIGOTTI,PIPER, OR,CATHERINE, HEYER,ALLIE, TIMKO,NICOLE",43 3 22 5 24,91-61,HOME,4,1,2,00:59,2,2,13,0,0,2,0,1,1
4,"LAFOND,LIV, LIGOTTI,PIPER, OR,CATHERINE, NAMBISAN,ISHA, TIMKO,NICOLE",43 3 22 33 24,91-61,HOME,4,4,3,02:24,5,0,13,2,5,0,4,7,1
5,"LAFOND,LIV, CHINTALA,ANISHA, ARIAS,AVA, NAMBISAN,ISHA, TIMKO,NICOLE",43 10 23 33 24,91-61,HOME,4,2,1,01:17,3,0,8,1,4,0,3,5,2
6,"LAFOND,LIV, CHINTALA,ANISHA, BANEY,PAYTON, NAMBISAN,ISHA, OR,CATHERINE",43 10 15 33 22,91-61,HOME,3,3,4,02:21,4,9,5,1,4,0,1,5,2
7,"LAFOND,LIV, KATZ,JUSTINE, BANEY,PAYTON, NAMBISAN,ISHA, OR,CATHERINE",43 2 15 33 22,91-61,HOME,3,1,1,00:34,2,0,10,2,2,0,1,2,2
8,"TIMKO,NICOLE, KATZ,JUSTINE, BANEY,PAYTON, NAMBISAN,ISHA, OR,CATHERINE",24 2 15 33 22,91-61,HOME,4,6,5,03:43,8,9,8,3,5,2,4,5,2
9,"TIMKO,NICOLE, KATZ,JUSTINE, BANEY,PAYTON, HEYER,ALLIE, OR,CATHERINE",24 2 15 5 22,91-61,HOME,4,2,3,01:04,2,2,9,1,1,2,1,2,2
10,"TIMKO,NICOLE, ARIAS,AVA, BANEY,PAYTON, HEYER,ALLIE, OR,CATHERINE",24 23 15 5 22,91-61,HOME,4,1,0,00:12,0,0,9,0,0,0,0,0,2
11,"TIMKO,NICOLE, NAMBISAN,ISHA, BANEY,PAYTON, HEYER,ALLIE, OR,CATHERINE",24 33 15 5 22,91-61,HOME,4,1,2,00:45,0,2,9,1,1,2,0,1,2
12,"TIMKO,NICOLE, ARIAS,AVA, BANEY,PAYTON, HEYER,ALLIE, OR,CATHERINE",24 23 15 5 22,91-61,HOME,4,0,0,00:04,0,0,11,0,0,0,0,0,2
13,"NAMBISAN,ISHA, ARIAS,AVA, BANEY,PAYTON, CHINTALA,ANISHA, OR,CATHERINE",33 23 15 10 22,91-61,HOME,4,13,14,06:35,1,20,11,2,9,8,12,14,3
14,"NAMBISAN,ISHA, TIMKO,NICOLE, BANEY,PAYTON, CHINTALA,ANISHA, LAFOND,LIV",33 24 15 10 43,91-61,HOME,3,5,4,02:36,2,6,30,1,3,2,4,5,3
15,"HEYER,ALLIE, TIMKO,NICOLE, LIGOTTI,PIPER, CHINTALA,ANISHA, LAFOND,LIV",5 24 3 10 43,91-61,HOME,4,2,3,01:13,3,4,34,1,1,6,1,2,3
16,"HEYER,ALLIE, TIMKO,NICOLE, LIGOTTI,PIPER, PEPER,ANYA, LAFOND,LIV",5 24 3 14 43,91-61,HOME,4,0,-1,00:13,0,0,35,0,1,0,2,2,4
17,"HEYER,ALLIE, KATZ,JUSTINE, LIGOTTI,PIPER, PEPER,ANYA, LAFOND,LIV",5 2 3 14 43,91-61,HOME,4,1,1,00:37,2,0,35,1,1,0,0,2,4
18,"HEYER,ALLIE, KATZ,JUSTINE, LIGOTTI,PIPER, PEPER,ANYA, TIMKO,NICOLE",5 2 3 14 24,91-61,HOME,5,7,7,03:57,11,9,33,2,6,2,1,6,4
19,"HEYER,ALLIE, KATZ,JUSTINE, LIGOTTI,PIPER, PEPER,ANYA, LAFOND,LIV",5 2 3 14 43,91-61,HOME,4,2,2,01:19,6,0,31,2,2,2,1,3,4
20,"HEYER,ALLIE, KATZ,JUSTINE, LIGOTTI,PIPER, PEPER,ANYA, ARIAS,AVA",5 2 3 14 23,91-61,HOME,5,4,5,01:49,3,7,25,2,4,2,3,5,4
21,"HEYER,ALLIE, KATZ,JUSTINE, TIMKO,NICOLE, PEPER,ANYA, ARIAS,AVA",5 2 24 14 23,91-61,HOME,5,3,2,01:41,1,2,29,1,3,0,3,4,4
