,LINEUP (NAMES),NUMBERS,SCORE,LOCATION,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"BANEY,PAYTON, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA",15 4 10 22 33,62-91,HOME,3,5,5,2:44,9,0,0,0,1,0,0,1,1
1,"PEPER,ANYA, GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, ARIAS,AVA",14 4 10 21 23,62-91,HOME,4,4,5,01:54,7,5,-9,0,3,1,1,3,1
2,"PEPER,ANYA, GIBBS,SAVANNAH, OR,CATHERINE, TIMKO,NICOLE, ARIAS,AVA",14 4 22 24 23,62-91,HOME,4,2,1,02:15,6,2,-11,2,4,0,3,4,1
3,"DELMORE,KAYLA, BANEY,PAYTON, OR,CATHERINE, TIMKO,NICOLE, ARIAS,AVA",21 15 22 24 23,62-91,HOME,4,4,5,02:43,7,6,-15,2,4,2,2,4,1
4,"NAMBISAN,ISHA, BANEY,PAYTON, OR,CATHERINE, TIMKO,NICOLE, ARIAS,AVA",33 15 22 24 23,62-91,HOME,4,7,4,02:40,7,4,-16,1,4,0,0,5,1
5,"NAMBISAN,ISHA, GIBBS,SAVANNAH, OR,CATHERINE, TIMKO,NICOLE, ARIAS,AVA",33 4 22 24 23,62-91,HOME,4,3,2,02:07,5,5,-19,1,2,1,1,1,2
6,"NAMBISAN,ISHA, GIBBS,SAVANNAH, OR,CATHERINE, BANEY,PAYTON, CHINTALA,ANISHA",33 4 22 15 10,62-91,HOME,3,2,2,01:16,0,0,-19,0,0,1,1,3,2
7,"NAMBISAN,ISHA, GIBBS,SAVANNAH, OR,CATHERINE, ARIAS,AVA, CHINTALA,ANISHA",33 4 22 23 10,62-91,HOME,4,5,5,02:53,11,4,-19,0,2,4,0,2,2
8,"DELMORE,KAYLA, GIBBS,SAVANNAH, PEPER,ANYA, ARIAS,AVA, CHINTALA,ANISHA",21 4 14 23 10,62-91,HOME,4,2,2,01:02,0,1,-26,0,0,2,1,1,2
9,"DELMORE,KAYLA, GIBBS,SAVANNAH, PEPER,ANYA, ARIAS,AVA, HEYER,ALLIE",21 4 14 23 5,62-91,HOME,4,1,0,00:26,2,0,-25,0,0,0,0,0,2
10,"OR,CATHERINE, GIBBS,SAVANNAH, BANEY,PAYTON, NAMBISAN,ISHA, CHINTALA,ANISHA",22 4 15 33 10,62-91,HOME,3,8,7,03:35,9,0,-27,1,5,0,4,10,3
11,"OR,CATHERINE, PROUTY,ANNA, ARIAS,AVA, TIMKO,NICOLE, DELMORE,KAYLA",22 11 23 24 21,62-91,HOME,4,3,3,01:41,2,5,-36,1,2,2,2,3,3
12,"CHINTALA,ANISHA, PROUTY,ANNA, ARIAS,AVA, TIMKO,NICOLE, DELMORE,KAYLA",10 11 23 24 21,62-91,HOME,4,4,4,02:01,2,2,-33,0,3,0,0,2,3
13,"CHINTALA,ANISHA, PROUTY,ANNA, ARIAS,AVA, NAMBISAN,ISHA, DELMORE,KAYLA",10 11 23 33 21,62-91,HOME,4,2,3,01:31,2,2,-33,0,2,0,1,2,3
14,"CHINTALA,ANISHA, GIBBS,SAVANNAH, BANEY,PAYTON, NAMBISAN,ISHA, PEPER,ANYA",10 4 15 33 14,62-91,HOME,3,2,2,01:12,3,2,-33,1,2,0,1,2,3
15,"OR,CATHERINE, GIBBS,SAVANNAH, BANEY,PAYTON, NAMBISAN,ISHA, PEPER,ANYA",22 4 15 33 14,62-91,HOME,3,6,6,03:42,8,10,-34,2,5,0,1,2,4
16,"OR,CATHERINE, GIBBS,SAVANNAH, HEYER,ALLIE, LAFOND,LIV, LIGOTTI,PIPER",22 4 5 43 3,62-91,HOME,3,1,2,01:25,3,2,-32,0,3,0,1,3,4
17,"DELMORE,KAYLA, GIBBS,SAVANNAH, HEYER,ALLIE, LAFOND,LIV, LIGOTTI,PIPER",21 4 5 43 3,62-91,HOME,3,2,2,00:49,2,6,-33,1,3,1,2,2,4
18,"DELMORE,KAYLA, KATZ,JUSTINE, HEYER,ALLIE, LAFOND,LIV, LIGOTTI,PIPER",21 2 5 43 3,62-91,HOME,4,5,5,04:04,6,6,-29,1,6,1,3,7,4
