,LINEUP (NAMES),NUMBERS,SCORE,LOCATION,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"BANEY,PAYTON, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA",15 4 10 22 33,52-83,AWAY,3,9,9,5:26,15,5,0,2,5,2,3,8,1
1,"ARIAS,AVA, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, TIMKO,NICOLE",23 4 10 22 24,52-83,AWAY,4,4,3,02:29,5,2,-10,1,3,0,0,4,1
2,"ARIAS,AVA, GIBBS,SAVANNAH, NAMBISAN,ISHA, OR,CATHERINE, TIMKO,NICOLE",23 4 33 22 24,52-83,AWAY,4,0,1,00:29,0,0,-13,0,0,0,0,0,1
3,"ARIAS,AVA, GIBBS,SAVANNAH, NAMBISAN,ISHA, CHINTALA,ANISHA, TIMKO,NICOLE",23 4 33 10 24,52-83,AWAY,4,3,2,01:36,2,0,-13,0,1,0,1,4,1
4,"BANEY,PAYTON, GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA, TIMKO,NICOLE",15 4 22 10 24,52-83,AWAY,3,3,3,01:37,6,0,-15,0,1,0,1,2,2
5,"BANEY,PAYTON, PROUTY,ANNA, OR,CATHERINE, CHINTALA,ANISHA, TIMKO,NICOLE",15 11 22 10 24,52-83,AWAY,3,2,3,01:32,3,5,-21,1,3,2,2,3,2
6,"BANEY,PAYTON, PROUTY,ANNA, NAMBISAN,ISHA, CHINTALA,ANISHA, TIMKO,NICOLE",15 11 33 10 24,52-83,AWAY,3,3,1,01:20,1,2,-19,0,2,0,2,3,2
7,"ARIAS,AVA, PROUTY,ANNA, NAMBISAN,ISHA, CHINTALA,ANISHA, TIMKO,NICOLE",23 11 33 10 24,52-83,AWAY,4,1,2,01:15,3,3,-18,1,1,0,0,2,2
8,"ARIAS,AVA, PROUTY,ANNA, OR,CATHERINE, CHINTALA,ANISHA, HEYER,ALLIE",23 11 22 10 5,52-83,AWAY,4,4,3,02:22,8,2,-18,1,3,0,1,3,2
9,"ARIAS,AVA, BANEY,PAYTON, OR,CATHERINE, GIBBS,SAVANNAH, HEYER,ALLIE",23 15 22 4 5,52-83,AWAY,3,2,3,01:19,2,3,-24,0,1,1,1,1,2
10,"ARIAS,AVA, NAMBISAN,ISHA, LAFOND,LIV, GIBBS,SAVANNAH, CHINTALA,ANISHA",23 33 43 4 10,52-83,AWAY,3,1,1,00:35,0,0,-23,0,1,0,1,1,2
11,"BANEY,PAYTON, NAMBISAN,ISHA, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA",15 33 22 4 10,52-83,AWAY,3,8,8,03:45,4,8,-23,1,5,2,3,6,3
12,"ARIAS,AVA, NAMBISAN,ISHA, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA",23 33 22 4 10,52-83,AWAY,4,3,4,01:24,3,4,-19,1,2,2,3,3,3
13,"ARIAS,AVA, NAMBISAN,ISHA, OR,CATHERINE, GIBBS,SAVANNAH, TIMKO,NICOLE",23 33 22 4 24,52-83,AWAY,4,1,1,00:31,0,0,-18,0,0,0,1,1,3
14,"ARIAS,AVA, NAMBISAN,ISHA, OR,CATHERINE, BANEY,PAYTON, TIMKO,NICOLE",23 33 22 15 24,52-83,AWAY,4,5,5,03:29,5,12,-18,2,4,2,2,5,3
15,"CHINTALA,ANISHA, NAMBISAN,ISHA, GIBBS,SAVANNAH, BANEY,PAYTON, TIMKO,NICOLE",10 33 4 15 24,52-83,AWAY,3,2,1,00:51,5,0,-11,0,0,0,0,0,3
16,"CHINTALA,ANISHA, NAMBISAN,ISHA, GIBBS,SAVANNAH, BANEY,PAYTON, OR,CATHERINE",10 33 4 15 22,52-83,AWAY,3,1,3,01:51,2,2,-16,0,4,0,2,3,4
17,"CHINTALA,ANISHA, TIMKO,NICOLE, GIBBS,SAVANNAH, BANEY,PAYTON, OR,CATHERINE",10 24 4 15 22,52-83,AWAY,3,1,1,00:34,2,0,-16,0,1,0,0,1,4
18,"CHINTALA,ANISHA, TIMKO,NICOLE, PROUTY,ANNA, BANEY,PAYTON, OR,CATHERINE",10 24 11 15 22,52-83,AWAY,3,3,2,01:47,0,0,-18,0,3,0,4,7,4
19,"NAMBISAN,ISHA, TIMKO,NICOLE, PROUTY,ANNA, BANEY,PAYTON, OR,CATHERINE",33 24 11 15 22,52-83,AWAY,3,3,3,01:15,7,2,-18,0,2,0,2,2,4
20,"LAFOND,LIV, CHINTALA,ANISHA, PROUTY,ANNA, KATZ,JUSTINE, HEYER,ALLIE",43 10 11 2 5,52-83,AWAY,3,7,7,04:33,10,2,-23,0,3,2,2,6,4
