,LINEUP (NAMES),NUMBERS,SCORE,LOCATION,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"BANEY,PAYTON, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA, NAMBISAN,ISHA",15 10 22 23 33,81-43,HOME,4,6,7,3:13,4,2,0,0,3,2,3,4,1
1,"BANEY,PAYTON, CHINTALA,ANISHA, OR,CATHERINE, TIMKO,NICOLE, NAMBISAN,ISHA",15 10 22 24 33,81-43,HOME,4,1,1,00:45,0,0,-2,1,2,0,1,3,1
2,"GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, TIMKO,NICOLE, NAMBISAN,ISHA",4 10 22 24 33,81-43,HOME,4,5,5,02:23,2,11,-2,1,3,4,0,3,1
3,"GIBBS,SAVANNAH, HEYER,ALLIE, OR,CATHERINE, TIMKO,NICOLE, NAMBISAN,ISHA",4 5 22 24 33,81-43,HOME,4,2,2,01:08,0,2,7,0,1,1,0,3,1
4,"GIBBS,SAVANNAH, HEYER,ALLIE, CHINTALA,ANISHA, TIMKO,NICOLE, NAMBISAN,ISHA",4 5 10 24 33,81-43,HOME,4,3,3,01:08,3,4,9,0,1,2,2,2,1
5,"LIGOTTI,PIPER, HEYER,ALLIE, CHINTALA,ANISHA, TIMKO,NICOLE, BANEY,PAYTON",3 5 10 24 15,81-43,HOME,4,4,3,01:23,2,4,10,0,2,4,3,4,1
6,"LIGOTTI,PIPER, HEYER,ALLIE, OR,CATHERINE, TIMKO,NICOLE, BANEY,PAYTON",3 5 22 24 15,81-43,HOME,4,6,5,02:29,4,9,12,1,5,0,3,5,2
7,"LIGOTTI,PIPER, GIBBS,SAVANNAH, OR,CATHERINE, NAMBISAN,ISHA, CHINTALA,ANISHA",3 4 22 33 10,81-43,HOME,4,2,2,01:02,0,2,17,0,1,0,0,0,2
8,"ARIAS,AVA, GIBBS,SAVANNAH, OR,CATHERINE, NAMBISAN,ISHA, CHINTALA,ANISHA",23 4 22 33 10,81-43,HOME,4,3,3,02:04,0,0,19,1,3,0,2,4,2
9,"ARIAS,AVA, LAFOND,LIV, OR,CATHERINE, NAMBISAN,ISHA, CHINTALA,ANISHA",23 43 22 33 10,81-43,HOME,4,1,1,00:43,0,0,19,1,2,0,2,3,2
