,LINEUP (NAMES),NUMBERS,SCORE,LOCATION,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA, NAMBISAN,ISHA",4 10 22 23 33,78-74,HOME,4,8,7,3:54,2,4,0,0,7,0,7,11,1
1,"GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, BANEY,PAYTON, TIMKO,NICOLE",4 10 22 15 24,78-74,HOME,3,5,6,02:39,2,6,2,1,6,0,5,7,1
2,"ARIAS,AVA, CHINTALA,ANISHA, NAMBISAN,ISHA, BANEY,PAYTON, TIMKO,NICOLE",23 10 33 15 24,78-74,HOME,4,4,4,02:01,4,6,6,1,4,0,2,3,1
3,"ARIAS,AVA, HEYER,ALLIE, NAMBISAN,ISHA, BANEY,PAYTON, OR,CATHERINE",23 5 33 15 22,78-74,HOME,4,1,1,00:48,2,2,8,0,1,0,0,1,1
4,"GIBBS,SAVANNAH, HEYER,ALLIE, NAMBISAN,ISHA, BANEY,PAYTON, OR,CATHERINE",4 5 33 15 22,78-74,HOME,3,1,1,00:22,2,1,8,0,0,2,0,0,1
5,"GIBBS,SAVANNAH, CHINTALA,ANISHA, PEPER,ANYA, BANEY,PAYTON, OR,CATHERINE",4 10 14 15 22,78-74,HOME,3,1,0,00:16,0,0,7,0,0,0,0,1,1
6,"GIBBS,SAVANNAH, CHINTALA,ANISHA, ARIAS,AVA, NAMBISAN,ISHA, OR,CATHERINE",4 10 23 33 22,78-74,HOME,4,4,3,01:22,4,2,7,1,2,1,1,3,2
7,"GIBBS,SAVANNAH, TIMKO,NICOLE, BANEY,PAYTON, NAMBISAN,ISHA, OR,CATHERINE",4 24 15 33 22,78-74,HOME,3,6,6,02:53,10,6,5,3,6,0,3,5,2
8,"GIBBS,SAVANNAH, PEPER,ANYA, BANEY,PAYTON, NAMBISAN,ISHA, OR,CATHERINE",4 14 15 33 22,78-74,HOME,3,6,6,02:56,7,13,1,2,6,1,2,4,2
9,"TIMKO,NICOLE, LAFOND,LIV, BANEY,PAYTON, NAMBISAN,ISHA, OR,CATHERINE",24 43 15 33 22,78-74,HOME,3,6,7,02:49,8,4,7,0,4,0,2,4,2
10,"CHINTALA,ANISHA, ARIAS,AVA, GIBBS,SAVANNAH, NAMBISAN,ISHA, OR,CATHERINE",10 23 4 33 22,78-74,HOME,4,7,7,03:41,8,6,3,0,4,4,5,7,3
11,"CHINTALA,ANISHA, BANEY,PAYTON, GIBBS,SAVANNAH, NAMBISAN,ISHA, OR,CATHERINE",10 15 4 33 22,78-74,HOME,3,6,5,02:50,3,10,1,4,7,2,4,6,3
12,"CHINTALA,ANISHA, BANEY,PAYTON, ARIAS,AVA, NAMBISAN,ISHA, OR,CATHERINE",10 15 23 33 22,78-74,HOME,4,3,4,01:32,3,1,8,0,1,2,3,4,3
13,"CHINTALA,ANISHA, BANEY,PAYTON, GIBBS,SAVANNAH, NAMBISAN,ISHA, OR,CATHERINE",10 15 4 33 22,78-74,HOME,3,3,3,01:19,0,2,6,1,3,0,4,5,3
14,"TIMKO,NICOLE, BANEY,PAYTON, GIBBS,SAVANNAH, NAMBISAN,ISHA, OR,CATHERINE",24 15 4 33 22,78-74,HOME,3,3,3,01:57,5,3,8,2,2,4,2,4,3
15,"CHINTALA,ANISHA, BANEY,PAYTON, GIBBS,SAVANNAH, NAMBISAN,ISHA, OR,CATHERINE",10 15 4 33 22,78-74,HOME,3,2,2,00:46,1,0,6,0,0,0,2,2,4
16,"CHINTALA,ANISHA, BANEY,PAYTON, ARIAS,AVA, NAMBISAN,ISHA, OR,CATHERINE",10 15 23 33 22,78-74,HOME,4,4,4,02:56,2,5,5,2,4,0,3,6,4
17,"TIMKO,NICOLE, BANEY,PAYTON, ARIAS,AVA, NAMBISAN,ISHA, OR,CATHERINE",24 15 23 33 22,78-74,HOME,4,3,2,01:20,4,2,8,1,2,0,2,5,4
18,"TIMKO,NICOLE, CHINTALA,ANISHA, ARIAS,AVA, GIBBS,SAVANNAH, OR,CATHERINE",24 10 23 4 22,78-74,HOME,4,3,4,01:32,0,3,6,1,2,1,2,2,4
19,"NAMBISAN,ISHA, CHINTALA,ANISHA, BANEY,PAYTON, GIBBS,SAVANNAH, OR,CATHERINE",33 10 15 4 22,78-74,HOME,3,6,5,01:56,5,1,9,0,1,6,2,5,4
20,"NAMBISAN,ISHA, CHINTALA,ANISHA, TIMKO,NICOLE, GIBBS,SAVANNAH, OR,CATHERINE",33 10 24 4 22,78-74,HOME,4,1,1,00:11,2,1,5,0,0,2,0,1,4
