,LINEUP (NAMES),NUMBERS,SCORE,LOCATION,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"BANEY,PAYTON, GIBBS,SAVANNAH, CHINTALA,ANISHA, TIMKO,NICOLE, NAMBISAN,ISHA",15 4 10 24 33,59-46,HOME,3,6,6,4:22,4,4,0,2,4,0,4,6,1
1,"BANEY,PAYTON, GIBBS,SAVANNAH, ARIAS,AVA, TIMKO,NICOLE, NAMBISAN,ISHA",15 4 23 24 33,59-46,HOME,3,4,4,01:54,4,0,0,1,2,0,2,6,1
2,"HEYER,ALLIE, GIBBS,SAVANNAH, ARIAS,AVA, TIMKO,NICOLE, CHINTALA,ANISHA",5 4 23 24 10,59-46,HOME,4,3,4,01:53,0,4,-4,0,1,2,2,3,1
3,"HEYER,ALLIE, PROUTY,ANNA, BANEY,PAYTON, NAMBISAN,ISHA, CHINTALA,ANISHA",5 11 15 33 10,59-46,HOME,3,6,5,03:25,0,0,0,2,3,0,4,6,1
4,"TIMKO,NICOLE, PROUTY,ANNA, BANEY,PAYTON, NAMBISAN,ISHA, CHINTALA,ANISHA",24 11 15 33 10,59-46,HOME,3,4,4,02:37,2,8,0,2,4,0,2,4,2
5,"TIMKO,NICOLE, PROUTY,ANNA, GIBBS,SAVANNAH, NAMBISAN,ISHA, CHINTALA,ANISHA",24 11 4 33 10,59-46,HOME,3,3,2,01:23,2,3,6,1,1,0,2,2,2
6,"TIMKO,NICOLE, ARIAS,AVA, GIBBS,SAVANNAH, NAMBISAN,ISHA, CHINTALA,ANISHA",24 23 4 33 10,59-46,HOME,4,1,2,01:09,0,2,7,1,2,0,0,2,2
7,"TIMKO,NICOLE, ARIAS,AVA, GIBBS,SAVANNAH, NAMBISAN,ISHA, HEYER,ALLIE",24 23 4 33 5,59-46,HOME,4,1,1,00:34,0,2,9,0,0,2,1,2,2
8,"CHINTALA,ANISHA, ARIAS,AVA, GIBBS,SAVANNAH, NAMBISAN,ISHA, HEYER,ALLIE",10 23 4 33 5,59-46,HOME,4,3,2,01:30,0,0,11,2,3,0,2,5,2
9,"CHINTALA,ANISHA, BANEY,PAYTON, GIBBS,SAVANNAH, NAMBISAN,ISHA, HEYER,ALLIE",10 15 4 33 5,59-46,HOME,3,0,1,00:08,0,0,11,0,0,0,0,0,2
10,"CHINTALA,ANISHA, BANEY,PAYTON, GIBBS,SAVANNAH, TIMKO,NICOLE, HEYER,ALLIE",10 15 4 24 5,59-46,HOME,3,1,0,00:33,0,0,11,0,0,0,0,1,2
11,"CHINTALA,ANISHA, BANEY,PAYTON, NAMBISAN,ISHA, TIMKO,NICOLE, HEYER,ALLIE",10 15 33 24 5,59-46,HOME,4,0,1,00:29,0,2,11,0,1,0,0,2,2
12,"CHINTALA,ANISHA, BANEY,PAYTON, GIBBS,SAVANNAH, TIMKO,NICOLE, HEYER,ALLIE",10 15 4 24 5,59-46,HOME,3,1,0,00:03,0,0,13,0,0,0,0,0,2
13,"CHINTALA,ANISHA, BANEY,PAYTON, GIBBS,SAVANNAH, TIMKO,NICOLE, NAMBISAN,ISHA",10 15 4 24 33,59-46,HOME,3,5,5,03:16,2,7,13,0,6,1,4,6,3
14,"CHINTALA,ANISHA, BANEY,PAYTON, GIBBS,SAVANNAH, TIMKO,NICOLE, HEYER,ALLIE",10 15 4 24 5,59-46,HOME,3,3,3,01:41,5,2,18,1,1,2,0,2,3
15,"CHINTALA,ANISHA, ARIAS,AVA, GIBBS,SAVANNAH, TIMKO,NICOLE, HEYER,ALLIE",10 23 4 24 5,59-46,HOME,4,1,0,00:10,1,0,15,0,0,0,0,0,3
16,"CHINTALA,ANISHA, ARIAS,AVA, GIBBS,SAVANNAH, TIMKO,NICOLE, NAMBISAN,ISHA",10 23 4 24 33,59-46,HOME,4,4,4,01:54,8,4,14,0,3,0,1,3,3
17,"CHINTALA,ANISHA, BANEY,PAYTON, GIBBS,SAVANNAH, TIMKO,NICOLE, NAMBISAN,ISHA",10 15 4 24 33,59-46,HOME,3,4,5,02:49,5,4,10,0,1,6,1,2,3
18,"CHINTALA,ANISHA, BANEY,PAYTON, GIBBS,SAVANNAH, HEYER,ALLIE, NAMBISAN,ISHA",10 15 4 5 33,59-46,HOME,3,4,4,02:45,3,4,9,1,4,0,2,8,3
19,"CHINTALA,ANISHA, BANEY,PAYTON, GIBBS,SAVANNAH, TIMKO,NICOLE, NAMBISAN,ISHA",10 15 4 24 33,59-46,HOME,3,6,6,04:42,8,7,10,1,4,0,3,5,4
20,"CHINTALA,ANISHA, ARIAS,AVA, GIBBS,SAVANNAH, TIMKO,NICOLE, NAMBISAN,ISHA",10 23 4 24 33,59-46,HOME,4,2,3,02:05,2,6,9,0,4,0,2,4,4
21,"CHINTALA,ANISHA, BANEY,PAYTON, GIBBS,SAVANNAH, TIMKO,NICOLE, NAMBISAN,ISHA",10 15 4 24 33,59-46,HOME,3,1,0,00:38,0,0,13,0,0,0,1,1,4
