,LINEUP (NAMES),NUMBERS,SCORE,LOCATION,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"BANEY,PAYTON, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA, NAMBISAN,ISHA",15 10 22 23 33,80-77,HOME,4,3,4,2:10,5,0,0,0,2,0,2,3,1
1,"BANEY,PAYTON, CHINTALA,ANISHA, OR,CATHERINE, TIMKO,NICOLE, NAMBISAN,ISHA",15 10 22 24 33,80-77,HOME,4,5,4,02:21,2,9,-5,0,6,1,3,3,1
2,"BANEY,PAYTON, CHINTALA,ANISHA, OR,CATHERINE, TIMKO,NICOLE, HEYER,ALLIE",15 10 22 24 5,80-77,HOME,4,1,1,00:50,2,0,2,1,1,0,0,1,1
3,"BANEY,PAYTON, DELMORE,KAYLA, OR,CATHERINE, TIMKO,NICOLE, HEYER,ALLIE",15 21 22 24 5,80-77,HOME,4,1,2,00:28,0,0,0,0,1,0,0,1,1
4,"PROUTY,ANNA, DELMORE,KAYLA, OR,CATHERINE, TIMKO,NICOLE, HEYER,ALLIE",11 21 22 24 5,80-77,HOME,4,4,3,01:57,0,2,0,2,4,0,5,7,1
5,"PROUTY,ANNA, DELMORE,KAYLA, CHINTALA,ANISHA, TIMKO,NICOLE, HEYER,ALLIE",11 21 10 24 5,80-77,HOME,4,1,2,00:56,0,2,2,0,1,2,2,2,1
6,"BANEY,PAYTON, DELMORE,KAYLA, CHINTALA,ANISHA, TIMKO,NICOLE, LIGOTTI,PIPER",15 21 10 24 3,80-77,HOME,4,3,2,00:58,4,0,4,0,1,2,0,2,1
7,"BANEY,PAYTON, NAMBISAN,ISHA, CHINTALA,ANISHA, TIMKO,NICOLE, LIGOTTI,PIPER",15 33 10 24 3,80-77,HOME,4,1,1,00:20,2,0,0,0,0,0,0,0,1
8,"BANEY,PAYTON, NAMBISAN,ISHA, CHINTALA,ANISHA, OR,CATHERINE, LIGOTTI,PIPER",15 33 10 22 3,80-77,HOME,4,6,6,02:56,6,10,-2,3,6,3,1,6,2
9,"BANEY,PAYTON, NAMBISAN,ISHA, CHINTALA,ANISHA, OR,CATHERINE, TIMKO,NICOLE",15 33 10 22 24,80-77,HOME,4,9,9,04:03,11,10,2,0,7,0,3,4,2
10,"LAFOND,LIV, NAMBISAN,ISHA, CHINTALA,ANISHA, OR,CATHERINE, TIMKO,NICOLE",43 33 10 22 24,80-77,HOME,4,1,0,00:13,0,0,1,0,0,0,1,1,2
11,"LAFOND,LIV, HEYER,ALLIE, CHINTALA,ANISHA, OR,CATHERINE, TIMKO,NICOLE",43 5 10 22 24,80-77,HOME,4,4,5,02:34,5,7,1,0,5,2,3,6,2
12,"BANEY,PAYTON, HEYER,ALLIE, CHINTALA,ANISHA, OR,CATHERINE, LIGOTTI,PIPER",15 5 10 22 3,80-77,HOME,4,1,0,00:14,3,0,3,0,0,0,0,0,2
13,"BANEY,PAYTON, NAMBISAN,ISHA, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA",15 33 10 22 23,80-77,HOME,4,6,5,03:32,7,5,0,1,7,0,5,12,3
14,"BANEY,PAYTON, NAMBISAN,ISHA, CHINTALA,ANISHA, OR,CATHERINE, TIMKO,NICOLE",15 33 10 22 24,80-77,HOME,4,8,8,03:39,2,13,-2,3,8,0,5,8,3
15,"BANEY,PAYTON, NAMBISAN,ISHA, HEYER,ALLIE, OR,CATHERINE, TIMKO,NICOLE",15 33 5 22 24,80-77,HOME,4,0,1,00:11,0,0,9,0,0,0,0,0,3
16,"ARIAS,AVA, NAMBISAN,ISHA, HEYER,ALLIE, OR,CATHERINE, TIMKO,NICOLE",23 33 5 22 24,80-77,HOME,5,4,4,02:38,4,3,9,2,4,2,3,5,3
17,"ARIAS,AVA, CHINTALA,ANISHA, HEYER,ALLIE, OR,CATHERINE, TIMKO,NICOLE",23 10 5 22 24,80-77,HOME,5,1,1,01:19,0,0,8,0,1,0,2,5,4
18,"BANEY,PAYTON, CHINTALA,ANISHA, HEYER,ALLIE, OR,CATHERINE, TIMKO,NICOLE",15 10 5 22 24,80-77,HOME,4,2,3,00:49,2,2,8,0,2,1,0,2,4
19,"DELMORE,KAYLA, CHINTALA,ANISHA, HEYER,ALLIE, OR,CATHERINE, ARIAS,AVA",21 10 5 22 23,80-77,HOME,5,1,1,00:49,0,0,8,1,2,0,1,2,4
20,"DELMORE,KAYLA, CHINTALA,ANISHA, HEYER,ALLIE, OR,CATHERINE, PROUTY,ANNA",21 10 5 22 11,80-77,HOME,4,2,1,01:05,4,0,8,2,2,0,1,2,4
21,"NAMBISAN,ISHA, CHINTALA,ANISHA, TIMKO,NICOLE, OR,CATHERINE, PROUTY,ANNA",33 10 24 22 11,80-77,HOME,4,1,1,00:50,2,3,4,2,2,0,1,1,4
22,"NAMBISAN,ISHA, CHINTALA,ANISHA, TIMKO,NICOLE, OR,CATHERINE, BANEY,PAYTON",33 10 24 22 15,80-77,HOME,4,12,12,05:08,16,14,5,1,3,18,6,12,4
