,LINEUP (NAMES),NUMBERS,SCORE,LOCATION,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"BANEY,PAYTON, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA",15 4 10 22 33,86-67,AWAY,3,4,5,2:26,8,6,0,1,5,1,1,3,1
1,"ARIAS,AVA, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA",23 4 10 22 33,86-67,AWAY,4,1,1,00:17,0,3,-2,0,1,1,1,1,1
2,"ARIAS,AVA, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, TIMKO,NICOLE",23 4 10 22 24,86-67,AWAY,4,3,3,01:27,0,2,1,0,2,0,2,3,1
3,"ARIAS,AVA, PEPER,ANYA, BANEY,PAYTON, OR,CATHERINE, TIMKO,NICOLE",23 14 15 22 24,86-67,AWAY,4,6,6,02:56,0,8,3,2,3,0,5,6,1
4,"ARIAS,AVA, PEPER,ANYA, BANEY,PAYTON, DELMORE,KAYLA, TIMKO,NICOLE",23 14 15 21 24,86-67,AWAY,4,5,5,02:54,0,11,11,3,5,2,6,9,1
5,"OR,CATHERINE, GIBBS,SAVANNAH, BANEY,PAYTON, DELMORE,KAYLA, NAMBISAN,ISHA",22 4 15 21 33,86-67,AWAY,3,3,3,02:18,2,2,22,2,4,0,3,6,2
6,"OR,CATHERINE, GIBBS,SAVANNAH, BANEY,PAYTON, HEYER,ALLIE, NAMBISAN,ISHA",22 4 15 5 33,86-67,AWAY,3,4,4,02:12,5,5,22,1,4,2,3,5,2
7,"OR,CATHERINE, GIBBS,SAVANNAH, TIMKO,NICOLE, ARIAS,AVA, NAMBISAN,ISHA",22 4 24 23 33,86-67,AWAY,4,3,2,01:26,7,2,22,0,2,0,0,3,2
8,"OR,CATHERINE, GIBBS,SAVANNAH, TIMKO,NICOLE, BANEY,PAYTON, NAMBISAN,ISHA",22 4 24 15 33,86-67,AWAY,3,1,1,00:31,2,0,17,0,0,0,0,0,2
9,"OR,CATHERINE, GIBBS,SAVANNAH, TIMKO,NICOLE, BANEY,PAYTON, PEPER,ANYA",22 4 24 15 14,86-67,AWAY,3,5,5,03:33,2,6,15,0,5,0,3,7,2
10,"OR,CATHERINE, GIBBS,SAVANNAH, NAMBISAN,ISHA, BANEY,PAYTON, CHINTALA,ANISHA",22 4 33 15 10,86-67,AWAY,3,1,1,00:59,3,0,19,1,3,0,2,4,3
11,"OR,CATHERINE, GIBBS,SAVANNAH, NAMBISAN,ISHA, BANEY,PAYTON, TIMKO,NICOLE",22 4 33 15 24,86-67,AWAY,3,7,6,03:44,11,8,16,3,6,0,2,4,3
12,"OR,CATHERINE, ARIAS,AVA, NAMBISAN,ISHA, BANEY,PAYTON, TIMKO,NICOLE",22 23 33 15 24,86-67,AWAY,4,1,2,00:55,2,1,13,0,1,2,0,2,3
13,"OR,CATHERINE, ARIAS,AVA, CHINTALA,ANISHA, GIBBS,SAVANNAH, TIMKO,NICOLE",22 23 10 4 24,86-67,AWAY,4,13,14,08:14,15,16,12,7,12,4,5,12,3
14,"OR,CATHERINE, ARIAS,AVA, BANEY,PAYTON, PEPER,ANYA, TIMKO,NICOLE",22 23 15 14 24,86-67,AWAY,4,5,5,02:49,2,10,13,2,2,4,3,5,4
15,"OR,CATHERINE, ARIAS,AVA, GIBBS,SAVANNAH, PEPER,ANYA, TIMKO,NICOLE",22 23 4 14 24,86-67,AWAY,4,1,1,00:25,0,2,21,0,0,2,1,1,4
16,"OR,CATHERINE, ARIAS,AVA, GIBBS,SAVANNAH, DELMORE,KAYLA, TIMKO,NICOLE",22 23 4 21 24,86-67,AWAY,4,2,1,00:45,2,2,23,0,0,4,2,3,4
17,"OR,CATHERINE, PEPER,ANYA, GIBBS,SAVANNAH, DELMORE,KAYLA, TIMKO,NICOLE",22 14 4 21 24,86-67,AWAY,4,1,1,00:35,2,0,23,0,1,0,0,2,4
18,"OR,CATHERINE, PEPER,ANYA, PROUTY,ANNA, DELMORE,KAYLA, TIMKO,NICOLE",22 14 11 21 24,86-67,AWAY,4,1,1,00:41,3,0,21,1,1,0,0,1,4
19,"LIGOTTI,PIPER, KATZ,JUSTINE, PROUTY,ANNA, DELMORE,KAYLA, LAFOND,LIV",3 2 11 21 43,86-67,AWAY,3,1,1,00:53,1,2,18,1,2,1,1,2,4
