,LINEUP (NAMES),NUMBERS,SCORE,LOCATION,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"BANEY,PAYTON, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, NAMBISAN,ISHA",15 4 10 22 33,76-70,HOME,3,6,7,4:31,10,4,0,0,2,0,1,2,1
1,"BANEY,PAYTON, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, TIMKO,NICOLE",15 4 10 22 24,76-70,HOME,3,3,2,02:20,5,0,-6,0,1,0,2,2,1
2,"BANEY,PAYTON, ARIAS,AVA, CHINTALA,ANISHA, OR,CATHERINE, TIMKO,NICOLE",15 23 10 22 24,76-70,HOME,4,2,2,00:39,2,0,-11,0,2,0,0,2,1
3,"BANEY,PAYTON, ARIAS,AVA, HEYER,ALLIE, OR,CATHERINE, TIMKO,NICOLE",15 23 5 22 24,76-70,HOME,4,2,2,00:52,0,3,-13,1,2,0,1,3,1
4,"GIBBS,SAVANNAH, ARIAS,AVA, HEYER,ALLIE, OR,CATHERINE, TIMKO,NICOLE",4 23 5 22 24,76-70,HOME,4,2,3,01:22,2,1,-10,1,1,2,0,1,1
5,"CHINTALA,ANISHA, ARIAS,AVA, HEYER,ALLIE, OR,CATHERINE, BANEY,PAYTON",10 23 5 22 15,76-70,HOME,4,4,2,02:10,0,5,-11,0,2,1,3,5,1
6,"CHINTALA,ANISHA, NAMBISAN,ISHA, TIMKO,NICOLE, OR,CATHERINE, BANEY,PAYTON",10 33 24 22 15,76-70,HOME,4,4,5,02:39,4,7,-6,1,3,2,1,2,2
7,"CHINTALA,ANISHA, NAMBISAN,ISHA, TIMKO,NICOLE, OR,CATHERINE, GIBBS,SAVANNAH",10 33 24 22 4,76-70,HOME,4,1,1,00:54,0,2,-3,1,1,2,2,2,2
8,"CHINTALA,ANISHA, NAMBISAN,ISHA, TIMKO,NICOLE, BANEY,PAYTON, GIBBS,SAVANNAH",10 33 24 15 4,76-70,HOME,3,4,4,02:04,0,0,-1,1,3,2,3,6,2
9,"CHINTALA,ANISHA, NAMBISAN,ISHA, ARIAS,AVA, OR,CATHERINE, GIBBS,SAVANNAH",10 33 23 22 4,76-70,HOME,4,2,1,01:29,4,2,-1,1,2,0,1,2,2
10,"BANEY,PAYTON, NAMBISAN,ISHA, TIMKO,NICOLE, OR,CATHERINE, GIBBS,SAVANNAH",15 33 24 22 4,76-70,HOME,3,1,1,00:47,2,3,-3,1,2,0,1,1,2
11,"BANEY,PAYTON, NAMBISAN,ISHA, TIMKO,NICOLE, OR,CATHERINE, HEYER,ALLIE",15 33 24 22 5,76-70,HOME,4,0,1,00:07,0,2,-2,0,0,2,0,0,2
12,"PROUTY,ANNA, NAMBISAN,ISHA, TIMKO,NICOLE, CHINTALA,ANISHA, HEYER,ALLIE",11 33 24 10 5,76-70,HOME,4,1,0,00:06,1,0,0,0,0,0,0,0,2
13,"BANEY,PAYTON, NAMBISAN,ISHA, OR,CATHERINE, CHINTALA,ANISHA, GIBBS,SAVANNAH",15 33 22 10 4,76-70,HOME,3,5,6,03:27,3,4,-1,0,4,0,2,4,3
