,LINEUP (NAMES),NUMBERS,SCORE,LOCATION,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA, NAMBISAN,ISHA",4 10 22 23 33,71-48,HOME,4,10,10,4:23,8,7,0,2,8,0,6,11,1
1,"GIBBS,SAVANNAH, BANEY,PAYTON, OR,CATHERINE, TIMKO,NICOLE, NAMBISAN,ISHA",4 15 22 24 33,71-48,HOME,3,3,2,01:47,5,5,-1,1,2,0,0,0,1
2,"GIBBS,SAVANNAH, BANEY,PAYTON, OR,CATHERINE, TIMKO,NICOLE, CHINTALA,ANISHA",4 15 22 24 10,71-48,HOME,3,3,3,01:09,0,0,-1,0,2,0,3,5,1
3,"PROUTY,ANNA, BANEY,PAYTON, OR,CATHERINE, TIMKO,NICOLE, CHINTALA,ANISHA",11 15 22 24 10,71-48,HOME,3,0,1,01:16,0,0,-1,0,1,0,0,1,1
4,"PROUTY,ANNA, ARIAS,AVA, OR,CATHERINE, NAMBISAN,ISHA, CHINTALA,ANISHA",11 23 22 33 10,71-48,HOME,4,3,3,01:25,0,4,-1,1,3,0,3,3,1
5,"GIBBS,SAVANNAH, ARIAS,AVA, OR,CATHERINE, NAMBISAN,ISHA, CHINTALA,ANISHA",4 23 22 33 10,71-48,HOME,4,7,7,02:13,0,7,3,1,5,0,3,6,2
6,"GIBBS,SAVANNAH, BANEY,PAYTON, OR,CATHERINE, NAMBISAN,ISHA, CHINTALA,ANISHA",4 15 22 33 10,71-48,HOME,3,3,2,01:47,2,2,10,1,2,0,2,3,2
7,"GIBBS,SAVANNAH, BANEY,PAYTON, TIMKO,NICOLE, NAMBISAN,ISHA, CHINTALA,ANISHA",4 15 24 33 10,71-48,HOME,3,1,1,00:38,0,0,10,2,2,0,1,2,2
8,"GIBBS,SAVANNAH, BANEY,PAYTON, TIMKO,NICOLE, OR,CATHERINE, CHINTALA,ANISHA",4 15 24 22 10,71-48,HOME,3,3,3,01:40,0,5,10,1,3,0,1,2,2
9,"GIBBS,SAVANNAH, HEYER,ALLIE, TIMKO,NICOLE, OR,CATHERINE, CHINTALA,ANISHA",4 5 24 22 10,71-48,HOME,4,3,3,02:03,3,3,15,2,2,2,2,5,2
10,"GIBBS,SAVANNAH, HEYER,ALLIE, ARIAS,AVA, OR,CATHERINE, CHINTALA,ANISHA",4 5 23 22 10,71-48,HOME,4,2,2,01:16,2,0,15,1,2,0,1,3,2
11,"GIBBS,SAVANNAH, NAMBISAN,ISHA, ARIAS,AVA, OR,CATHERINE, TIMKO,NICOLE",4 33 23 22 24,71-48,HOME,4,-1,1,00:21,0,0,13,1,1,0,0,0,2
12,"BANEY,PAYTON, NAMBISAN,ISHA, ARIAS,AVA, OR,CATHERINE, TIMKO,NICOLE",15 33 23 22 24,71-48,HOME,4,0,0,00:02,0,0,13,0,0,0,0,0,2
13,"GIBBS,SAVANNAH, NAMBISAN,ISHA, ARIAS,AVA, OR,CATHERINE, CHINTALA,ANISHA",4 33 23 22 10,71-48,HOME,4,6,6,03:58,4,3,13,3,5,0,3,6,3
14,"GIBBS,SAVANNAH, NAMBISAN,ISHA, BANEY,PAYTON, OR,CATHERINE, CHINTALA,ANISHA",4 33 15 22 10,71-48,HOME,3,2,3,01:16,4,2,12,0,0,2,0,0,3
15,"GIBBS,SAVANNAH, TIMKO,NICOLE, BANEY,PAYTON, OR,CATHERINE, CHINTALA,ANISHA",4 24 15 22 10,71-48,HOME,3,3,4,02:13,3,2,10,1,2,0,2,2,3
16,"GIBBS,SAVANNAH, TIMKO,NICOLE, NAMBISAN,ISHA, OR,CATHERINE, ARIAS,AVA",4 24 33 22 23,71-48,HOME,4,2,1,00:56,0,0,9,1,1,0,2,4,3
17,"GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA, OR,CATHERINE, ARIAS,AVA",4 10 33 22 23,71-48,HOME,4,5,5,02:34,1,9,9,2,4,2,4,4,3
18,"GIBBS,SAVANNAH, HEYER,ALLIE, NAMBISAN,ISHA, OR,CATHERINE, ARIAS,AVA",4 5 33 22 23,71-48,HOME,4,4,4,02:08,6,6,17,2,4,0,2,4,4
19,"CHINTALA,ANISHA, BANEY,PAYTON, TIMKO,NICOLE, OR,CATHERINE, ARIAS,AVA",10 15 24 22 23,71-48,HOME,4,6,5,03:34,3,7,17,1,6,0,5,7,4
20,"CHINTALA,ANISHA, BANEY,PAYTON, TIMKO,NICOLE, OR,CATHERINE, LIGOTTI,PIPER",10 15 24 22 3,71-48,HOME,4,1,2,00:52,0,5,21,1,1,2,0,0,4
21,"CHINTALA,ANISHA, BANEY,PAYTON, TIMKO,NICOLE, DELMORE,KAYLA, LIGOTTI,PIPER",10 15 24 21 3,71-48,HOME,4,2,1,01:10,2,2,26,1,2,1,2,3,4
22,"KATZ,JUSTINE, PEPER,ANYA, LAFOND,LIV, DELMORE,KAYLA, LIGOTTI,PIPER",2 14 43 21 3,71-48,HOME,4,3,3,01:19,5,2,26,0,1,1,0,1,4
