,LINEUP (NAMES),NUMBERS,SCORE,LOCATION,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA, NAMBISAN,ISHA",4 10 22 23 33,69-43,AWAY,4,10,9,5:19,11,8,0,2,8,0,3,8,1
1,"BANEY,PAYTON, CHINTALA,ANISHA, OR,CATHERINE, TIMKO,NICOLE, NAMBISAN,ISHA",15 10 22 24 33,69-43,AWAY,4,4,5,02:06,4,6,-3,0,3,0,2,3,1
2,"BANEY,PAYTON, CHINTALA,ANISHA, OR,CATHERINE, TIMKO,NICOLE, GIBBS,SAVANNAH",15 10 22 24 4,69-43,AWAY,3,4,6,03:28,3,4,-1,0,5,2,3,4,1
3,"BANEY,PAYTON, NAMBISAN,ISHA, OR,CATHERINE, TIMKO,NICOLE, GIBBS,SAVANNAH",15 33 22 24 4,69-43,AWAY,3,1,1,00:31,0,0,0,0,1,2,1,1,2
4,"PEPER,ANYA, NAMBISAN,ISHA, OR,CATHERINE, TIMKO,NICOLE, GIBBS,SAVANNAH",14 33 22 24 4,69-43,AWAY,4,5,4,02:52,0,7,0,3,7,2,6,9,2
5,"PEPER,ANYA, ARIAS,AVA, OR,CATHERINE, TIMKO,NICOLE, GIBBS,SAVANNAH",14 23 22 24 4,69-43,AWAY,4,2,1,00:45,2,2,7,0,1,0,1,1,2
6,"BANEY,PAYTON, NAMBISAN,ISHA, DELMORE,KAYLA, TIMKO,NICOLE, GIBBS,SAVANNAH",15 33 21 24 4,69-43,AWAY,3,2,2,00:44,2,0,7,1,2,0,2,3,2
7,"BANEY,PAYTON, NAMBISAN,ISHA, DELMORE,KAYLA, OR,CATHERINE, GIBBS,SAVANNAH",15 33 21 22 4,69-43,AWAY,3,2,3,01:46,0,3,5,0,3,1,2,3,2
8,"BANEY,PAYTON, NAMBISAN,ISHA, HEYER,ALLIE, OR,CATHERINE, GIBBS,SAVANNAH",15 33 5 22 4,69-43,AWAY,3,2,2,01:31,0,3,8,0,0,4,2,2,2
9,"PEPER,ANYA, NAMBISAN,ISHA, HEYER,ALLIE, OR,CATHERINE, GIBBS,SAVANNAH",14 33 5 22 4,69-43,AWAY,4,2,1,00:53,2,3,11,1,2,0,1,3,2
10,"TIMKO,NICOLE, NAMBISAN,ISHA, BANEY,PAYTON, OR,CATHERINE, GIBBS,SAVANNAH",24 33 15 22 4,69-43,AWAY,3,0,1,00:05,0,0,12,1,1,0,0,0,2
11,"ARIAS,AVA, NAMBISAN,ISHA, CHINTALA,ANISHA, OR,CATHERINE, GIBBS,SAVANNAH",23 33 10 22 4,69-43,AWAY,4,0,1,00:10,0,0,12,0,0,0,0,0,3
12,"BANEY,PAYTON, NAMBISAN,ISHA, CHINTALA,ANISHA, OR,CATHERINE, GIBBS,SAVANNAH",15 33 10 22 4,69-43,AWAY,3,7,6,03:03,6,2,12,0,5,0,2,6,3
13,"TIMKO,NICOLE, NAMBISAN,ISHA, CHINTALA,ANISHA, OR,CATHERINE, GIBBS,SAVANNAH",24 33 10 22 4,69-43,AWAY,4,7,8,03:34,0,6,8,2,6,2,5,11,3
14,"TIMKO,NICOLE, BANEY,PAYTON, CHINTALA,ANISHA, OR,CATHERINE, HEYER,ALLIE",24 15 10 22 5,69-43,AWAY,4,7,7,03:13,0,10,14,4,8,0,5,7,3
15,"ARIAS,AVA, LIGOTTI,PIPER, CHINTALA,ANISHA, OR,CATHERINE, HEYER,ALLIE",23 3 10 22 5,69-43,AWAY,5,7,7,03:36,0,6,24,1,6,0,5,7,4
16,"ARIAS,AVA, LIGOTTI,PIPER, DELMORE,KAYLA, LAFOND,LIV, HEYER,ALLIE",23 3 21 43 5,69-43,AWAY,4,3,3,01:57,2,2,30,0,3,0,3,6,4
17,"KATZ,JUSTINE, LIGOTTI,PIPER, DELMORE,KAYLA, LAFOND,LIV, HEYER,ALLIE",2 3 21 43 5,69-43,AWAY,4,1,0,00:25,1,0,30,0,0,0,0,1,4
18,"KATZ,JUSTINE, LIGOTTI,PIPER, DELMORE,KAYLA, LAFOND,LIV, PEPER,ANYA",2 3 21 43 14,69-43,AWAY,4,6,7,03:37,8,7,29,2,7,2,3,9,4
19,"KATZ,JUSTINE, TIMKO,NICOLE, DELMORE,KAYLA, LAFOND,LIV, PEPER,ANYA",2 24 21 43 14,69-43,AWAY,4,1,0,00:25,2,0,28,0,0,0,0,0,4
