,LINEUP (NAMES),NUMBERS,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA",3 4 10 22 24,4,8,6,4:33,3,8,0,3,9,0,6,9,1
1,"BLACK,AVA, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, MATSKO,MEGAN",1 4 10 22 13,3,12,13,06:39,9,19,5,3,11,2,6,10,1
2,"BLACK,AVA, DELMORE,KAYLA, CHINTALA,ANISHA, ARIAS,AVA, MATSKO,MEGAN",1 21 10 24 13,4,4,4,01:56,3,2,15,3,4,0,3,6,2
3,"LIGOTTI,PIPER, DELMORE,KAYLA, LAFOND,LIV, ARIAS,AVA, MATSKO,MEGAN",3 21 34 24 13,5,1,2,00:50,0,3,14,0,0,4,1,1,2
4,"LIGOTTI,PIPER, DELMORE,KAYLA, LAFOND,LIV, GIBBS,SAVANNAH, MATSKO,MEGAN",3 21 34 4 13,4,3,3,01:19,2,2,17,0,1,0,0,1,2
5,"LIGOTTI,PIPER, BLACK,AVA, OR,CATHERINE, GIBBS,SAVANNAH, MATSKO,MEGAN",3 1 22 4 13,3,2,1,00:50,3,0,17,1,2,0,2,3,2
6,"LIGOTTI,PIPER, BLACK,AVA, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA",3 1 22 4 10,3,4,5,02:35,0,9,14,2,7,0,6,7,2
7,"HEYER,ALLIE, BLACK,AVA, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA",5 1 22 4 10,3,3,2,01:18,0,2,23,0,4,0,3,4,2
8,"ARIAS,AVA, LIGOTTI,PIPER, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA",24 3 22 4 10,4,6,6,03:43,7,6,25,0,6,2,4,7,3
9,"MATSKO,MEGAN, BLACK,AVA, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA",13 1 22 4 10,3,3,3,01:25,2,2,24,2,3,0,2,3,3
10,"MATSKO,MEGAN, BLACK,AVA, DELMORE,KAYLA, GIBBS,SAVANNAH, CHINTALA,ANISHA",13 1 21 4 10,3,4,4,02:21,6,2,24,1,3,0,3,4,3
11,"MATSKO,MEGAN, LAFOND,LIV, DELMORE,KAYLA, GIBBS,SAVANNAH, CHINTALA,ANISHA",13 34 21 4 10,4,1,1,00:10,2,0,20,0,0,0,0,0,3
12,"MATSKO,MEGAN, LAFOND,LIV, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA",13 34 22 4 10,4,0,1,00:30,0,1,18,0,1,2,1,1,3
13,"MATSKO,MEGAN, LAFOND,LIV, OR,CATHERINE, BLACK,AVA, CHINTALA,ANISHA",13 34 22 1 10,4,5,4,02:25,0,2,19,0,3,0,5,8,3
14,"MATSKO,MEGAN, GIBBS,SAVANNAH, OR,CATHERINE, BLACK,AVA, CHINTALA,ANISHA",13 4 22 1 10,3,3,3,01:35,2,4,21,0,3,0,2,3,4
15,"MATSKO,MEGAN, GIBBS,SAVANNAH, OR,CATHERINE, BLACK,AVA, HEYER,ALLIE",13 4 22 1 5,3,1,0,00:11,0,0,23,0,0,0,0,0,4
16,"NAMBISAN,ISHA, GIBBS,SAVANNAH, OR,CATHERINE, BLACK,AVA, HEYER,ALLIE",23 4 22 1 5,3,2,2,01:24,2,4,23,0,3,0,2,4,4
17,"NAMBISAN,ISHA, GIBBS,SAVANNAH, OR,CATHERINE, PROUTY,ANNA, HEYER,ALLIE",23 4 22 20 5,3,2,2,01:19,0,4,25,0,2,0,2,2,4
18,"NAMBISAN,ISHA, GIBBS,SAVANNAH, DELMORE,KAYLA, PROUTY,ANNA, HEYER,ALLIE",23 4 21 20 5,3,3,4,01:31,2,0,29,2,3,0,2,5,4
19,"NAMBISAN,ISHA, LAFOND,LIV, DELMORE,KAYLA, PROUTY,ANNA, HEYER,ALLIE",23 34 21 20 5,4,6,5,03:26,0,10,27,2,8,3,8,9,4
