,LINEUP (NAMES),NUMBERS,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA",3 4 10 22 24,4,5,5,4:26,1,5,0,2,5,2,7,13,1
1,"LIGOTTI,PIPER, PROUTY,ANNA, CHINTALA,ANISHA, DELMORE,KAYLA, LAFOND,LIV",3 20 10 21 34,4,5,5,02:05,6,4,4,1,2,2,3,4,1
2,"HEYER,ALLIE, PROUTY,ANNA, NAMBISAN,ISHA, DELMORE,KAYLA, LAFOND,LIV",5 20 23 21 34,4,6,6,03:29,5,2,2,1,5,0,4,7,1
3,"LIGOTTI,PIPER, GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA, ARIAS,AVA",3 4 22 10 24,4,6,7,03:08,0,10,-1,2,6,0,4,6,2
4,"HEYER,ALLIE, GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA, ARIAS,AVA",5 4 22 10 24,4,1,0,00:47,0,0,9,0,0,0,0,0,2
5,"HEYER,ALLIE, GIBBS,SAVANNAH, OR,CATHERINE, LIGOTTI,PIPER, ARIAS,AVA",5 4 22 3 24,4,2,3,01:22,0,7,9,1,4,0,3,4,2
6,"HEYER,ALLIE, GIBBS,SAVANNAH, DELMORE,KAYLA, LIGOTTI,PIPER, LAFOND,LIV",5 4 21 3 34,4,3,2,01:04,4,2,16,0,2,0,1,3,2
7,"HEYER,ALLIE, PROUTY,ANNA, DELMORE,KAYLA, LIGOTTI,PIPER, ARIAS,AVA",5 20 21 3 24,4,3,4,01:47,5,2,14,0,1,0,1,1,2
8,"GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, LIGOTTI,PIPER, ARIAS,AVA",4 10 22 3 24,4,6,4,02:33,4,4,11,0,2,0,3,4,2
9,"GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, LIGOTTI,PIPER, LAFOND,LIV",4 10 22 3 34,4,1,1,01:07,2,2,11,0,1,0,0,2,3
10,"GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, HEYER,ALLIE, LAFOND,LIV",4 10 22 5 34,4,0,1,00:22,0,2,11,0,1,0,0,0,3
