,LINEUP (NAMES),NUMBERS,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA",3 4 10 22 24,4,10,10,6:3,10,13,0,1,10,1,6,10,1
1,"LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, LAFOND,LIV",3 4 10 21 34,4,6,7,03:33,6,8,3,0,6,0,5,6,1
2,"BLACK,AVA, OR,CATHERINE, MATSKO,MEGAN, DELMORE,KAYLA, LAFOND,LIV",1 22 13 21 34,4,2,2,01:08,0,2,5,0,1,0,2,2,1
3,"BLACK,AVA, OR,CATHERINE, MATSKO,MEGAN, DELMORE,KAYLA, LAFOND,LIV",1 22 13 21 34,4,2,1,00:43,3,0,7,1,1,0,1,2,2
4,"GIBBS,SAVANNAH, OR,CATHERINE, MATSKO,MEGAN, CHINTALA,ANISHA, ARIAS,AVA",4 22 13 10 24,4,1,2,01:15,0,3,4,1,1,0,1,2,2
5,"GIBBS,SAVANNAH, OR,CATHERINE, LIGOTTI,PIPER, CHINTALA,ANISHA, ARIAS,AVA",4 22 3 10 24,4,1,1,00:46,0,0,7,1,2,0,2,3,2
6,"GIBBS,SAVANNAH, DELMORE,KAYLA, LIGOTTI,PIPER, CHINTALA,ANISHA, ARIAS,AVA",4 21 3 10 24,4,3,2,01:21,4,2,7,0,2,0,2,3,2
7,"GIBBS,SAVANNAH, DELMORE,KAYLA, LIGOTTI,PIPER, CHINTALA,ANISHA, MATSKO,MEGAN",4 21 3 10 13,4,1,1,01:03,3,0,5,0,1,0,1,1,2
8,"GIBBS,SAVANNAH, OR,CATHERINE, HEYER,ALLIE, CHINTALA,ANISHA, MATSKO,MEGAN",4 22 5 10 13,4,2,3,01:08,0,2,2,0,3,0,3,4,2
9,"BLACK,AVA, OR,CATHERINE, HEYER,ALLIE, CHINTALA,ANISHA, MATSKO,MEGAN",1 22 5 10 13,4,6,6,02:35,2,5,4,0,6,2,7,8,2
10,"LAFOND,LIV, OR,CATHERINE, HEYER,ALLIE, CHINTALA,ANISHA, MATSKO,MEGAN",34 22 5 10 13,5,5,6,03:20,5,4,7,0,5,0,3,9,2
11,"LAFOND,LIV, OR,CATHERINE, HEYER,ALLIE, CHINTALA,ANISHA, MATSKO,MEGAN",34 22 5 10 13,5,2,2,01:00,3,2,6,0,1,0,1,1,3
12,"LAFOND,LIV, DELMORE,KAYLA, HEYER,ALLIE, CHINTALA,ANISHA, MATSKO,MEGAN",34 21 5 10 13,5,1,1,00:31,0,0,5,0,1,0,0,1,3
13,"LAFOND,LIV, DELMORE,KAYLA, HEYER,ALLIE, OR,CATHERINE, MATSKO,MEGAN",34 21 5 22 13,5,2,1,00:44,2,2,5,0,1,0,1,1,3
14,"LAFOND,LIV, DELMORE,KAYLA, HEYER,ALLIE, OR,CATHERINE, MATSKO,MEGAN",34 21 5 22 13,5,1,1,00:53,2,3,5,1,1,0,0,0,3
15,"LAFOND,LIV, DELMORE,KAYLA, HEYER,ALLIE, OR,CATHERINE, MATSKO,MEGAN",34 21 5 22 13,5,5,5,02:49,4,7,6,1,3,2,1,2,3
16,"LAFOND,LIV, DELMORE,KAYLA, HEYER,ALLIE, OR,CATHERINE, MATSKO,MEGAN",34 21 5 22 13,5,2,2,01:30,2,4,9,0,3,0,2,3,3
17,"LAFOND,LIV, DELMORE,KAYLA, HEYER,ALLIE, OR,CATHERINE, MATSKO,MEGAN",34 21 5 22 13,5,1,2,00:29,3,0,11,0,1,0,0,1,4
18,"LAFOND,LIV, CHINTALA,ANISHA, LIGOTTI,PIPER, OR,CATHERINE, MATSKO,MEGAN",34 10 3 22 13,5,3,3,01:41,5,0,8,0,2,0,1,4,4
19,"LAFOND,LIV, CHINTALA,ANISHA, LIGOTTI,PIPER, DELMORE,KAYLA, MATSKO,MEGAN",34 10 3 21 13,5,9,9,04:44,11,6,3,1,6,6,5,12,4
20,"LAFOND,LIV, CHINTALA,ANISHA, HEYER,ALLIE, DELMORE,KAYLA, MATSKO,MEGAN",34 10 5 21 13,5,2,1,01:15,1,0,-2,0,1,0,0,1,4
21,"LAFOND,LIV, CHINTALA,ANISHA, OR,CATHERINE, DELMORE,KAYLA, MATSKO,MEGAN",34 10 22 21 13,5,3,3,01:00,5,2,-3,1,2,0,1,2,4
22,"LAFOND,LIV, HEYER,ALLIE, OR,CATHERINE, DELMORE,KAYLA, MATSKO,MEGAN",34 5 22 21 13,5,1,2,00:29,1,5,-6,3,4,0,3,3,4
