,LINEUP (NAMES),NUMBERS,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"GIBBS,SAVANNAH, CHINTALA,ANISHA, MATSKO,MEGAN, DELMORE,KAYLA, LAFOND,LIV",4 10 13 21 34,4,8,7,4:39,0,2,0,3,7,0,10,14,1
1,"GIBBS,SAVANNAH, CHINTALA,ANISHA, LIGOTTI,PIPER, NAMBISAN,ISHA, LAFOND,LIV",4 10 3 23 34,4,5,6,02:26,6,6,2,2,3,4,3,6,1
2,"BLACK,AVA, CHINTALA,ANISHA, LIGOTTI,PIPER, NAMBISAN,ISHA, ARIAS,AVA",1 10 3 23 24,4,-1,0,00:15,0,0,2,0,0,0,0,0,1
3,"BLACK,AVA, DELMORE,KAYLA, LIGOTTI,PIPER, NAMBISAN,ISHA, ARIAS,AVA",1 21 3 23 24,4,3,4,01:49,2,7,2,2,3,2,2,3,1
4,"BLACK,AVA, DELMORE,KAYLA, LIGOTTI,PIPER, HEYER,ALLIE, ARIAS,AVA",1 21 3 5 24,4,2,2,00:51,2,0,7,1,1,0,2,2,1
5,"GIBBS,SAVANNAH, DELMORE,KAYLA, MATSKO,MEGAN, HEYER,ALLIE, LAFOND,LIV",4 21 13 5 34,4,3,3,01:52,5,6,5,2,2,0,0,0,2
6,"GIBBS,SAVANNAH, DELMORE,KAYLA, MATSKO,MEGAN, NAMBISAN,ISHA, LAFOND,LIV",4 21 13 23 34,4,5,6,02:35,5,5,6,1,5,0,2,6,2
7,"GIBBS,SAVANNAH, CHINTALA,ANISHA, MATSKO,MEGAN, NAMBISAN,ISHA, LAFOND,LIV",4 10 13 23 34,4,1,1,00:31,0,0,6,0,0,0,0,0,2
8,"GIBBS,SAVANNAH, CHINTALA,ANISHA, HEYER,ALLIE, NAMBISAN,ISHA, ARIAS,AVA",4 10 5 23 24,4,6,6,02:49,9,4,6,1,8,0,4,7,2
9,"GIBBS,SAVANNAH, CHINTALA,ANISHA, HEYER,ALLIE, LIGOTTI,PIPER, ARIAS,AVA",4 10 5 3 24,4,4,3,02:13,3,4,1,2,5,0,4,6,2
10,"GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, MATSKO,MEGAN, LAFOND,LIV",4 10 21 13 34,4,4,5,03:16,10,8,2,4,6,0,1,4,3
11,"GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, BLACK,AVA, HEYER,ALLIE",4 10 21 1 5,3,1,0,00:15,2,0,0,0,0,0,0,0,3
12,"GIBBS,SAVANNAH, LIGOTTI,PIPER, DELMORE,KAYLA, BLACK,AVA, HEYER,ALLIE",4 3 21 1 5,3,7,8,03:09,7,13,-2,1,6,2,3,4,3
13,"GIBBS,SAVANNAH, LIGOTTI,PIPER, CHINTALA,ANISHA, BLACK,AVA, HEYER,ALLIE",4 3 10 1 5,3,2,1,01:05,4,0,4,1,2,0,1,3,3
14,"ARIAS,AVA, LIGOTTI,PIPER, CHINTALA,ANISHA, BLACK,AVA, HEYER,ALLIE",24 3 10 1 5,4,2,2,01:03,2,3,0,1,2,0,0,2,3
15,"ARIAS,AVA, LIGOTTI,PIPER, CHINTALA,ANISHA, GIBBS,SAVANNAH, HEYER,ALLIE",24 3 10 4 5,4,1,1,00:26,2,2,1,0,1,0,0,0,3
16,"ARIAS,AVA, LIGOTTI,PIPER, DELMORE,KAYLA, GIBBS,SAVANNAH, HEYER,ALLIE",24 3 21 4 5,4,6,6,03:12,6,4,1,4,8,0,5,11,3
17,"LAFOND,LIV, MATSKO,MEGAN, DELMORE,KAYLA, GIBBS,SAVANNAH, HEYER,ALLIE",34 13 21 4 5,4,3,3,01:10,8,2,-1,1,2,0,0,2,4
18,"LAFOND,LIV, CHINTALA,ANISHA, DELMORE,KAYLA, GIBBS,SAVANNAH, HEYER,ALLIE",34 10 21 4 5,4,0,0,00:20,0,0,-7,0,0,0,0,0,4
19,"BLACK,AVA, CHINTALA,ANISHA, DELMORE,KAYLA, GIBBS,SAVANNAH, HEYER,ALLIE",1 10 21 4 5,3,4,5,02:38,3,10,-7,2,4,0,3,6,4
20,"BLACK,AVA, LIGOTTI,PIPER, DELMORE,KAYLA, GIBBS,SAVANNAH, HEYER,ALLIE",1 3 21 4 5,3,3,2,01:29,0,2,0,1,2,0,3,4,4
21,"LAFOND,LIV, LIGOTTI,PIPER, DELMORE,KAYLA, GIBBS,SAVANNAH, HEYER,ALLIE",34 3 21 4 5,4,2,2,01:21,0,0,2,1,2,0,1,3,4
22,"BLACK,AVA, LIGOTTI,PIPER, DELMORE,KAYLA, GIBBS,SAVANNAH, HEYER,ALLIE",1 3 21 4 5,3,0,1,00:12,0,1,2,0,0,2,0,0,4
23,"LAFOND,LIV, LIGOTTI,PIPER, DELMORE,KAYLA, GIBBS,SAVANNAH, HEYER,ALLIE",34 3 21 4 5,4,1,1,00:14,0,2,3,0,0,2,0,0,4
24,"LAFOND,LIV, CHINTALA,ANISHA, DELMORE,KAYLA, GIBBS,SAVANNAH, HEYER,ALLIE",34 10 21 4 5,4,1,0,00:10,0,0,5,0,0,0,0,2,4
