,LINEUP (NAMES),NUMBERS,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"GIBBS,SAVANNAH, HEYER,ALLIE, DELMORE,KAYLA, OR,CATHERINE, LAFOND,LIV",4 5 21 22 34,4,6,6,3:21,8,5,0,2,5,0,3,6,1
1,"GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, OR,CATHERINE, LAFOND,LIV",4 10 21 22 34,4,4,4,01:33,5,0,-3,0,1,0,2,2,1
2,"GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA, OR,CATHERINE, ARIAS,AVA",4 10 23 22 24,4,4,3,01:58,1,2,-8,0,2,0,3,7,1
3,"GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA, LIGOTTI,PIPER, ARIAS,AVA",4 10 23 3 24,4,5,6,02:12,2,4,-7,0,3,0,2,3,1
4,"GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, LIGOTTI,PIPER, ARIAS,AVA",4 10 21 3 24,4,2,2,00:56,2,0,-5,0,2,0,1,4,1
5,"PROUTY,ANNA, CHINTALA,ANISHA, DELMORE,KAYLA, LIGOTTI,PIPER, ARIAS,AVA",20 10 21 3 24,4,3,3,01:21,5,0,-7,0,2,0,1,3,2
6,"PROUTY,ANNA, CHINTALA,ANISHA, OR,CATHERINE, LIGOTTI,PIPER, ARIAS,AVA",20 10 22 3 24,4,1,1,00:28,0,2,-12,0,1,0,0,0,2
7,"GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, HEYER,ALLIE, ARIAS,AVA",4 10 22 5 24,4,3,3,01:39,3,4,-10,1,3,0,1,3,2
8,"GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, HEYER,ALLIE, LAFOND,LIV",4 10 22 5 34,4,2,2,01:31,3,2,-9,2,4,0,4,4,2
9,"GIBBS,SAVANNAH, DELMORE,KAYLA, OR,CATHERINE, HEYER,ALLIE, LAFOND,LIV",4 21 22 5 34,4,1,2,00:53,0,2,-10,0,2,0,1,2,2
10,"GIBBS,SAVANNAH, DELMORE,KAYLA, CHINTALA,ANISHA, HEYER,ALLIE, LAFOND,LIV",4 21 10 5 34,4,3,2,00:56,2,0,-8,1,2,0,0,3,2
11,"GIBBS,SAVANNAH, DELMORE,KAYLA, CHINTALA,ANISHA, OR,CATHERINE, LAFOND,LIV",4 21 10 22 34,4,5,5,02:26,3,5,-10,3,4,0,2,4,2
12,"GIBBS,SAVANNAH, LIGOTTI,PIPER, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA",4 3 10 22 24,4,1,2,00:46,0,2,-8,0,1,0,1,1,2
13,"GIBBS,SAVANNAH, HEYER,ALLIE, DELMORE,KAYLA, OR,CATHERINE, LAFOND,LIV",4 5 21 22 34,4,7,6,03:47,6,6,-6,4,7,0,2,5,3
14,"GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, OR,CATHERINE, ARIAS,AVA",4 10 21 22 24,4,1,1,01:21,2,2,-6,1,4,0,3,3,3
15,"GIBBS,SAVANNAH, CHINTALA,ANISHA, LIGOTTI,PIPER, OR,CATHERINE, ARIAS,AVA",4 10 3 22 24,4,9,9,04:52,6,8,-6,1,7,1,4,8,3
16,"GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, OR,CATHERINE, ARIAS,AVA",4 10 21 22 24,4,2,2,01:23,2,3,-4,2,2,0,1,2,4
17,"PROUTY,ANNA, CHINTALA,ANISHA, DELMORE,KAYLA, OR,CATHERINE, ARIAS,AVA",20 10 21 22 24,4,1,1,00:52,0,0,-3,1,1,0,0,1,4
18,"HEYER,ALLIE, GIBBS,SAVANNAH, DELMORE,KAYLA, OR,CATHERINE, ARIAS,AVA",5 4 21 22 24,4,3,3,01:39,4,2,-3,1,2,0,1,2,4
19,"HEYER,ALLIE, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA",5 4 10 22 24,4,1,2,00:52,0,0,-5,0,2,0,1,2,4
20,"DELMORE,KAYLA, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA",21 4 10 22 24,4,2,1,01:01,2,0,-5,1,1,0,1,2,4
21,"DELMORE,KAYLA, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, LAFOND,LIV",21 4 10 22 34,4,3,4,01:39,2,4,-7,0,3,0,1,3,4
22,"DELMORE,KAYLA, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA",21 4 10 22 24,4,4,4,02:34,2,4,-5,3,5,0,4,7,4
