,LINEUP (NAMES),NUMBERS,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"GIBBS,SAVANNAH, HEYER,ALLIE, DELMORE,KAYLA, OR,CATHERINE, LAFOND,LIV",4 5 21 22 34,4,8,8,3:47,4,11,0,3,9,3,4,9,1
1,"GIBBS,SAVANNAH, HEYER,ALLIE, DELMORE,KAYLA, CHINTALA,ANISHA, ARIAS,AVA",4 5 21 10 24,4,2,2,01:13,3,0,7,0,0,0,1,2,1
2,"LIGOTTI,PIPER, HEYER,ALLIE, PROUTY,ANNA, CHINTALA,ANISHA, ARIAS,AVA",3 5 20 10 24,4,6,6,04:04,9,3,4,3,7,0,5,10,1
3,"LIGOTTI,PIPER, GIBBS,SAVANNAH, OR,CATHERINE, DELMORE,KAYLA, ARIAS,AVA",3 4 22 21 24,4,1,1,00:08,0,0,-2,0,0,0,1,1,1
4,"NAMBISAN,ISHA, GIBBS,SAVANNAH, OR,CATHERINE, DELMORE,KAYLA, ARIAS,AVA",23 4 22 21 24,4,2,1,00:48,0,0,-2,1,1,0,1,2,1
5,"NAMBISAN,ISHA, GIBBS,SAVANNAH, OR,CATHERINE, DELMORE,KAYLA, HEYER,ALLIE",23 4 22 21 5,4,5,5,02:30,2,4,-2,3,3,2,2,7,2
6,"NAMBISAN,ISHA, GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA, HEYER,ALLIE",23 4 22 10 5,4,4,5,02:18,3,9,0,2,6,1,2,5,2
7,"NAMBISAN,ISHA, GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA, DELMORE,KAYLA",23 4 22 10 21,4,1,1,00:26,2,0,6,0,0,0,1,1,2
8,"NAMBISAN,ISHA, PROUTY,ANNA, OR,CATHERINE, CHINTALA,ANISHA, DELMORE,KAYLA",23 20 22 10 21,4,8,7,04:46,6,7,4,4,10,1,6,11,2
9,"LAFOND,LIV, HEYER,ALLIE, OR,CATHERINE, GIBBS,SAVANNAH, DELMORE,KAYLA",34 5 22 4 21,4,5,5,02:55,5,4,5,2,5,0,1,6,3
10,"ARIAS,AVA, LIGOTTI,PIPER, OR,CATHERINE, GIBBS,SAVANNAH, CHINTALA,ANISHA",24 3 22 4 10,4,6,7,03:05,4,4,4,1,3,4,3,6,3
11,"ARIAS,AVA, LIGOTTI,PIPER, DELMORE,KAYLA, GIBBS,SAVANNAH, CHINTALA,ANISHA",24 3 21 4 10,4,1,1,00:26,2,0,4,0,0,0,0,0,3
12,"ARIAS,AVA, HEYER,ALLIE, DELMORE,KAYLA, GIBBS,SAVANNAH, CHINTALA,ANISHA",24 5 21 4 10,4,5,4,02:16,5,1,2,4,4,2,1,4,3
13,"ARIAS,AVA, HEYER,ALLIE, DELMORE,KAYLA, LAFOND,LIV, CHINTALA,ANISHA",24 5 21 34 10,5,6,6,03:26,2,6,-2,3,6,2,4,7,3
14,"ARIAS,AVA, HEYER,ALLIE, GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA",24 5 4 22 10,4,16,15,07:52,7,20,2,0,13,2,10,14,4
