,LINEUP (NAMES),NUMBERS,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA",3 4 10 22 24,4,7,7,3:60,4,6,0,2,7,0,6,9,1
1,"LIGOTTI,PIPER, PROUTY,ANNA, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA",3 20 10 22 24,4,4,3,01:51,2,2,2,1,2,0,2,2,1
2,"LIGOTTI,PIPER, PROUTY,ANNA, CHINTALA,ANISHA, OR,CATHERINE, GIBBS,SAVANNAH",3 20 10 22 4,3,2,2,00:53,2,5,2,1,2,0,1,1,1
3,"HEYER,ALLIE, LAFOND,LIV, CHINTALA,ANISHA, OR,CATHERINE, GIBBS,SAVANNAH",5 34 10 22 4,4,5,5,02:22,7,8,5,1,5,0,0,2,1
4,"HEYER,ALLIE, LAFOND,LIV, CHINTALA,ANISHA, DELMORE,KAYLA, GIBBS,SAVANNAH",5 34 10 21 4,4,2,3,01:37,2,2,6,1,3,0,3,4,1
5,"HEYER,ALLIE, ARIAS,AVA, OR,CATHERINE, DELMORE,KAYLA, GIBBS,SAVANNAH",5 24 22 21 4,4,3,3,01:36,0,2,6,1,2,0,2,4,2
6,"CHINTALA,ANISHA, ARIAS,AVA, OR,CATHERINE, PROUTY,ANNA, LIGOTTI,PIPER",10 24 22 20 3,4,2,2,00:56,2,0,8,0,0,0,0,1,2
7,"CHINTALA,ANISHA, GIBBS,SAVANNAH, OR,CATHERINE, PROUTY,ANNA, LIGOTTI,PIPER",10 4 22 20 3,3,2,2,01:01,3,2,6,1,2,0,1,2,2
8,"CHINTALA,ANISHA, GIBBS,SAVANNAH, OR,CATHERINE, ARIAS,AVA, LIGOTTI,PIPER",10 4 22 24 3,4,1,2,00:46,0,2,5,0,1,2,1,2,2
9,"HEYER,ALLIE, GIBBS,SAVANNAH, OR,CATHERINE, ARIAS,AVA, LIGOTTI,PIPER",5 4 22 24 3,4,1,1,00:36,0,2,7,0,1,1,1,2,2
10,"HEYER,ALLIE, GIBBS,SAVANNAH, OR,CATHERINE, ARIAS,AVA, CHINTALA,ANISHA",5 4 22 24 10,4,4,3,01:37,1,2,9,0,2,0,3,4,2
11,"LIGOTTI,PIPER, GIBBS,SAVANNAH, DELMORE,KAYLA, ARIAS,AVA, CHINTALA,ANISHA",3 4 21 24 10,4,1,1,00:40,0,0,10,1,1,0,1,2,2
12,"LIGOTTI,PIPER, GIBBS,SAVANNAH, OR,CATHERINE, ARIAS,AVA, CHINTALA,ANISHA",3 4 22 24 10,4,8,7,04:35,9,9,10,1,6,0,5,8,2
13,"LIGOTTI,PIPER, PROUTY,ANNA, OR,CATHERINE, ARIAS,AVA, CHINTALA,ANISHA",3 20 22 24 10,4,2,3,01:48,0,6,10,1,4,0,3,4,3
14,"DELMORE,KAYLA, PROUTY,ANNA, NAMBISAN,ISHA, ARIAS,AVA, CHINTALA,ANISHA",21 20 23 24 10,4,2,1,00:27,2,0,16,0,0,0,1,2,3
15,"DELMORE,KAYLA, GIBBS,SAVANNAH, NAMBISAN,ISHA, LAFOND,LIV, CHINTALA,ANISHA",21 4 23 34 10,4,0,1,00:08,0,0,14,0,0,0,0,0,3
16,"OR,CATHERINE, GIBBS,SAVANNAH, NAMBISAN,ISHA, LAFOND,LIV, CHINTALA,ANISHA",22 4 23 34 10,4,2,2,01:04,0,4,14,0,3,0,2,2,3
17,"OR,CATHERINE, PROUTY,ANNA, NAMBISAN,ISHA, ARIAS,AVA, CHINTALA,ANISHA",22 20 23 24 10,4,3,2,01:23,2,3,18,2,2,0,2,2,3
18,"OR,CATHERINE, PROUTY,ANNA, NAMBISAN,ISHA, ARIAS,AVA, HEYER,ALLIE",22 20 23 24 5,4,5,5,02:40,2,3,19,3,5,0,6,8,3
19,"OR,CATHERINE, GIBBS,SAVANNAH, DELMORE,KAYLA, ARIAS,AVA, HEYER,ALLIE",22 4 21 24 5,4,3,2,01:32,3,2,20,0,1,0,2,2,4
20,"OR,CATHERINE, GIBBS,SAVANNAH, DELMORE,KAYLA, LAFOND,LIV, CHINTALA,ANISHA",22 4 21 34 10,4,2,3,01:16,2,5,19,0,2,2,0,1,4
21,"LIGOTTI,PIPER, GIBBS,SAVANNAH, DELMORE,KAYLA, LAFOND,LIV, CHINTALA,ANISHA",3 4 21 34 10,4,1,0,00:07,3,0,22,0,0,0,0,0,4
22,"LIGOTTI,PIPER, ARIAS,AVA, DELMORE,KAYLA, LAFOND,LIV, CHINTALA,ANISHA",3 24 21 34 10,5,0,0,00:04,0,0,19,0,0,0,0,0,4
23,"LIGOTTI,PIPER, ARIAS,AVA, OR,CATHERINE, LAFOND,LIV, CHINTALA,ANISHA",3 24 22 34 10,5,1,1,00:42,0,2,19,0,1,0,1,1,4
24,"LIGOTTI,PIPER, ARIAS,AVA, OR,CATHERINE, PROUTY,ANNA, CHINTALA,ANISHA",3 24 22 20 10,4,4,5,02:53,4,5,21,1,7,0,5,9,4
25,"HEYER,ALLIE, ARIAS,AVA, OR,CATHERINE, PROUTY,ANNA, DELMORE,KAYLA",5 24 22 20 21,4,4,4,01:53,6,3,22,1,3,0,1,3,4
26,"GIBBS,SAVANNAH, ARIAS,AVA, OR,CATHERINE, NAMBISAN,ISHA, DELMORE,KAYLA",4 24 22 23 21,4,2,2,01:02,0,0,19,0,1,0,3,4,4
27,"PROUTY,ANNA, ARIAS,AVA, OR,CATHERINE, NAMBISAN,ISHA, DELMORE,KAYLA",20 24 22 23 21,4,1,0,00:31,0,0,19,0,0,0,1,2,4
