,LINEUP (NAMES),NUMBERS,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA",3 4 10 22 24,4,4,5,2:58,2,6,0,2,7,0,5,5,1
1,"LIGOTTI,PIPER, GIBBS,SAVANNAH, HEYER,ALLIE, OR,CATHERINE, ARIAS,AVA",3 4 5 22 24,4,1,1,00:44,0,0,4,0,1,0,1,2,1
2,"LIGOTTI,PIPER, GIBBS,SAVANNAH, HEYER,ALLIE, DELMORE,KAYLA, ARIAS,AVA",3 4 5 21 24,4,2,2,01:25,4,3,4,2,2,0,0,2,1
3,"BLACK,AVA, OR,CATHERINE, HEYER,ALLIE, DELMORE,KAYLA, ARIAS,AVA",1 22 5 21 24,4,1,1,00:13,0,2,3,0,0,2,1,1,1
4,"BLACK,AVA, OR,CATHERINE, HEYER,ALLIE, DELMORE,KAYLA, LAFOND,LIV",1 22 5 21 34,4,1,0,00:45,2,0,5,1,1,0,1,1,1
5,"BLACK,AVA, OR,CATHERINE, MATSKO,MEGAN, DELMORE,KAYLA, LAFOND,LIV",1 22 13 21 34,4,7,8,03:55,10,4,3,2,6,0,3,6,1
6,"GIBBS,SAVANNAH, OR,CATHERINE, HEYER,ALLIE, NAMBISAN,ISHA, ARIAS,AVA",4 22 5 23 24,4,4,3,02:10,1,3,-3,1,2,2,3,6,2
7,"GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA, NAMBISAN,ISHA, ARIAS,AVA",4 22 10 23 24,4,3,3,01:34,4,0,-1,1,2,0,0,2,2
8,"GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA, LIGOTTI,PIPER, ARIAS,AVA",4 22 10 3 24,4,3,3,01:10,2,0,-5,0,1,0,1,2,2
9,"GIBBS,SAVANNAH, OR,CATHERINE, DELMORE,KAYLA, HEYER,ALLIE, ARIAS,AVA",4 22 21 5 24,4,1,1,00:51,1,0,-7,0,0,0,0,1,2
10,"GIBBS,SAVANNAH, OR,CATHERINE, DELMORE,KAYLA, HEYER,ALLIE, MATSKO,MEGAN",4 22 21 5 13,4,2,2,01:30,5,2,-8,0,2,0,0,3,2
11,"GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, HEYER,ALLIE, MATSKO,MEGAN",4 10 21 5 13,4,5,6,02:45,13,4,-11,2,5,0,2,6,2
12,"GIBBS,SAVANNAH, CHINTALA,ANISHA, ARIAS,AVA, LIGOTTI,PIPER, OR,CATHERINE",4 10 24 3 22,4,2,3,01:05,0,0,-20,0,2,0,2,4,3
13,"PROUTY,ANNA, CHINTALA,ANISHA, ARIAS,AVA, LIGOTTI,PIPER, OR,CATHERINE",20 10 24 3 22,4,1,1,01:25,0,2,-20,2,4,0,3,4,3
14,"PROUTY,ANNA, CHINTALA,ANISHA, LAFOND,LIV, LIGOTTI,PIPER, OR,CATHERINE",20 10 34 3 22,4,1,0,00:08,0,0,-18,0,0,0,0,2,3
15,"PROUTY,ANNA, DELMORE,KAYLA, LAFOND,LIV, LIGOTTI,PIPER, OR,CATHERINE",20 21 34 3 22,4,4,4,02:55,4,2,-18,0,5,0,2,6,3
16,"GIBBS,SAVANNAH, DELMORE,KAYLA, HEYER,ALLIE, LIGOTTI,PIPER, OR,CATHERINE",4 21 5 3 22,4,5,5,03:12,5,7,-20,3,8,0,5,7,3
17,"GIBBS,SAVANNAH, DELMORE,KAYLA, HEYER,ALLIE, LIGOTTI,PIPER, CHINTALA,ANISHA",4 21 5 3 10,4,7,8,04:04,5,6,-18,4,9,0,6,11,3
18,"OR,CATHERINE, ARIAS,AVA, HEYER,ALLIE, LIGOTTI,PIPER, CHINTALA,ANISHA",22 24 5 3 10,5,2,2,01:23,0,2,-17,0,2,0,3,4,4
19,"OR,CATHERINE, ARIAS,AVA, DELMORE,KAYLA, GIBBS,SAVANNAH, CHINTALA,ANISHA",22 24 21 4 10,4,2,2,01:08,3,3,-15,0,2,1,1,2,4
20,"OR,CATHERINE, HEYER,ALLIE, DELMORE,KAYLA, GIBBS,SAVANNAH, LIGOTTI,PIPER",22 5 21 4 3,4,7,7,04:40,2,6,-15,3,8,0,4,8,4
