,LINEUP (NAMES),NUMBERS,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA",3 4 10 22 24,4,8,8,3:56,9,11,0,1,6,0,2,3,1
1,"LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, MATSKO,MEGAN",3 4 10 22 13,4,4,5,02:28,7,4,2,1,3,0,2,3,1
2,"ARIAS,AVA, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, MATSKO,MEGAN",24 4 10 22 13,4,3,2,01:23,0,0,-1,1,2,0,2,3,1
3,"ARIAS,AVA, BLACK,AVA, CHINTALA,ANISHA, OR,CATHERINE, MATSKO,MEGAN",24 1 10 22 13,4,4,4,02:13,5,0,-1,1,2,0,2,4,1
4,"ARIAS,AVA, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, MATSKO,MEGAN",24 4 10 22 13,4,4,4,02:13,2,6,-6,1,4,0,2,4,2
5,"ARIAS,AVA, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, LIGOTTI,PIPER",24 4 10 22 3,4,1,2,00:48,2,2,-2,0,0,2,0,2,2
6,"ARIAS,AVA, GIBBS,SAVANNAH, DELMORE,KAYLA, OR,CATHERINE, LIGOTTI,PIPER",24 4 21 22 3,4,3,2,01:21,0,2,-2,1,2,0,3,4,2
7,"ARIAS,AVA, GIBBS,SAVANNAH, DELMORE,KAYLA, CHINTALA,ANISHA, LIGOTTI,PIPER",24 4 21 10 3,4,2,3,01:23,0,3,0,2,2,0,1,3,2
8,"MATSKO,MEGAN, GIBBS,SAVANNAH, DELMORE,KAYLA, CHINTALA,ANISHA, LIGOTTI,PIPER",13 4 21 10 3,4,4,4,02:15,4,2,3,1,3,0,2,5,2
9,"MATSKO,MEGAN, BLACK,AVA, OR,CATHERINE, CHINTALA,ANISHA, LIGOTTI,PIPER",13 1 22 10 3,4,2,2,01:45,4,2,1,0,1,2,0,4,2
10,"MATSKO,MEGAN, GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA, LIGOTTI,PIPER",13 4 22 10 3,4,1,0,00:15,0,0,-1,0,0,0,1,1,2
11,"ARIAS,AVA, GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA, LIGOTTI,PIPER",24 4 22 10 3,4,17,16,07:42,13,8,-1,2,13,0,6,20,3
12,"ARIAS,AVA, GIBBS,SAVANNAH, OR,CATHERINE, HEYER,ALLIE, LIGOTTI,PIPER",24 4 22 5 3,4,1,2,00:36,0,2,-6,0,1,0,0,0,3
13,"ARIAS,AVA, BLACK,AVA, OR,CATHERINE, HEYER,ALLIE, LIGOTTI,PIPER",24 1 22 5 3,4,3,2,01:42,4,0,-4,0,1,0,1,6,3
14,"ARIAS,AVA, GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA, LIGOTTI,PIPER",24 4 22 10 3,4,3,4,02:09,6,6,-8,0,3,0,0,0,4
15,"MATSKO,MEGAN, GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA, LIGOTTI,PIPER",13 4 22 10 3,4,1,1,01:06,4,2,-8,0,1,0,0,2,4
16,"ARIAS,AVA, GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA, LIGOTTI,PIPER",24 4 22 10 3,4,1,0,00:19,2,0,-10,0,0,0,0,0,4
17,"DELMORE,KAYLA, GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA, LIGOTTI,PIPER",21 4 22 10 3,4,3,3,01:47,2,2,-12,1,2,2,2,4,4
18,"ARIAS,AVA, GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA, LIGOTTI,PIPER",24 4 22 10 3,4,2,3,01:38,2,2,-12,0,3,0,1,4,4
19,"DELMORE,KAYLA, GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA, HEYER,ALLIE",21 4 22 10 5,4,4,4,02:00,4,2,-12,2,4,0,2,5,4
20,"DELMORE,KAYLA, GIBBS,SAVANNAH, OR,CATHERINE, MATSKO,MEGAN, HEYER,ALLIE",21 4 22 13 5,4,1,1,01:01,2,2,-14,0,1,0,0,0,4
