,LINEUP (NAMES),NUMBERS,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"BLACK,AVA, LIGOTTI,PIPER, CHINTALA,ANISHA, DELMORE,KAYLA, ARIAS,AVA",1 3 10 21 24,4,8,8,4:13,10,8,0,2,5,2,4,5,1
1,"BLACK,AVA, HEYER,ALLIE, MATSKO,MEGAN, DELMORE,KAYLA, ARIAS,AVA",1 5 13 21 24,4,3,2,01:54,2,0,-2,2,2,0,2,4,1
2,"BLACK,AVA, HEYER,ALLIE, MATSKO,MEGAN, CHINTALA,ANISHA, ARIAS,AVA",1 5 13 10 24,4,2,2,01:15,5,4,-4,0,2,0,0,0,1
3,"PROUTY,ANNA, HEYER,ALLIE, DELMORE,KAYLA, CHINTALA,ANISHA, LAFOND,LIV",20 5 21 10 34,4,5,5,02:38,0,0,-5,2,6,0,6,10,1
4,"BLACK,AVA, HEYER,ALLIE, DELMORE,KAYLA, CHINTALA,ANISHA, LIGOTTI,PIPER",1 5 21 10 3,4,5,5,02:02,5,6,-5,1,3,2,1,3,2
5,"BLACK,AVA, HEYER,ALLIE, NAMBISAN,ISHA, CHINTALA,ANISHA, MATSKO,MEGAN",1 5 23 10 13,4,1,1,00:32,3,0,-4,0,0,0,0,1,2
6,"BLACK,AVA, HEYER,ALLIE, DELMORE,KAYLA, CHINTALA,ANISHA, MATSKO,MEGAN",1 5 21 10 13,4,3,3,01:32,2,4,-7,0,3,0,2,2,2
7,"LIGOTTI,PIPER, HEYER,ALLIE, DELMORE,KAYLA, CHINTALA,ANISHA, LAFOND,LIV",3 5 21 10 34,5,3,2,01:40,0,0,-5,2,2,0,4,5,2
8,"LIGOTTI,PIPER, HEYER,ALLIE, NAMBISAN,ISHA, CHINTALA,ANISHA, LAFOND,LIV",3 5 23 10 34,5,3,3,01:52,6,5,-5,1,2,0,0,0,2
9,"BLACK,AVA, HEYER,ALLIE, ARIAS,AVA, CHINTALA,ANISHA, JOSEPH,JAMIE",1 5 24 10 32,3,1,1,00:26,1,0,-6,0,0,0,0,0,2
10,"BLACK,AVA, HEYER,ALLIE, ARIAS,AVA, CHINTALA,ANISHA, NAMBISAN,ISHA",1 5 24 10 23,4,2,3,01:56,0,4,-7,0,2,2,2,3,2
11,"BLACK,AVA, LIGOTTI,PIPER, ARIAS,AVA, CHINTALA,ANISHA, DELMORE,KAYLA",1 3 24 10 21,4,5,5,03:08,9,9,-3,3,5,0,1,3,3
12,"HEYER,ALLIE, MATSKO,MEGAN, PROUTY,ANNA, CHINTALA,ANISHA, DELMORE,KAYLA",5 13 20 10 21,4,3,3,01:20,2,0,-3,0,2,0,0,3,3
13,"HEYER,ALLIE, MATSKO,MEGAN, PROUTY,ANNA, CHINTALA,ANISHA, NAMBISAN,ISHA",5 13 20 10 23,4,0,1,00:47,3,0,-5,0,1,0,0,4,3
14,"HEYER,ALLIE, ARIAS,AVA, PROUTY,ANNA, CHINTALA,ANISHA, NAMBISAN,ISHA",5 24 20 10 23,4,1,0,00:03,2,0,-8,0,0,0,0,0,3
15,"HEYER,ALLIE, ARIAS,AVA, BLACK,AVA, CHINTALA,ANISHA, DELMORE,KAYLA",5 24 1 10 21,4,2,2,00:59,2,0,-10,1,1,0,1,2,3
16,"HEYER,ALLIE, LIGOTTI,PIPER, BLACK,AVA, CHINTALA,ANISHA, DELMORE,KAYLA",5 3 1 10 21,4,2,3,01:14,2,0,-12,3,4,0,2,5,3
17,"HEYER,ALLIE, NAMBISAN,ISHA, BLACK,AVA, CHINTALA,ANISHA, DELMORE,KAYLA",5 23 1 10 21,4,1,0,00:33,2,0,-14,0,0,0,0,1,3
18,"HEYER,ALLIE, ARIAS,AVA, BLACK,AVA, CHINTALA,ANISHA, DELMORE,KAYLA",5 24 1 10 21,4,2,3,01:56,3,3,-16,2,4,0,3,4,3
19,"HEYER,ALLIE, ARIAS,AVA, PROUTY,ANNA, CHINTALA,ANISHA, DELMORE,KAYLA",5 24 20 10 21,4,1,2,00:54,0,0,-16,0,1,0,2,2,4
20,"HEYER,ALLIE, ARIAS,AVA, LIGOTTI,PIPER, CHINTALA,ANISHA, DELMORE,KAYLA",5 24 3 10 21,5,2,3,01:43,0,0,-16,0,5,0,3,6,4
21,"HEYER,ALLIE, ARIAS,AVA, LIGOTTI,PIPER, NAMBISAN,ISHA, DELMORE,KAYLA",5 24 3 23 21,5,6,5,02:58,5,0,-16,2,3,0,4,7,4
22,"HEYER,ALLIE, ARIAS,AVA, LIGOTTI,PIPER, CHINTALA,ANISHA, DELMORE,KAYLA",5 24 3 10 21,5,0,1,00:21,0,2,-21,0,0,2,0,0,4
23,"HEYER,ALLIE, MATSKO,MEGAN, BLACK,AVA, CHINTALA,ANISHA, DELMORE,KAYLA",5 13 1 10 21,4,8,8,04:04,6,12,-19,3,7,3,3,7,4
