,LINEUP (NAMES),NUMBERS,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, OR,CATHERINE, LAFOND,LIV",4 10 21 22 34,4,10,10,4:49,11,12,0,2,7,3,4,6,1
1,"GIBBS,SAVANNAH, CHINTALA,ANISHA, LIGOTTI,PIPER, OR,CATHERINE, LAFOND,LIV",4 10 3 22 34,4,1,-1,00:43,0,0,1,0,0,0,0,2,1
2,"GIBBS,SAVANNAH, HEYER,ALLIE, LIGOTTI,PIPER, OR,CATHERINE, LAFOND,LIV",4 5 3 22 34,4,2,3,01:08,3,5,1,1,2,0,0,0,1
3,"ARIAS,AVA, HEYER,ALLIE, LIGOTTI,PIPER, OR,CATHERINE, LAFOND,LIV",24 5 3 22 34,5,2,2,01:27,2,0,3,0,2,0,1,3,1
4,"ARIAS,AVA, HEYER,ALLIE, LIGOTTI,PIPER, GIBBS,SAVANNAH, DELMORE,KAYLA",24 5 3 4 21,4,3,3,01:17,1,4,1,0,2,2,1,2,1
5,"ARIAS,AVA, HEYER,ALLIE, OR,CATHERINE, GIBBS,SAVANNAH, DELMORE,KAYLA",24 5 22 4 21,4,3,2,02:02,2,4,4,0,2,0,0,2,1
6,"ARIAS,AVA, HEYER,ALLIE, OR,CATHERINE, GIBBS,SAVANNAH, MATSKO,MEGAN",24 5 22 4 13,4,0,1,00:33,1,0,6,1,1,0,0,2,2
7,"ARIAS,AVA, HEYER,ALLIE, OR,CATHERINE, PROUTY,ANNA, MATSKO,MEGAN",24 5 22 20 13,4,5,5,02:42,13,2,5,2,4,0,1,5,2
8,"ARIAS,AVA, HEYER,ALLIE, LAFOND,LIV, DELMORE,KAYLA, MATSKO,MEGAN",24 5 34 21 13,5,0,1,00:45,0,3,-6,2,3,0,2,2,2
9,"ARIAS,AVA, HEYER,ALLIE, LAFOND,LIV, DELMORE,KAYLA, OR,CATHERINE",24 5 34 21 22,5,8,8,04:34,12,9,-3,2,5,4,3,7,2
10,"CHINTALA,ANISHA, GIBBS,SAVANNAH, LAFOND,LIV, DELMORE,KAYLA, OR,CATHERINE",10 4 34 21 22,4,3,2,01:23,1,0,-6,1,2,0,2,5,3
11,"CHINTALA,ANISHA, ARIAS,AVA, LAFOND,LIV, DELMORE,KAYLA, OR,CATHERINE",10 24 34 21 22,5,2,3,01:01,0,5,-7,2,3,2,4,5,3
12,"CHINTALA,ANISHA, HEYER,ALLIE, LAFOND,LIV, DELMORE,KAYLA, OR,CATHERINE",10 5 34 21 22,5,4,4,01:50,4,3,-2,3,4,0,2,5,3
13,"CHINTALA,ANISHA, HEYER,ALLIE, ARIAS,AVA, DELMORE,KAYLA, OR,CATHERINE",10 5 24 21 22,5,4,3,02:04,4,3,-3,1,3,0,2,5,3
14,"LIGOTTI,PIPER, HEYER,ALLIE, ARIAS,AVA, DELMORE,KAYLA, LAFOND,LIV",3 5 24 21 34,5,2,2,01:20,0,0,-4,0,1,0,2,5,3
15,"LIGOTTI,PIPER, HEYER,ALLIE, OR,CATHERINE, DELMORE,KAYLA, LAFOND,LIV",3 5 22 21 34,5,1,2,01:06,0,3,-4,2,2,0,1,2,3
16,"LIGOTTI,PIPER, HEYER,ALLIE, OR,CATHERINE, CHINTALA,ANISHA, LAFOND,LIV",3 5 22 10 34,5,5,3,02:30,7,0,-1,1,4,0,2,6,3
17,"LIGOTTI,PIPER, HEYER,ALLIE, OR,CATHERINE, CHINTALA,ANISHA, GIBBS,SAVANNAH",3 5 22 10 4,4,3,3,01:34,2,1,-8,1,3,2,2,5,4
18,"LIGOTTI,PIPER, HEYER,ALLIE, OR,CATHERINE, DELMORE,KAYLA, GIBBS,SAVANNAH",3 5 22 21 4,4,4,4,02:20,6,4,-9,0,4,0,1,2,4
19,"LIGOTTI,PIPER, CHINTALA,ANISHA, OR,CATHERINE, DELMORE,KAYLA, GIBBS,SAVANNAH",3 10 22 21 4,4,3,4,01:59,2,6,-11,0,3,2,1,3,4
20,"LIGOTTI,PIPER, CHINTALA,ANISHA, HEYER,ALLIE, DELMORE,KAYLA, GIBBS,SAVANNAH",3 10 5 21 4,4,1,0,00:10,1,0,-7,0,0,0,0,0,4
21,"OR,CATHERINE, CHINTALA,ANISHA, HEYER,ALLIE, DELMORE,KAYLA, GIBBS,SAVANNAH",22 10 5 21 4,4,5,5,02:14,5,5,-8,1,4,2,1,3,4
22,"OR,CATHERINE, CHINTALA,ANISHA, HEYER,ALLIE, DELMORE,KAYLA, LAFOND,LIV",22 10 5 21 34,5,2,3,00:29,3,4,-8,0,1,2,1,1,4
