,LINEUP (NAMES),NUMBERS,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA",3 4 10 22 24,4,7,7,5:8,9,6,0,1,9,0,8,12,1
1,"MATSKO,MEGAN, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA",13 4 10 22 24,4,3,4,01:47,7,0,-3,0,1,0,0,1,1
2,"MATSKO,MEGAN, GIBBS,SAVANNAH, CHINTALA,ANISHA, HEYER,ALLIE, ARIAS,AVA",13 4 10 5 24,4,3,3,01:28,4,2,-10,1,2,0,1,3,1
3,"LIGOTTI,PIPER, BLACK,AVA, CHINTALA,ANISHA, HEYER,ALLIE, LAFOND,LIV",3 1 10 5 34,4,3,2,01:24,0,2,-12,0,1,0,0,0,1
4,"LIGOTTI,PIPER, GIBBS,SAVANNAH, OR,CATHERINE, HEYER,ALLIE, LAFOND,LIV",3 4 22 5 34,4,0,2,00:51,0,2,-10,1,2,0,0,1,1
5,"LIGOTTI,PIPER, GIBBS,SAVANNAH, OR,CATHERINE, HEYER,ALLIE, ARIAS,AVA",3 4 22 5 24,4,2,1,00:42,3,0,-8,1,1,0,1,2,2
6,"LIGOTTI,PIPER, GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA, ARIAS,AVA",3 4 22 10 24,4,2,3,01:09,0,2,-11,1,2,0,2,3,2
7,"NAMBISAN,ISHA, GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA, ARIAS,AVA",23 4 22 10 24,4,3,2,01:20,1,1,-9,0,0,2,1,1,2
8,"NAMBISAN,ISHA, GIBBS,SAVANNAH, LIGOTTI,PIPER, CHINTALA,ANISHA, ARIAS,AVA",23 4 3 10 24,4,0,0,00:09,0,0,-9,0,0,0,0,0,2
9,"OR,CATHERINE, GIBBS,SAVANNAH, LIGOTTI,PIPER, CHINTALA,ANISHA, ARIAS,AVA",22 4 3 10 24,4,4,4,02:16,2,4,-9,1,4,0,2,5,2
10,"OR,CATHERINE, BLACK,AVA, LIGOTTI,PIPER, CHINTALA,ANISHA, MATSKO,MEGAN",22 1 3 10 13,4,1,2,01:02,0,2,-7,1,2,0,1,3,2
11,"OR,CATHERINE, GIBBS,SAVANNAH, LIGOTTI,PIPER, CHINTALA,ANISHA, MATSKO,MEGAN",22 4 3 10 13,4,4,3,01:39,5,5,-5,2,3,0,0,1,2
12,"OR,CATHERINE, GIBBS,SAVANNAH, LIGOTTI,PIPER, CHINTALA,ANISHA, ARIAS,AVA",22 4 3 10 24,4,7,8,04:25,7,7,-5,1,5,0,2,5,2
13,"OR,CATHERINE, BLACK,AVA, LIGOTTI,PIPER, CHINTALA,ANISHA, ARIAS,AVA",22 1 3 10 24,4,2,1,00:43,2,0,-5,1,1,0,1,2,3
14,"HEYER,ALLIE, BLACK,AVA, LIGOTTI,PIPER, CHINTALA,ANISHA, ARIAS,AVA",5 1 3 10 24,4,1,1,01:03,2,0,-7,0,0,2,0,2,3
15,"HEYER,ALLIE, GIBBS,SAVANNAH, LIGOTTI,PIPER, OR,CATHERINE, ARIAS,AVA",5 4 3 22 24,4,6,7,04:08,3,7,-9,2,6,2,5,7,3
16,"HEYER,ALLIE, GIBBS,SAVANNAH, LIGOTTI,PIPER, CHINTALA,ANISHA, ARIAS,AVA",5 4 3 10 24,4,3,3,02:02,6,4,-5,0,2,0,1,1,3
17,"HEYER,ALLIE, GIBBS,SAVANNAH, LIGOTTI,PIPER, OR,CATHERINE, ARIAS,AVA",5 4 3 22 24,4,4,5,03:19,4,4,-7,0,7,0,3,7,4
18,"CHINTALA,ANISHA, GIBBS,SAVANNAH, LIGOTTI,PIPER, OR,CATHERINE, ARIAS,AVA",10 4 3 22 24,4,5,5,03:10,5,2,-7,2,5,0,1,6,4
19,"HEYER,ALLIE, GIBBS,SAVANNAH, LIGOTTI,PIPER, OR,CATHERINE, DELMORE,KAYLA",5 4 3 22 21,4,5,4,02:15,2,2,-10,2,4,0,2,5,4
