,LINEUP (NAMES),NUMBERS,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"JOSEPH,JAMIE, GLOWASKY,SAM, MATSKO,MEGAN, OR,CATHERINE, PRASAD,ANIKA",32 11 13 22 30,4,5,4,2:26,4,4,0,1,4,1,3,6,1
1,"ARIAS,AVA, LIGOTTI,PIPER, GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA",24 3 4 22 10,4,4,4,02:17,2,4,0,1,3,0,3,4,1
2,"ARIAS,AVA, HEYER,ALLIE, GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA",24 5 4 22 10,4,3,4,01:33,2,3,2,2,4,0,2,4,1
3,"ARIAS,AVA, HEYER,ALLIE, GIBBS,SAVANNAH, DELMORE,KAYLA, CHINTALA,ANISHA",24 5 4 21 10,4,1,1,00:20,2,0,3,0,0,0,0,0,1
4,"MATSKO,MEGAN, HEYER,ALLIE, GIBBS,SAVANNAH, DELMORE,KAYLA, CHINTALA,ANISHA",13 5 4 21 10,4,1,0,00:44,0,0,1,0,1,0,2,2,1
5,"MATSKO,MEGAN, HEYER,ALLIE, GIBBS,SAVANNAH, DELMORE,KAYLA, OR,CATHERINE",13 5 4 21 22,4,4,5,01:49,5,0,1,2,3,0,2,4,1
6,"ARIAS,AVA, HEYER,ALLIE, GIBBS,SAVANNAH, DELMORE,KAYLA, OR,CATHERINE",24 5 4 21 22,4,6,5,02:43,3,5,-4,1,3,0,3,6,1
7,"ARIAS,AVA, HEYER,ALLIE, GIBBS,SAVANNAH, LIGOTTI,PIPER, OR,CATHERINE",24 5 4 3 22,4,3,3,01:47,2,2,-2,1,3,0,2,4,2
8,"ARIAS,AVA, CHINTALA,ANISHA, BLACK,AVA, LIGOTTI,PIPER, OR,CATHERINE",24 10 1 3 22,4,5,4,03:09,5,6,-2,0,3,0,2,3,2
9,"ARIAS,AVA, CHINTALA,ANISHA, GIBBS,SAVANNAH, HEYER,ALLIE, DELMORE,KAYLA",24 10 4 5 21,4,0,2,00:55,0,0,-1,2,3,0,2,3,2
10,"OR,CATHERINE, CHINTALA,ANISHA, GIBBS,SAVANNAH, HEYER,ALLIE, DELMORE,KAYLA",22 10 4 5 21,4,2,1,00:56,0,0,-1,0,1,0,2,4,2
11,"OR,CATHERINE, ARIAS,AVA, GIBBS,SAVANNAH, HEYER,ALLIE, DELMORE,KAYLA",22 24 4 5 21,4,3,3,01:21,5,0,-1,0,1,0,1,2,2
12,"OR,CATHERINE, ARIAS,AVA, GIBBS,SAVANNAH, LIGOTTI,PIPER, CHINTALA,ANISHA",22 24 4 3 10,4,5,4,03:02,3,4,-6,0,5,2,4,8,3
13,"OR,CATHERINE, DELMORE,KAYLA, GIBBS,SAVANNAH, LIGOTTI,PIPER, HEYER,ALLIE",22 21 4 3 5,4,2,2,02:26,3,2,-5,0,1,0,0,3,3
14,"OR,CATHERINE, CHINTALA,ANISHA, GIBBS,SAVANNAH, LIGOTTI,PIPER, HEYER,ALLIE",22 10 4 3 5,4,5,5,03:10,7,6,-6,0,5,0,0,4,3
15,"OR,CATHERINE, CHINTALA,ANISHA, GIBBS,SAVANNAH, ARIAS,AVA, HEYER,ALLIE",22 10 4 24 5,4,3,3,01:48,8,2,-7,0,1,0,0,0,3
16,"OR,CATHERINE, CHINTALA,ANISHA, GIBBS,SAVANNAH, DELMORE,KAYLA, HEYER,ALLIE",22 10 4 21 5,4,2,2,01:39,2,5,-13,1,3,1,1,3,4
17,"OR,CATHERINE, LIGOTTI,PIPER, GIBBS,SAVANNAH, DELMORE,KAYLA, HEYER,ALLIE",22 3 4 21 5,4,1,0,00:46,2,1,-10,0,0,1,0,1,4
18,"CHINTALA,ANISHA, LIGOTTI,PIPER, GIBBS,SAVANNAH, DELMORE,KAYLA, HEYER,ALLIE",10 3 4 21 5,4,2,1,01:18,5,2,-11,1,2,1,1,2,4
19,"CHINTALA,ANISHA, OR,CATHERINE, LAFOND,LIV, DELMORE,KAYLA, HEYER,ALLIE",10 22 34 21 5,5,3,3,01:33,3,2,-14,1,6,0,5,7,4
20,"CHINTALA,ANISHA, OR,CATHERINE, GIBBS,SAVANNAH, DELMORE,KAYLA, HEYER,ALLIE",10 22 4 21 5,4,4,5,02:42,6,2,-15,0,7,0,2,7,4
21,"PRASAD,ANIKA, JOSEPH,JAMIE, GLOWASKY,SAM, DELMORE,KAYLA, MATSKO,MEGAN",30 32 11 21 13,4,3,3,01:36,3,4,-19,1,2,2,2,3,4
