,LINEUP (NAMES),NUMBERS,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, OR,CATHERINE, ARIAS,AVA",4 10 21 22 24,4,9,8,4:2,4,13,0,1,7,4,8,11,1
1,"GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, HEYER,ALLIE, ARIAS,AVA",4 10 21 5 24,4,2,2,01:02,0,2,9,0,3,0,1,2,1
2,"GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, HEYER,ALLIE, ARIAS,AVA",4 10 22 5 24,4,2,3,01:15,0,1,11,1,2,2,2,4,1
3,"GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, HEYER,ALLIE, LAFOND,LIV",4 10 22 5 34,4,2,1,00:48,2,3,12,1,1,0,1,1,1
4,"LIGOTTI,PIPER, PROUTY,ANNA, OR,CATHERINE, HEYER,ALLIE, LAFOND,LIV",3 20 22 5 34,4,3,3,01:00,2,0,13,0,1,0,3,3,1
5,"LIGOTTI,PIPER, PROUTY,ANNA, OR,CATHERINE, NAMBISAN,ISHA, LAFOND,LIV",3 20 22 23 34,4,1,2,00:46,0,2,11,0,2,0,0,1,1
6,"LIGOTTI,PIPER, PROUTY,ANNA, OR,CATHERINE, NAMBISAN,ISHA, ARIAS,AVA",3 20 22 23 24,4,1,0,00:14,0,0,13,0,0,0,0,0,1
7,"LIGOTTI,PIPER, PROUTY,ANNA, DELMORE,KAYLA, NAMBISAN,ISHA, ARIAS,AVA",3 20 21 23 24,4,2,2,00:53,2,2,13,0,1,2,2,4,1
8,"GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, OR,CATHERINE, ARIAS,AVA",4 10 21 22 24,4,2,2,00:49,0,4,13,0,1,2,1,1,2
9,"GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA, OR,CATHERINE, ARIAS,AVA",4 10 23 22 24,4,2,1,00:51,0,2,17,1,2,0,2,2,2
10,"GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA, OR,CATHERINE, PROUTY,ANNA",4 10 23 22 20,3,1,1,00:38,3,3,19,1,1,0,0,0,2
11,"GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA, DELMORE,KAYLA, PROUTY,ANNA",4 10 23 21 20,3,6,6,03:02,0,6,19,3,5,2,5,9,2
12,"GIBBS,SAVANNAH, LIGOTTI,PIPER, OR,CATHERINE, HEYER,ALLIE, PROUTY,ANNA",4 3 22 5 20,3,4,4,01:50,6,7,25,2,3,2,1,2,2
13,"GIBBS,SAVANNAH, LIGOTTI,PIPER, OR,CATHERINE, HEYER,ALLIE, ARIAS,AVA",4 3 22 5 24,4,3,4,01:07,0,2,26,0,3,0,3,5,2
14,"GIBBS,SAVANNAH, LIGOTTI,PIPER, DELMORE,KAYLA, HEYER,ALLIE, ARIAS,AVA",4 3 21 5 24,4,3,2,01:06,0,2,28,1,3,0,3,5,2
15,"GIBBS,SAVANNAH, LIGOTTI,PIPER, DELMORE,KAYLA, CHINTALA,ANISHA, ARIAS,AVA",4 3 21 10 24,4,1,2,00:37,0,2,30,0,2,0,1,2,2
16,"GIBBS,SAVANNAH, OR,CATHERINE, DELMORE,KAYLA, CHINTALA,ANISHA, ARIAS,AVA",4 22 21 10 24,4,6,7,02:58,6,9,32,2,5,0,3,7,3
17,"GIBBS,SAVANNAH, HEYER,ALLIE, DELMORE,KAYLA, CHINTALA,ANISHA, ARIAS,AVA",4 5 21 10 24,4,3,3,01:06,6,2,35,0,2,2,1,3,3
18,"GIBBS,SAVANNAH, HEYER,ALLIE, DELMORE,KAYLA, CHINTALA,ANISHA, PROUTY,ANNA",4 5 21 10 20,3,9,8,03:11,13,14,31,2,4,8,2,3,3
19,"GIBBS,SAVANNAH, LIGOTTI,PIPER, DELMORE,KAYLA, CHINTALA,ANISHA, PROUTY,ANNA",4 3 21 10 20,3,2,2,01:03,4,1,32,0,0,2,0,1,3
20,"OR,CATHERINE, LIGOTTI,PIPER, DELMORE,KAYLA, CHINTALA,ANISHA, PROUTY,ANNA",22 3 21 10 20,4,3,2,01:03,0,4,29,0,2,0,0,0,3
21,"OR,CATHERINE, LIGOTTI,PIPER, DELMORE,KAYLA, NAMBISAN,ISHA, PROUTY,ANNA",22 3 21 23 20,4,2,3,01:22,2,0,33,2,3,0,1,4,3
22,"OR,CATHERINE, LIGOTTI,PIPER, DELMORE,KAYLA, NAMBISAN,ISHA, GIBBS,SAVANNAH",22 3 21 23 4,4,2,3,01:36,2,4,31,2,3,2,3,5,4
23,"OR,CATHERINE, LIGOTTI,PIPER, CHINTALA,ANISHA, NAMBISAN,ISHA, GIBBS,SAVANNAH",22 3 10 23 4,4,4,3,01:23,2,2,33,1,2,0,2,3,4
24,"ARIAS,AVA, LIGOTTI,PIPER, CHINTALA,ANISHA, NAMBISAN,ISHA, PROUTY,ANNA",24 3 10 23 20,4,5,6,02:21,6,8,33,1,6,0,2,5,4
25,"LAFOND,LIV, LIGOTTI,PIPER, CHINTALA,ANISHA, NAMBISAN,ISHA, PROUTY,ANNA",34 3 10 23 20,4,3,2,01:07,2,4,35,0,2,0,2,2,4
26,"LAFOND,LIV, LIGOTTI,PIPER, CHINTALA,ANISHA, GLOWASKY,SAM, PROUTY,ANNA",34 3 10 11 20,4,1,2,00:39,2,0,37,0,0,2,0,0,4
27,"LAFOND,LIV, LIGOTTI,PIPER, CHINTALA,ANISHA, GLOWASKY,SAM, JOSEPH,JAMIE",34 3 10 11 32,4,7,6,02:11,10,4,35,2,4,4,4,7,4
