,LINEUP (NAMES),NUMBERS,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, ARIAS,AVA",3 4 10 21 24,4,7,6,3:7,8,2,0,0,5,0,2,7,1
1,"LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, MATSKO,MEGAN",3 4 10 21 13,4,5,5,02:21,2,5,-6,3,6,0,4,7,1
2,"HEYER,ALLIE, GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, MATSKO,MEGAN",5 4 10 21 13,4,0,0,00:01,0,0,-3,0,0,0,0,0,1
3,"HEYER,ALLIE, GIBBS,SAVANNAH, NAMBISAN,ISHA, DELMORE,KAYLA, MATSKO,MEGAN",5 4 23 21 13,4,2,2,01:28,0,3,-3,1,3,0,3,4,1
4,"HEYER,ALLIE, GIBBS,SAVANNAH, NAMBISAN,ISHA, CHINTALA,ANISHA, MATSKO,MEGAN",5 4 23 10 13,4,4,3,00:56,0,2,0,4,5,0,5,7,1
5,"HEYER,ALLIE, GIBBS,SAVANNAH, DELMORE,KAYLA, CHINTALA,ANISHA, MATSKO,MEGAN",5 4 21 10 13,4,3,3,01:29,3,3,2,2,4,2,3,5,1
6,"HEYER,ALLIE, PROUTY,ANNA, DELMORE,KAYLA, CHINTALA,ANISHA, MATSKO,MEGAN",5 20 21 10 13,4,4,4,02:56,8,3,2,1,2,0,1,3,1
7,"HEYER,ALLIE, ARIAS,AVA, DELMORE,KAYLA, CHINTALA,ANISHA, GIBBS,SAVANNAH",5 24 21 10 4,4,3,3,01:28,4,2,-3,1,3,0,1,3,2
8,"LIGOTTI,PIPER, ARIAS,AVA, DELMORE,KAYLA, CHINTALA,ANISHA, GIBBS,SAVANNAH",3 24 21 10 4,4,1,1,00:38,0,0,-5,1,1,0,1,2,2
9,"LIGOTTI,PIPER, LAFOND,LIV, DELMORE,KAYLA, CHINTALA,ANISHA, GIBBS,SAVANNAH",3 34 21 10 4,4,2,4,01:31,0,0,-5,1,3,0,1,4,2
10,"LIGOTTI,PIPER, LAFOND,LIV, DELMORE,KAYLA, NAMBISAN,ISHA, GIBBS,SAVANNAH",3 34 21 23 4,4,1,0,00:12,0,0,-5,0,0,0,0,0,2
11,"LIGOTTI,PIPER, LAFOND,LIV, CHINTALA,ANISHA, NAMBISAN,ISHA, GIBBS,SAVANNAH",3 34 10 23 4,4,6,9,03:05,4,9,-5,2,9,1,5,12,2
12,"MATSKO,MEGAN, LAFOND,LIV, CHINTALA,ANISHA, NAMBISAN,ISHA, GIBBS,SAVANNAH",13 34 10 23 4,4,1,1,00:49,0,0,0,0,1,0,0,1,2
13,"MATSKO,MEGAN, DELMORE,KAYLA, CHINTALA,ANISHA, NAMBISAN,ISHA, GIBBS,SAVANNAH",13 21 10 23 4,4,8,9,04:07,2,10,0,2,6,6,6,11,3
14,"MATSKO,MEGAN, DELMORE,KAYLA, CHINTALA,ANISHA, LIGOTTI,PIPER, GIBBS,SAVANNAH",13 21 10 3 4,4,3,2,01:43,0,3,8,0,1,3,2,3,3
15,"MATSKO,MEGAN, HEYER,ALLIE, CHINTALA,ANISHA, LIGOTTI,PIPER, GIBBS,SAVANNAH",13 5 10 3 4,4,1,1,00:16,2,2,11,0,1,0,0,0,3
16,"MATSKO,MEGAN, HEYER,ALLIE, CHINTALA,ANISHA, LIGOTTI,PIPER, LAFOND,LIV",13 5 10 3 34,5,2,3,01:38,3,0,11,3,4,0,3,5,3
17,"MATSKO,MEGAN, HEYER,ALLIE, CHINTALA,ANISHA, DELMORE,KAYLA, LAFOND,LIV",13 5 10 21 34,5,1,3,00:42,1,2,8,0,2,0,0,1,3
18,"ARIAS,AVA, HEYER,ALLIE, CHINTALA,ANISHA, DELMORE,KAYLA, GIBBS,SAVANNAH",24 5 10 21 4,4,2,2,00:50,2,0,9,1,1,0,1,2,3
19,"MATSKO,MEGAN, HEYER,ALLIE, CHINTALA,ANISHA, DELMORE,KAYLA, GIBBS,SAVANNAH",13 5 10 21 4,4,1,1,00:43,0,0,7,1,2,0,2,4,3
20,"MATSKO,MEGAN, NAMBISAN,ISHA, CHINTALA,ANISHA, DELMORE,KAYLA, GIBBS,SAVANNAH",13 23 10 21 4,4,3,4,02:23,6,3,7,1,4,1,1,5,4
21,"MATSKO,MEGAN, LIGOTTI,PIPER, CHINTALA,ANISHA, DELMORE,KAYLA, GIBBS,SAVANNAH",13 3 10 21 4,4,1,0,00:11,0,0,4,0,1,0,2,2,4
22,"HEYER,ALLIE, LIGOTTI,PIPER, CHINTALA,ANISHA, DELMORE,KAYLA, GIBBS,SAVANNAH",5 3 10 21 4,4,3,3,02:11,5,5,4,1,3,0,0,2,4
23,"HEYER,ALLIE, MATSKO,MEGAN, CHINTALA,ANISHA, DELMORE,KAYLA, GIBBS,SAVANNAH",5 13 10 21 4,4,12,13,05:15,8,16,4,0,8,8,6,8,4
