,LINEUP (NAMES),NUMBERS,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA",3 4 10 22 24,4,6,5,3:38,10,0,0,2,5,0,1,7,1
1,"LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, ARIAS,AVA",3 4 10 21 24,4,2,2,00:43,3,0,-10,0,2,0,0,2,1
2,"LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA",3 4 10 22 24,4,4,4,02:31,7,7,-13,1,4,0,1,4,1
3,"HEYER,ALLIE, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA",5 4 10 22 24,4,0,0,00:21,0,0,-13,0,0,0,0,0,1
4,"HEYER,ALLIE, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, LAFOND,LIV",5 4 10 22 34,4,8,9,04:49,7,8,-13,5,6,2,4,9,1
5,"LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, LAFOND,LIV",3 4 10 22 34,4,1,0,00:34,0,0,-12,1,1,0,2,2,2
6,"LIGOTTI,PIPER, PROUTY,ANNA, CHINTALA,ANISHA, OR,CATHERINE, LAFOND,LIV",3 20 10 22 34,4,1,1,00:20,0,0,-12,1,1,0,0,1,2
7,"LIGOTTI,PIPER, PROUTY,ANNA, CHINTALA,ANISHA, DELMORE,KAYLA, LAFOND,LIV",3 20 10 21 34,4,4,5,02:18,9,5,-12,2,4,1,1,4,2
8,"GIBBS,SAVANNAH, HEYER,ALLIE, CHINTALA,ANISHA, OR,CATHERINE, LAFOND,LIV",4 5 10 22 34,4,1,1,00:39,3,0,-16,0,2,0,1,1,2
9,"GIBBS,SAVANNAH, HEYER,ALLIE, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA",4 5 10 22 24,4,1,1,00:50,2,2,-19,0,0,2,0,1,2
10,"GIBBS,SAVANNAH, HEYER,ALLIE, CHINTALA,ANISHA, LIGOTTI,PIPER, ARIAS,AVA",4 5 10 3 24,4,8,7,03:17,6,5,-19,1,6,0,4,6,2
11,"GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA, LIGOTTI,PIPER, ARIAS,AVA",4 22 10 3 24,4,5,6,02:51,4,4,-20,0,5,0,3,6,3
12,"PROUTY,ANNA, OR,CATHERINE, CHINTALA,ANISHA, LIGOTTI,PIPER, ARIAS,AVA",20 22 10 3 24,4,2,2,00:53,3,3,-20,0,1,2,0,0,3
13,"PROUTY,ANNA, OR,CATHERINE, CHINTALA,ANISHA, LIGOTTI,PIPER, HEYER,ALLIE",20 22 10 3 5,4,3,2,01:32,2,2,-20,2,5,0,2,5,3
14,"PROUTY,ANNA, OR,CATHERINE, CHINTALA,ANISHA, DELMORE,KAYLA, HEYER,ALLIE",20 22 10 21 5,4,6,6,02:55,11,6,-20,2,3,4,0,2,3
15,"PROUTY,ANNA, ARIAS,AVA, CHINTALA,ANISHA, DELMORE,KAYLA, HEYER,ALLIE",20 24 10 21 5,4,3,2,01:22,4,3,-25,2,2,0,1,4,3
16,"PROUTY,ANNA, ARIAS,AVA, CHINTALA,ANISHA, LIGOTTI,PIPER, HEYER,ALLIE",20 24 10 3 5,4,3,3,01:17,0,2,-26,0,0,2,1,2,3
17,"OR,CATHERINE, ARIAS,AVA, GIBBS,SAVANNAH, LIGOTTI,PIPER, HEYER,ALLIE",22 24 4 3 5,4,3,2,01:45,3,5,-24,1,2,0,1,2,4
18,"OR,CATHERINE, CHINTALA,ANISHA, GIBBS,SAVANNAH, LIGOTTI,PIPER, HEYER,ALLIE",22 10 4 3 5,4,6,6,03:00,5,3,-22,4,7,0,2,7,4
19,"OR,CATHERINE, ARIAS,AVA, GIBBS,SAVANNAH, LIGOTTI,PIPER, HEYER,ALLIE",22 24 4 3 5,4,0,1,00:29,0,1,-24,0,0,2,0,0,4
20,"NAMBISAN,ISHA, ARIAS,AVA, GIBBS,SAVANNAH, CHINTALA,ANISHA, HEYER,ALLIE",23 24 4 10 5,4,2,1,00:59,0,2,-23,2,4,0,3,5,4
21,"NAMBISAN,ISHA, ARIAS,AVA, PROUTY,ANNA, CHINTALA,ANISHA, HEYER,ALLIE",23 24 20 10 5,4,1,2,00:51,3,3,-21,1,1,0,1,1,4
22,"NAMBISAN,ISHA, ARIAS,AVA, PROUTY,ANNA, GLOWASKY,SAM, HEYER,ALLIE",23 24 20 11 5,4,5,5,02:06,8,0,-21,2,2,0,0,2,4
