,LINEUP (NAMES),NUMBERS,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA",3 4 10 22 24,4,8,7,3:41,7,5,0,1,5,0,3,8,1
1,"LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, LAFOND,LIV",3 4 10 22 34,4,4,4,01:46,5,0,-2,1,2,0,0,4,1
2,"LIGOTTI,PIPER, GIBBS,SAVANNAH, HEYER,ALLIE, OR,CATHERINE, LAFOND,LIV",3 4 5 22 34,4,0,1,00:22,0,0,-7,0,0,0,0,0,1
3,"LIGOTTI,PIPER, GIBBS,SAVANNAH, HEYER,ALLIE, OR,CATHERINE, MATSKO,MEGAN",3 4 5 22 13,4,2,1,01:03,2,0,-7,0,1,0,0,1,1
4,"DELMORE,KAYLA, GIBBS,SAVANNAH, HEYER,ALLIE, OR,CATHERINE, MATSKO,MEGAN",21 4 5 22 13,4,1,1,00:34,2,0,-9,0,1,0,0,2,1
5,"DELMORE,KAYLA, BLACK,AVA, HEYER,ALLIE, CHINTALA,ANISHA, MATSKO,MEGAN",21 1 5 10 13,4,1,2,01:05,0,0,-11,1,1,0,1,2,1
6,"DELMORE,KAYLA, BLACK,AVA, HEYER,ALLIE, OR,CATHERINE, MATSKO,MEGAN",21 1 5 22 13,4,3,2,01:29,5,0,-11,2,2,0,0,3,1
7,"CHINTALA,ANISHA, LIGOTTI,PIPER, GIBBS,SAVANNAH, OR,CATHERINE, ARIAS,AVA",10 3 4 22 24,4,0,0,00:00,0,0,-16,0,0,0,0,0,1
8,"HEYER,ALLIE, LIGOTTI,PIPER, GIBBS,SAVANNAH, OR,CATHERINE, ARIAS,AVA",5 3 4 22 24,4,1,2,00:53,0,2,-16,2,6,2,6,7,2
9,"HEYER,ALLIE, LIGOTTI,PIPER, BLACK,AVA, OR,CATHERINE, ARIAS,AVA",5 3 1 22 24,4,2,3,01:34,3,2,-14,1,2,2,2,3,2
