,LINEUP (NAMES),NUMBERS,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"GIBBS,SAVANNAH, CHINTALA,ANISHA, MATSKO,MEGAN, OR,CATHERINE, LAFOND,LIV",4 10 13 22 34,4,10,10,6:25,9,10,0,4,11,0,9,11,1
1,"GIBBS,SAVANNAH, CHINTALA,ANISHA, HEYER,ALLIE, NAMBISAN,ISHA, LAFOND,LIV",4 10 5 23 34,4,3,4,02:13,0,7,1,1,3,0,2,2,1
2,"GIBBS,SAVANNAH, CHINTALA,ANISHA, HEYER,ALLIE, NAMBISAN,ISHA, ARIAS,AVA",4 10 5 23 24,4,3,3,01:20,3,2,8,2,3,0,3,4,1
3,"PROUTY,ANNA, CHINTALA,ANISHA, HEYER,ALLIE, NAMBISAN,ISHA, ARIAS,AVA",20 10 5 23 24,4,0,0,00:02,0,0,7,0,0,0,0,0,1
4,"PROUTY,ANNA, OR,CATHERINE, HEYER,ALLIE, NAMBISAN,ISHA, ARIAS,AVA",20 22 5 23 24,4,1,1,00:35,0,0,7,1,1,0,1,2,2
5,"PROUTY,ANNA, OR,CATHERINE, HEYER,ALLIE, LIGOTTI,PIPER, ARIAS,AVA",20 22 5 3 24,4,4,4,01:45,2,0,7,0,4,0,2,5,2
6,"PROUTY,ANNA, OR,CATHERINE, MATSKO,MEGAN, LIGOTTI,PIPER, ARIAS,AVA",20 22 13 3 24,4,2,1,00:59,2,2,5,0,1,0,0,0,2
7,"PROUTY,ANNA, OR,CATHERINE, MATSKO,MEGAN, LIGOTTI,PIPER, LAFOND,LIV",20 22 13 3 34,4,4,4,01:51,2,3,5,3,6,0,4,7,2
8,"PROUTY,ANNA, CHINTALA,ANISHA, MATSKO,MEGAN, LIGOTTI,PIPER, LAFOND,LIV",20 10 13 3 34,4,3,3,01:33,2,3,6,0,1,2,0,2,2
9,"OR,CATHERINE, CHINTALA,ANISHA, HEYER,ALLIE, GIBBS,SAVANNAH, LAFOND,LIV",22 10 5 4 34,4,5,6,03:17,0,10,7,0,6,3,5,6,2
10,"OR,CATHERINE, CHINTALA,ANISHA, MATSKO,MEGAN, GIBBS,SAVANNAH, LAFOND,LIV",22 10 13 4 34,4,5,6,03:24,4,6,17,1,4,2,4,5,3
11,"HEYER,ALLIE, CHINTALA,ANISHA, MATSKO,MEGAN, GIBBS,SAVANNAH, LAFOND,LIV",5 10 13 4 34,4,3,3,01:34,5,8,19,2,3,0,1,1,3
12,"HEYER,ALLIE, CHINTALA,ANISHA, MATSKO,MEGAN, PROUTY,ANNA, LAFOND,LIV",5 10 13 20 34,4,1,0,00:21,0,0,22,0,0,0,1,1,3
13,"HEYER,ALLIE, CHINTALA,ANISHA, MATSKO,MEGAN, PROUTY,ANNA, ARIAS,AVA",5 10 13 20 24,4,3,3,01:14,2,2,22,1,3,0,1,3,3
14,"HEYER,ALLIE, DELMORE,KAYLA, MATSKO,MEGAN, PROUTY,ANNA, ARIAS,AVA",5 21 13 20 24,4,1,0,00:46,0,0,22,0,0,0,1,2,3
15,"HEYER,ALLIE, DELMORE,KAYLA, LIGOTTI,PIPER, PROUTY,ANNA, ARIAS,AVA",5 21 3 20 24,4,1,2,00:57,2,3,22,1,1,0,0,0,3
16,"HEYER,ALLIE, DELMORE,KAYLA, LIGOTTI,PIPER, PROUTY,ANNA, GIBBS,SAVANNAH",5 21 3 20 4,3,6,7,03:37,2,8,23,4,7,2,6,8,3
17,"OR,CATHERINE, DELMORE,KAYLA, LIGOTTI,PIPER, PROUTY,ANNA, GIBBS,SAVANNAH",22 21 3 20 4,3,2,1,01:14,0,2,29,0,1,0,2,2,4
18,"OR,CATHERINE, DELMORE,KAYLA, HEYER,ALLIE, PROUTY,ANNA, GIBBS,SAVANNAH",22 21 5 20 4,3,1,2,00:37,2,4,31,0,2,0,0,0,4
19,"OR,CATHERINE, DELMORE,KAYLA, HEYER,ALLIE, ARIAS,AVA, CARLIN,BETHANY",22 21 5 24 02,4,3,3,01:17,0,4,33,0,2,2,4,4,4
20,"LIGOTTI,PIPER, DELMORE,KAYLA, HEYER,ALLIE, ARIAS,AVA, CARLIN,BETHANY",3 21 5 24 02,4,4,4,02:17,5,9,37,1,5,0,3,4,4
21,"LIGOTTI,PIPER, DELMORE,KAYLA, HEYER,ALLIE, PROUTY,ANNA, CARLIN,BETHANY",3 21 5 20 02,3,5,4,02:42,9,0,41,1,4,0,2,5,4
