,LINEUP (NAMES),NUMBERS,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, ARIAS,AVA",3 4 10 21 24,4,17,17,8:18,6,22,0,5,17,1,11,17,1
1,"HEYER,ALLIE, MATSKO,MEGAN, JOSEPH,JAMIE, DELMORE,KAYLA, ARIAS,AVA",5 13 32 21 24,4,2,2,00:53,0,2,16,0,3,0,2,3,1
2,"HEYER,ALLIE, MATSKO,MEGAN, JOSEPH,JAMIE, CHINTALA,ANISHA, LAFOND,LIV",5 13 32 10 34,4,3,5,02:06,2,3,18,1,2,0,1,2,1
3,"HEYER,ALLIE, MATSKO,MEGAN, GIBBS,SAVANNAH, CHINTALA,ANISHA, LAFOND,LIV",5 13 4 10 34,4,3,2,01:03,0,0,19,0,1,0,1,2,2
4,"HEYER,ALLIE, MATSKO,MEGAN, GIBBS,SAVANNAH, DELMORE,KAYLA, LAFOND,LIV",5 13 4 21 34,4,1,2,01:01,0,4,19,0,2,0,1,1,2
5,"HEYER,ALLIE, MATSKO,MEGAN, GIBBS,SAVANNAH, DELMORE,KAYLA, CARLIN,BETHANY",5 13 4 21 02,3,4,4,01:38,0,5,23,2,2,2,2,3,2
6,"HEYER,ALLIE, GLOWASKY,SAM, GIBBS,SAVANNAH, DELMORE,KAYLA, CARLIN,BETHANY",5 11 4 21 02,3,0,0,00:12,0,0,28,0,0,0,0,1,2
7,"NAMBISAN,ISHA, GLOWASKY,SAM, GIBBS,SAVANNAH, DELMORE,KAYLA, CARLIN,BETHANY",23 11 4 21 02,3,3,3,01:37,0,7,28,0,4,1,4,4,2
8,"NAMBISAN,ISHA, GLOWASKY,SAM, PROUTY,ANNA, DELMORE,KAYLA, CARLIN,BETHANY",23 11 20 21 02,3,3,3,02:28,5,0,35,2,3,0,1,4,2
9,"NAMBISAN,ISHA, GLOWASKY,SAM, PROUTY,ANNA, DELMORE,KAYLA, JOSEPH,JAMIE",23 11 20 21 32,3,2,2,00:44,1,2,30,0,1,0,1,1,2
10,"CHINTALA,ANISHA, LIGOTTI,PIPER, GIBBS,SAVANNAH, DELMORE,KAYLA, ARIAS,AVA",10 3 4 21 24,4,6,6,02:48,4,0,31,2,5,0,5,8,3
11,"HEYER,ALLIE, LIGOTTI,PIPER, GIBBS,SAVANNAH, DELMORE,KAYLA, ARIAS,AVA",5 3 4 21 24,4,2,1,00:37,0,0,27,1,1,0,1,2,3
12,"HEYER,ALLIE, LIGOTTI,PIPER, GIBBS,SAVANNAH, DELMORE,KAYLA, LAFOND,LIV",5 3 4 21 34,4,3,4,02:19,3,2,27,2,4,0,1,5,3
13,"HEYER,ALLIE, MATSKO,MEGAN, GIBBS,SAVANNAH, DELMORE,KAYLA, LAFOND,LIV",5 13 4 21 34,4,3,3,01:38,6,3,26,1,2,0,2,3,3
14,"HEYER,ALLIE, MATSKO,MEGAN, GIBBS,SAVANNAH, CHINTALA,ANISHA, LAFOND,LIV",5 13 4 10 34,4,3,2,01:00,0,0,23,2,2,0,2,4,3
15,"HEYER,ALLIE, MATSKO,MEGAN, PROUTY,ANNA, CHINTALA,ANISHA, ARIAS,AVA",5 13 20 10 24,4,4,5,02:36,4,5,23,2,3,0,4,6,3
16,"HEYER,ALLIE, NAMBISAN,ISHA, PROUTY,ANNA, DELMORE,KAYLA, ARIAS,AVA",5 23 20 21 24,4,4,5,02:03,2,4,24,0,4,2,1,4,4
17,"LIGOTTI,PIPER, NAMBISAN,ISHA, GIBBS,SAVANNAH, DELMORE,KAYLA, ARIAS,AVA",3 23 4 21 24,4,5,4,02:22,1,7,26,2,4,0,3,4,4
18,"LIGOTTI,PIPER, NAMBISAN,ISHA, CARLIN,BETHANY, DELMORE,KAYLA, ARIAS,AVA",3 23 02 21 24,4,1,1,00:41,0,0,32,0,1,0,0,2,4
19,"LIGOTTI,PIPER, NAMBISAN,ISHA, CARLIN,BETHANY, GLOWASKY,SAM, JOSEPH,JAMIE",3 23 02 11 32,3,9,9,03:56,8,4,32,2,7,0,2,8,4
