,LINEUP (NAMES),NUMBERS,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA",3 4 10 22 24,4,9,9,4:49,3,4,0,3,11,0,9,17,1
1,"LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, LAFOND,LIV",3 4 10 21 34,4,1,2,00:47,0,2,1,0,2,0,1,2,1
2,"LIGOTTI,PIPER, BLACK,AVA, CHINTALA,ANISHA, DELMORE,KAYLA, LAFOND,LIV",3 1 10 21 34,4,4,3,01:31,3,0,3,1,4,0,2,5,1
3,"MATSKO,MEGAN, GIBBS,SAVANNAH, OR,CATHERINE, DELMORE,KAYLA, LAFOND,LIV",13 4 22 21 34,4,2,3,01:36,3,0,0,1,2,0,1,3,1
4,"MATSKO,MEGAN, GIBBS,SAVANNAH, OR,CATHERINE, HEYER,ALLIE, ARIAS,AVA",13 4 22 5 24,4,3,2,01:17,5,4,-3,0,2,0,1,2,1
5,"LIGOTTI,PIPER, GIBBS,SAVANNAH, OR,CATHERINE, HEYER,ALLIE, ARIAS,AVA",3 4 22 5 24,4,3,3,01:18,2,2,-4,0,2,0,1,2,2
6,"LIGOTTI,PIPER, GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA, ARIAS,AVA",3 4 22 10 24,4,5,5,02:39,9,3,-4,3,6,0,4,7,2
7,"MATSKO,MEGAN, GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA, DELMORE,KAYLA",13 4 22 10 21,4,1,2,01:18,2,5,-10,1,3,0,1,1,2
8,"MATSKO,MEGAN, GIBBS,SAVANNAH, OR,CATHERINE, HEYER,ALLIE, DELMORE,KAYLA",13 4 22 5 21,4,9,9,04:45,9,14,-7,4,7,2,3,10,2
9,"CHINTALA,ANISHA, GIBBS,SAVANNAH, OR,CATHERINE, LIGOTTI,PIPER, ARIAS,AVA",10 4 22 3 24,4,5,5,02:48,2,4,-2,2,7,2,7,10,3
10,"CHINTALA,ANISHA, GIBBS,SAVANNAH, OR,CATHERINE, MATSKO,MEGAN, DELMORE,KAYLA",10 4 22 13 21,4,1,1,00:16,0,3,0,0,1,1,0,1,3
11,"CHINTALA,ANISHA, BLACK,AVA, OR,CATHERINE, MATSKO,MEGAN, DELMORE,KAYLA",10 1 22 13 21,4,1,0,00:16,3,0,3,0,0,0,0,0,3
12,"CHINTALA,ANISHA, BLACK,AVA, OR,CATHERINE, ARIAS,AVA, DELMORE,KAYLA",10 1 22 24 21,4,2,4,01:22,2,6,0,1,4,0,0,0,3
13,"CHINTALA,ANISHA, BLACK,AVA, HEYER,ALLIE, ARIAS,AVA, DELMORE,KAYLA",10 1 5 24 21,4,5,5,02:20,2,4,4,1,6,0,6,8,3
14,"CHINTALA,ANISHA, GIBBS,SAVANNAH, OR,CATHERINE, ARIAS,AVA, DELMORE,KAYLA",10 4 22 24 21,4,4,3,02:00,9,3,6,1,3,0,0,4,3
15,"LIGOTTI,PIPER, GIBBS,SAVANNAH, OR,CATHERINE, ARIAS,AVA, HEYER,ALLIE",3 4 22 24 5,4,3,4,01:11,7,3,0,3,3,0,1,2,3
16,"LIGOTTI,PIPER, GIBBS,SAVANNAH, OR,CATHERINE, ARIAS,AVA, CHINTALA,ANISHA",3 4 22 24 10,4,0,1,00:25,0,0,-4,0,1,0,0,1,4
17,"DELMORE,KAYLA, GIBBS,SAVANNAH, OR,CATHERINE, ARIAS,AVA, CHINTALA,ANISHA",21 4 22 24 10,4,5,5,02:50,7,4,-4,1,4,0,2,5,4
18,"DELMORE,KAYLA, GIBBS,SAVANNAH, OR,CATHERINE, ARIAS,AVA, HEYER,ALLIE",21 4 22 24 5,4,5,5,03:14,4,4,-7,3,5,2,4,8,4
19,"DELMORE,KAYLA, GIBBS,SAVANNAH, OR,CATHERINE, CHINTALA,ANISHA, HEYER,ALLIE",21 4 22 10 5,4,8,7,03:18,12,2,-7,2,6,0,1,6,4
