,LINEUP (NAMES),NUMBERS,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA",3 4 10 22 24,4,9,9,5:1,5,10,0,1,9,0,7,10,1
1,"BLACK,AVA, HEYER,ALLIE, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA",1 5 10 22 24,4,1,0,00:49,2,0,5,0,1,0,1,2,1
2,"BLACK,AVA, HEYER,ALLIE, CHINTALA,ANISHA, DELMORE,KAYLA, ARIAS,AVA",1 5 10 21 24,4,3,4,01:52,0,2,3,0,3,0,1,3,1
3,"BLACK,AVA, HEYER,ALLIE, CHINTALA,ANISHA, DELMORE,KAYLA, MATSKO,MEGAN",1 5 10 21 13,4,5,5,01:42,4,3,5,0,1,2,3,3,1
4,"GIBBS,SAVANNAH, HEYER,ALLIE, OR,CATHERINE, DELMORE,KAYLA, MATSKO,MEGAN",4 5 22 21 13,4,6,5,02:37,5,6,4,4,5,0,3,8,1
5,"GIBBS,SAVANNAH, HEYER,ALLIE, OR,CATHERINE, DELMORE,KAYLA, ARIAS,AVA",4 5 22 21 24,4,7,7,03:36,4,13,5,4,8,0,6,8,2
6,"GIBBS,SAVANNAH, HEYER,ALLIE, OR,CATHERINE, LIGOTTI,PIPER, ARIAS,AVA",4 5 22 3 24,4,3,4,01:53,0,8,14,2,3,2,2,4,2
7,"GIBBS,SAVANNAH, HEYER,ALLIE, OR,CATHERINE, DELMORE,KAYLA, ARIAS,AVA",4 5 22 21 24,4,1,1,00:22,0,2,22,0,0,2,0,0,2
8,"GIBBS,SAVANNAH, HEYER,ALLIE, LIGOTTI,PIPER, DELMORE,KAYLA, ARIAS,AVA",4 5 3 21 24,4,1,0,00:33,2,0,24,0,1,0,1,1,2
9,"GIBBS,SAVANNAH, HEYER,ALLIE, CHINTALA,ANISHA, DELMORE,KAYLA, ARIAS,AVA",4 5 10 21 24,4,2,3,01:35,0,2,22,1,4,0,3,6,2
10,"GIBBS,SAVANNAH, LIGOTTI,PIPER, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA",4 3 10 22 24,4,10,9,03:49,8,12,24,0,8,0,5,8,3
11,"GIBBS,SAVANNAH, LIGOTTI,PIPER, HEYER,ALLIE, OR,CATHERINE, ARIAS,AVA",4 3 5 22 24,4,0,1,00:05,0,0,28,0,0,0,0,0,3
12,"GIBBS,SAVANNAH, LIGOTTI,PIPER, HEYER,ALLIE, OR,CATHERINE, MATSKO,MEGAN",4 3 5 22 13,4,3,2,01:42,3,0,28,0,1,0,1,3,3
13,"DELMORE,KAYLA, BLACK,AVA, HEYER,ALLIE, OR,CATHERINE, MATSKO,MEGAN",21 1 5 22 13,4,2,2,01:16,1,4,25,0,2,0,1,1,3
14,"DELMORE,KAYLA, BLACK,AVA, HEYER,ALLIE, CHINTALA,ANISHA, MATSKO,MEGAN",21 1 5 10 13,4,2,2,00:42,3,0,28,1,1,0,0,2,3
15,"OR,CATHERINE, GIBBS,SAVANNAH, HEYER,ALLIE, CHINTALA,ANISHA, MATSKO,MEGAN",22 4 5 10 13,4,0,0,00:22,0,0,25,1,3,0,3,3,3
16,"OR,CATHERINE, GIBBS,SAVANNAH, HEYER,ALLIE, CHINTALA,ANISHA, ARIAS,AVA",22 4 5 10 24,4,2,3,01:28,0,5,25,2,4,0,2,4,3
17,"OR,CATHERINE, GIBBS,SAVANNAH, DELMORE,KAYLA, CHINTALA,ANISHA, ARIAS,AVA",22 4 21 10 24,4,1,2,00:55,0,0,30,0,2,0,1,3,3
18,"OR,CATHERINE, GIBBS,SAVANNAH, DELMORE,KAYLA, HEYER,ALLIE, ARIAS,AVA",22 4 21 5 24,4,10,9,04:54,4,5,30,2,8,2,6,12,4
19,"OR,CATHERINE, BLACK,AVA, CHINTALA,ANISHA, HEYER,ALLIE, ARIAS,AVA",22 1 10 5 24,4,0,1,00:36,0,2,31,1,1,2,2,3,4
20,"OR,CATHERINE, BLACK,AVA, CHINTALA,ANISHA, HEYER,ALLIE, MATSKO,MEGAN",22 1 10 5 13,4,3,2,01:21,0,2,33,1,3,0,2,5,4
21,"JOSEPH,JAMIE, GLOWASKY,SAM, PRASAD,ANIKA, DELMORE,KAYLA, MATSKO,MEGAN",32 11 30 21 13,4,4,4,02:50,0,2,35,1,4,0,6,9,4
