,LINEUP (NAMES),NUMBERS,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"BLACK,AVA, GIBBS,SAVANNAH, CHINTALA,ANISHA, MATSKO,MEGAN, OR,CATHERINE",1 4 10 13 22,3,8,9,5:16,6,4,0,1,7,0,5,13,1
1,"ARIAS,AVA, GIBBS,SAVANNAH, CHINTALA,ANISHA, MATSKO,MEGAN, OR,CATHERINE",24 4 10 13 22,4,3,2,01:30,0,2,-2,2,4,0,3,4,1
2,"ARIAS,AVA, GIBBS,SAVANNAH, CHINTALA,ANISHA, LIGOTTI,PIPER, OR,CATHERINE",24 4 10 3 22,4,10,10,06:05,8,13,0,3,12,1,8,13,1
3,"LAFOND,LIV, GIBBS,SAVANNAH, CHINTALA,ANISHA, LIGOTTI,PIPER, OR,CATHERINE",34 4 10 3 22,4,6,5,02:52,9,4,5,1,4,4,4,8,2
4,"LAFOND,LIV, BLACK,AVA, MATSKO,MEGAN, LIGOTTI,PIPER, OR,CATHERINE",34 1 13 3 22,4,2,2,01:50,0,4,0,1,3,0,3,5,2
5,"HEYER,ALLIE, BLACK,AVA, GIBBS,SAVANNAH, LIGOTTI,PIPER, OR,CATHERINE",5 1 4 3 22,3,4,3,01:51,4,0,4,2,4,2,2,5,2
6,"HEYER,ALLIE, ARIAS,AVA, GIBBS,SAVANNAH, LIGOTTI,PIPER, OR,CATHERINE",5 24 4 3 22,4,2,3,00:36,2,3,0,1,1,0,1,1,2
7,"CHINTALA,ANISHA, MATSKO,MEGAN, GIBBS,SAVANNAH, ARIAS,AVA, OR,CATHERINE",10 13 4 24 22,4,5,5,02:49,7,0,1,2,4,0,3,8,3
8,"CHINTALA,ANISHA, LIGOTTI,PIPER, GIBBS,SAVANNAH, LAFOND,LIV, OR,CATHERINE",10 3 4 34 22,4,4,7,02:51,7,9,-6,2,7,0,0,4,3
9,"CHINTALA,ANISHA, BLACK,AVA, HEYER,ALLIE, LAFOND,LIV, OR,CATHERINE",10 1 5 34 22,4,2,3,01:11,2,0,-4,0,3,0,1,3,3
10,"CHINTALA,ANISHA, GIBBS,SAVANNAH, HEYER,ALLIE, LAFOND,LIV, DELMORE,KAYLA",10 4 5 34 21,4,3,4,03:09,8,6,-6,0,5,1,2,5,3
11,"CHINTALA,ANISHA, GIBBS,SAVANNAH, MATSKO,MEGAN, LAFOND,LIV, OR,CATHERINE",10 4 13 34 22,4,4,5,02:34,3,2,-8,0,5,0,2,6,4
12,"LIGOTTI,PIPER, GIBBS,SAVANNAH, HEYER,ALLIE, LAFOND,LIV, OR,CATHERINE",3 4 5 34 22,4,4,3,02:09,5,2,-9,1,3,2,3,6,4
13,"LIGOTTI,PIPER, GIBBS,SAVANNAH, HEYER,ALLIE, CHINTALA,ANISHA, BLACK,AVA",3 4 5 10 1,3,1,0,00:15,2,0,-12,0,0,0,0,0,4
14,"DELMORE,KAYLA, GIBBS,SAVANNAH, HEYER,ALLIE, CHINTALA,ANISHA, BLACK,AVA",21 4 5 10 1,3,6,8,03:17,4,9,-14,2,8,4,5,9,4
15,"OR,CATHERINE, GIBBS,SAVANNAH, HEYER,ALLIE, LAFOND,LIV, CHINTALA,ANISHA",22 4 5 34 10,4,2,3,01:45,3,2,-9,1,2,0,1,2,4
