,LINEUP (NAMES),NUMBERS,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA",3 4 10 22 24,4,5,5,3:5,9,4,0,2,5,1,0,4,1
1,"LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, BLACK,AVA",3 4 10 22 1,3,3,4,01:49,3,6,-5,0,3,0,0,1,1
2,"LIGOTTI,PIPER, ARIAS,AVA, CHINTALA,ANISHA, OR,CATHERINE, BLACK,AVA",3 24 10 22 1,4,3,3,00:57,0,2,-2,0,1,0,3,3,1
3,"LIGOTTI,PIPER, ARIAS,AVA, HEYER,ALLIE, OR,CATHERINE, GIBBS,SAVANNAH",3 24 5 22 4,4,1,0,00:39,2,0,0,1,1,0,1,2,1
4,"LIGOTTI,PIPER, MATSKO,MEGAN, HEYER,ALLIE, OR,CATHERINE, GIBBS,SAVANNAH",3 13 5 22 4,4,0,1,00:28,0,2,-2,1,2,0,1,1,1
5,"LIGOTTI,PIPER, MATSKO,MEGAN, HEYER,ALLIE, DELMORE,KAYLA, BLACK,AVA",3 13 5 21 1,4,4,3,01:34,6,2,0,0,2,0,1,4,1
6,"LIGOTTI,PIPER, MATSKO,MEGAN, HEYER,ALLIE, OR,CATHERINE, GIBBS,SAVANNAH",3 13 5 22 4,4,2,2,01:28,2,0,-4,1,1,0,2,4,1
7,"LIGOTTI,PIPER, ARIAS,AVA, CHINTALA,ANISHA, OR,CATHERINE, GIBBS,SAVANNAH",3 24 10 22 4,4,3,2,01:55,0,3,-6,1,4,1,3,4,2
8,"LIGOTTI,PIPER, ARIAS,AVA, CHINTALA,ANISHA, DELMORE,KAYLA, GIBBS,SAVANNAH",3 24 10 21 4,4,1,2,00:37,0,2,-3,0,0,2,0,0,2
9,"MATSKO,MEGAN, ARIAS,AVA, CHINTALA,ANISHA, DELMORE,KAYLA, GIBBS,SAVANNAH",13 24 10 21 4,4,2,1,00:41,0,0,-1,0,0,0,2,2,2
10,"MATSKO,MEGAN, ARIAS,AVA, OR,CATHERINE, DELMORE,KAYLA, GIBBS,SAVANNAH",13 24 22 21 4,4,1,2,00:32,2,0,-1,0,0,0,0,0,2
11,"MATSKO,MEGAN, ARIAS,AVA, OR,CATHERINE, DELMORE,KAYLA, BLACK,AVA",13 24 22 21 1,4,2,1,00:43,5,0,-3,0,0,2,0,2,2
12,"GIBBS,SAVANNAH, LAFOND,LIV, OR,CATHERINE, CHINTALA,ANISHA, LIGOTTI,PIPER",4 34 22 10 3,4,2,3,01:18,2,0,-8,0,1,0,1,3,2
13,"GIBBS,SAVANNAH, MATSKO,MEGAN, OR,CATHERINE, CHINTALA,ANISHA, LIGOTTI,PIPER",4 13 22 10 3,4,1,0,00:34,0,0,-10,0,0,0,1,1,2
14,"GIBBS,SAVANNAH, MATSKO,MEGAN, OR,CATHERINE, DELMORE,KAYLA, HEYER,ALLIE",4 13 22 21 5,4,8,8,03:40,5,11,-10,3,7,2,5,9,2
15,"GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA, LIGOTTI,PIPER",4 10 22 24 3,4,2,1,00:34,4,2,-4,0,1,0,0,0,3
16,"GIBBS,SAVANNAH, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA, DELMORE,KAYLA",4 10 22 24 21,4,1,2,00:57,2,3,-6,2,2,0,0,1,3
17,"BLACK,AVA, CHINTALA,ANISHA, OR,CATHERINE, ARIAS,AVA, DELMORE,KAYLA",1 10 22 24 21,4,6,7,02:46,7,6,-5,0,8,0,4,8,3
18,"GIBBS,SAVANNAH, HEYER,ALLIE, OR,CATHERINE, MATSKO,MEGAN, DELMORE,KAYLA",4 5 22 13 21,4,3,3,01:40,5,6,-6,2,3,0,1,3,3
19,"LAFOND,LIV, HEYER,ALLIE, OR,CATHERINE, MATSKO,MEGAN, DELMORE,KAYLA",34 5 22 13 21,5,2,2,01:00,2,2,-5,1,2,0,0,1,3
20,"BLACK,AVA, HEYER,ALLIE, OR,CATHERINE, MATSKO,MEGAN, DELMORE,KAYLA",1 5 22 13 21,4,2,2,01:11,6,2,-5,0,2,0,2,2,3
21,"BLACK,AVA, HEYER,ALLIE, OR,CATHERINE, ARIAS,AVA, DELMORE,KAYLA",1 5 22 24 21,4,1,1,00:34,2,0,-9,0,1,0,0,1,3
22,"GIBBS,SAVANNAH, HEYER,ALLIE, CHINTALA,ANISHA, ARIAS,AVA, LIGOTTI,PIPER",4 5 10 24 3,4,3,4,01:18,1,2,-11,0,1,2,1,1,3
23,"OR,CATHERINE, HEYER,ALLIE, CHINTALA,ANISHA, ARIAS,AVA, BLACK,AVA",22 5 10 24 1,4,3,1,01:02,2,5,-10,1,2,0,1,2,4
24,"OR,CATHERINE, LIGOTTI,PIPER, CHINTALA,ANISHA, ARIAS,AVA, BLACK,AVA",22 3 10 24 1,4,5,6,02:20,7,5,-7,0,4,4,1,6,4
25,"OR,CATHERINE, LIGOTTI,PIPER, CHINTALA,ANISHA, ARIAS,AVA, GIBBS,SAVANNAH",22 3 10 24 4,4,1,1,00:17,0,2,-9,0,0,2,1,1,4
26,"OR,CATHERINE, LIGOTTI,PIPER, DELMORE,KAYLA, ARIAS,AVA, GIBBS,SAVANNAH",22 3 21 24 4,4,2,1,01:15,4,0,-7,0,0,0,0,2,4
27,"OR,CATHERINE, LIGOTTI,PIPER, CHINTALA,ANISHA, ARIAS,AVA, GIBBS,SAVANNAH",22 3 10 24 4,4,1,2,00:42,0,3,-11,0,1,2,1,2,4
28,"OR,CATHERINE, LIGOTTI,PIPER, HEYER,ALLIE, ARIAS,AVA, GIBBS,SAVANNAH",22 3 5 24 4,4,2,1,01:01,4,1,-8,0,0,2,0,0,4
29,"OR,CATHERINE, MATSKO,MEGAN, HEYER,ALLIE, DELMORE,KAYLA, GIBBS,SAVANNAH",22 13 5 21 4,4,4,5,02:35,6,8,-11,1,5,2,1,2,4
30,"OR,CATHERINE, ARIAS,AVA, HEYER,ALLIE, DELMORE,KAYLA, GIBBS,SAVANNAH",22 24 5 21 4,4,1,1,00:48,2,2,-9,0,1,0,0,0,4
