,LINEUP (NAMES),NUMBERS,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"BLACK,AVA, LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA",1 3 4 10 21,3,7,6,3:51,7,4,0,1,5,0,2,6,1
1,"ARIAS,AVA, LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA",24 3 4 10 21,4,3,4,02:05,0,9,-3,1,3,2,3,3,1
2,"ARIAS,AVA, LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, NAMBISAN,ISHA",24 3 4 10 23,4,5,5,02:56,2,6,6,1,5,0,1,4,1
3,"ARIAS,AVA, HEYER,ALLIE, GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA",24 5 4 10 21,4,6,4,03:46,9,2,10,2,5,0,4,9,1
4,"ARIAS,AVA, HEYER,ALLIE, BLACK,AVA, LIGOTTI,PIPER, DELMORE,KAYLA",24 5 1 3 21,4,3,4,01:58,2,10,3,3,4,2,2,3,2
5,"LAFOND,LIV, HEYER,ALLIE, BLACK,AVA, LIGOTTI,PIPER, CHINTALA,ANISHA",34 5 1 3 10,4,5,4,02:04,3,5,11,2,4,0,3,4,2
6,"ARIAS,AVA, HEYER,ALLIE, GIBBS,SAVANNAH, LIGOTTI,PIPER, DELMORE,KAYLA",24 5 4 3 21,4,5,6,03:20,5,1,13,1,3,2,3,8,2
7,"ARIAS,AVA, CHINTALA,ANISHA, GIBBS,SAVANNAH, LIGOTTI,PIPER, DELMORE,KAYLA",24 10 4 3 21,4,4,4,01:15,2,4,9,1,4,0,0,2,3
8,"ARIAS,AVA, CHINTALA,ANISHA, BLACK,AVA, LIGOTTI,PIPER, DELMORE,KAYLA",24 10 1 3 21,4,3,3,01:10,4,0,11,1,2,0,2,4,3
9,"ARIAS,AVA, HEYER,ALLIE, GIBBS,SAVANNAH, LIGOTTI,PIPER, DELMORE,KAYLA",24 5 4 3 21,4,5,6,03:08,2,8,7,1,4,5,1,3,3
10,"LAFOND,LIV, HEYER,ALLIE, GIBBS,SAVANNAH, LIGOTTI,PIPER, DELMORE,KAYLA",34 5 4 3 21,4,5,4,02:24,5,5,13,0,3,4,3,5,3
11,"ARIAS,AVA, HEYER,ALLIE, GIBBS,SAVANNAH, CHINTALA,ANISHA, MATSKO,MEGAN",24 5 4 10 13,4,1,1,00:28,0,0,13,1,1,0,1,2,3
12,"ARIAS,AVA, HEYER,ALLIE, BLACK,AVA, CHINTALA,ANISHA, MATSKO,MEGAN",24 5 1 10 13,4,1,1,00:18,2,0,13,0,0,0,0,0,3
13,"ARIAS,AVA, HEYER,ALLIE, GIBBS,SAVANNAH, CHINTALA,ANISHA, MATSKO,MEGAN",24 5 4 10 13,4,0,1,00:08,0,1,11,0,0,2,0,0,3
14,"ARIAS,AVA, HEYER,ALLIE, GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA",24 5 4 10 21,4,6,4,02:18,4,3,12,1,3,2,4,8,3
15,"ARIAS,AVA, HEYER,ALLIE, GIBBS,SAVANNAH, LIGOTTI,PIPER, DELMORE,KAYLA",24 5 4 3 21,4,4,5,02:15,4,2,11,1,5,0,3,6,4
16,"ARIAS,AVA, CHINTALA,ANISHA, GIBBS,SAVANNAH, LIGOTTI,PIPER, DELMORE,KAYLA",24 10 4 3 21,4,2,2,01:25,3,0,9,1,2,0,2,3,4
17,"ARIAS,AVA, CHINTALA,ANISHA, GIBBS,SAVANNAH, LIGOTTI,PIPER, HEYER,ALLIE",24 10 4 3 5,4,7,6,02:58,13,6,6,0,5,0,1,3,4
18,"DELMORE,KAYLA, CHINTALA,ANISHA, GIBBS,SAVANNAH, LIGOTTI,PIPER, HEYER,ALLIE",21 10 4 3 5,4,4,5,02:13,4,3,-1,2,6,2,3,6,4
