,LINEUP (NAMES),NUMBERS,NUMBER OF GUARDS,OPPONENT POSSESSIONS,CMU POSSESSIONS,LINEUP MINUTES,OPPONENT PTS,CMU PTS,SCORE DIFFERENTIAL WHEN ENTER,CMU 3PA,CMU FGA,CMU FTA,CMU REBOUNDS,TOTAL REBOUNDS,QUARTER
0,"LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, DELMORE,KAYLA, LAFOND,LIV",3 4 10 21 34,4,8,7,4:20,2,8,0,0,7,2,5,9,1
1,"LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, HEYER,ALLIE, LAFOND,LIV",3 4 10 5 34,4,4,5,01:13,2,2,6,0,0,2,2,3,1
2,"LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, HEYER,ALLIE, ARIAS,AVA",3 4 10 5 24,4,3,2,01:17,0,2,6,0,2,0,2,4,1
3,"LIGOTTI,PIPER, PROUTY,ANNA, CHINTALA,ANISHA, HEYER,ALLIE, ARIAS,AVA",3 20 10 5 24,4,2,3,00:58,0,0,8,0,1,0,2,3,1
4,"DELMORE,KAYLA, PROUTY,ANNA, NAMBISAN,ISHA, HEYER,ALLIE, ARIAS,AVA",21 20 23 5 24,4,3,3,01:52,6,2,8,1,4,0,3,4,1
5,"DELMORE,KAYLA, GIBBS,SAVANNAH, CHINTALA,ANISHA, HEYER,ALLIE, LAFOND,LIV",21 4 10 5 34,4,4,2,02:13,2,2,4,1,2,2,5,5,1
6,"LIGOTTI,PIPER, GIBBS,SAVANNAH, CHINTALA,ANISHA, HEYER,ALLIE, LAFOND,LIV",3 4 10 5 34,4,5,6,03:10,3,5,4,2,6,0,4,9,2
7,"DELMORE,KAYLA, GIBBS,SAVANNAH, CHINTALA,ANISHA, HEYER,ALLIE, LAFOND,LIV",21 4 10 5 34,4,1,1,00:31,0,0,6,0,1,0,1,2,2
8,"DELMORE,KAYLA, PROUTY,ANNA, CHINTALA,ANISHA, HEYER,ALLIE, LAFOND,LIV",21 20 10 5 34,4,3,3,01:45,0,7,6,0,3,1,3,5,2
9,"DELMORE,KAYLA, GIBBS,SAVANNAH, CHINTALA,ANISHA, HEYER,ALLIE, LAFOND,LIV",21 4 10 5 34,4,4,4,01:50,0,8,13,1,4,2,4,4,2
10,"DELMORE,KAYLA, GIBBS,SAVANNAH, NAMBISAN,ISHA, HEYER,ALLIE, LAFOND,LIV",21 4 23 5 34,4,2,1,00:51,0,0,21,0,1,0,0,1,2
11,"DELMORE,KAYLA, GIBBS,SAVANNAH, CHINTALA,ANISHA, LIGOTTI,PIPER, LAFOND,LIV",21 4 10 3 34,4,10,10,04:28,5,11,21,4,11,2,6,14,3
12,"DELMORE,KAYLA, PROUTY,ANNA, CHINTALA,ANISHA, HEYER,ALLIE, LAFOND,LIV",21 20 10 5 34,4,3,4,01:23,0,8,27,2,2,2,2,2,3
13,"DELMORE,KAYLA, PROUTY,ANNA, CHINTALA,ANISHA, HEYER,ALLIE, ARIAS,AVA",21 20 10 5 24,4,0,0,00:13,0,0,35,0,0,0,0,0,3
14,"NAMBISAN,ISHA, PROUTY,ANNA, CHINTALA,ANISHA, HEYER,ALLIE, ARIAS,AVA",23 20 10 5 24,4,14,12,07:38,5,16,35,4,15,1,11,20,3
15,"LAFOND,LIV, PROUTY,ANNA, CHINTALA,ANISHA, LIGOTTI,PIPER, DELMORE,KAYLA",34 20 10 3 21,4,1,1,00:18,1,2,46,0,1,0,0,0,4
16,"LAFOND,LIV, PROUTY,ANNA, GLOWASKY,SAM, LIGOTTI,PIPER, DELMORE,KAYLA",34 20 11 3 21,4,1,2,00:55,0,3,47,1,1,0,1,1,4
17,"JOSEPH,JAMIE, PROUTY,ANNA, GLOWASKY,SAM, LIGOTTI,PIPER, DELMORE,KAYLA",32 20 11 3 21,3,2,1,01:00,0,0,50,0,1,0,2,3,4
18,"JOSEPH,JAMIE, PROUTY,ANNA, GLOWASKY,SAM, NAMBISAN,ISHA, DELMORE,KAYLA",32 20 11 23 21,3,1,2,01:12,1,2,50,0,2,0,1,1,4
19,"JOSEPH,JAMIE, PROUTY,ANNA, GLOWASKY,SAM, NAMBISAN,ISHA, PRASAD,ANIKA",32 20 11 23 30,3,4,3,02:53,4,3,51,2,2,0,3,4,4
